PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=0.364 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=0.089 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=0.097 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=0.089 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=0.043 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=0.097 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=0.097 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=0.043 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=0.119 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=0.067 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=0.100 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=0.098 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=0.090 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=0.036 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=0.085 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=0.086 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=0.100 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=0.100 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=0.100 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=0.101 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=0.091 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=0.091 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=0.085 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=0.063 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=0.103 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=0.086 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=0.554 ms
64 bytes from 10.0.0.4: icmp_seq=32 ttl=64 time=6.14 ms
64 bytes from 10.0.0.4: icmp_seq=33 ttl=64 time=4.32 ms
64 bytes from 10.0.0.4: icmp_seq=34 ttl=64 time=2.06 ms
64 bytes from 10.0.0.4: icmp_seq=35 ttl=64 time=6.17 ms
64 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=2.89 ms
64 bytes from 10.0.0.4: icmp_seq=37 ttl=64 time=3.50 ms
64 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=3.46 ms
64 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=5.97 ms
64 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=1.66 ms
64 bytes from 10.0.0.4: icmp_seq=41 ttl=64 time=3.96 ms
64 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=5.75 ms
64 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=7.15 ms
64 bytes from 10.0.0.4: icmp_seq=44 ttl=64 time=6.15 ms
64 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=1.65 ms
64 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=1.57 ms
64 bytes from 10.0.0.4: icmp_seq=47 ttl=64 time=4.87 ms
64 bytes from 10.0.0.4: icmp_seq=48 ttl=64 time=1.90 ms
64 bytes from 10.0.0.4: icmp_seq=49 ttl=64 time=5.93 ms
64 bytes from 10.0.0.4: icmp_seq=50 ttl=64 time=2.91 ms
64 bytes from 10.0.0.4: icmp_seq=51 ttl=64 time=3.51 ms
64 bytes from 10.0.0.4: icmp_seq=52 ttl=64 time=4.88 ms
64 bytes from 10.0.0.4: icmp_seq=53 ttl=64 time=4.88 ms
64 bytes from 10.0.0.4: icmp_seq=54 ttl=64 time=6.11 ms
64 bytes from 10.0.0.4: icmp_seq=55 ttl=64 time=6.54 ms
64 bytes from 10.0.0.4: icmp_seq=56 ttl=64 time=2.85 ms
64 bytes from 10.0.0.4: icmp_seq=57 ttl=64 time=3.74 ms
64 bytes from 10.0.0.4: icmp_seq=58 ttl=64 time=4.88 ms
64 bytes from 10.0.0.4: icmp_seq=59 ttl=64 time=6.13 ms
64 bytes from 10.0.0.4: icmp_seq=60 ttl=64 time=2.86 ms
64 bytes from 10.0.0.4: icmp_seq=61 ttl=64 time=7.43 ms
64 bytes from 10.0.0.4: icmp_seq=62 ttl=64 time=8.68 ms
64 bytes from 10.0.0.4: icmp_seq=63 ttl=64 time=6.22 ms
64 bytes from 10.0.0.4: icmp_seq=64 ttl=64 time=5.45 ms
64 bytes from 10.0.0.4: icmp_seq=65 ttl=64 time=5.71 ms
64 bytes from 10.0.0.4: icmp_seq=66 ttl=64 time=4.91 ms
64 bytes from 10.0.0.4: icmp_seq=67 ttl=64 time=6.80 ms
64 bytes from 10.0.0.4: icmp_seq=68 ttl=64 time=4.13 ms
64 bytes from 10.0.0.4: icmp_seq=69 ttl=64 time=8.16 ms
64 bytes from 10.0.0.4: icmp_seq=70 ttl=64 time=4.67 ms
64 bytes from 10.0.0.4: icmp_seq=71 ttl=64 time=8.44 ms
64 bytes from 10.0.0.4: icmp_seq=72 ttl=64 time=7.33 ms
64 bytes from 10.0.0.4: icmp_seq=73 ttl=64 time=7.53 ms
64 bytes from 10.0.0.4: icmp_seq=74 ttl=64 time=6.30 ms
64 bytes from 10.0.0.4: icmp_seq=75 ttl=64 time=5.30 ms
64 bytes from 10.0.0.4: icmp_seq=76 ttl=64 time=5.49 ms
64 bytes from 10.0.0.4: icmp_seq=77 ttl=64 time=4.84 ms
64 bytes from 10.0.0.4: icmp_seq=78 ttl=64 time=5.34 ms
64 bytes from 10.0.0.4: icmp_seq=79 ttl=64 time=4.89 ms
64 bytes from 10.0.0.4: icmp_seq=80 ttl=64 time=8.27 ms
64 bytes from 10.0.0.4: icmp_seq=81 ttl=64 time=9.19 ms
64 bytes from 10.0.0.4: icmp_seq=82 ttl=64 time=8.65 ms
64 bytes from 10.0.0.4: icmp_seq=83 ttl=64 time=7.35 ms
64 bytes from 10.0.0.4: icmp_seq=84 ttl=64 time=7.57 ms
64 bytes from 10.0.0.4: icmp_seq=85 ttl=64 time=6.26 ms
64 bytes from 10.0.0.4: icmp_seq=86 ttl=64 time=5.26 ms
64 bytes from 10.0.0.4: icmp_seq=87 ttl=64 time=5.55 ms
64 bytes from 10.0.0.4: icmp_seq=88 ttl=64 time=9.73 ms
64 bytes from 10.0.0.4: icmp_seq=89 ttl=64 time=10.7 ms
64 bytes from 10.0.0.4: icmp_seq=90 ttl=64 time=9.71 ms
64 bytes from 10.0.0.4: icmp_seq=91 ttl=64 time=8.29 ms
64 bytes from 10.0.0.4: icmp_seq=92 ttl=64 time=8.57 ms
64 bytes from 10.0.0.4: icmp_seq=93 ttl=64 time=10.7 ms
64 bytes from 10.0.0.4: icmp_seq=94 ttl=64 time=8.40 ms
64 bytes from 10.0.0.4: icmp_seq=95 ttl=64 time=11.4 ms
64 bytes from 10.0.0.4: icmp_seq=96 ttl=64 time=6.73 ms
64 bytes from 10.0.0.4: icmp_seq=97 ttl=64 time=11.5 ms
64 bytes from 10.0.0.4: icmp_seq=98 ttl=64 time=9.69 ms
64 bytes from 10.0.0.4: icmp_seq=99 ttl=64 time=7.28 ms
64 bytes from 10.0.0.4: icmp_seq=100 ttl=64 time=10.5 ms
64 bytes from 10.0.0.4: icmp_seq=101 ttl=64 time=10.7 ms
64 bytes from 10.0.0.4: icmp_seq=102 ttl=64 time=9.52 ms
64 bytes from 10.0.0.4: icmp_seq=103 ttl=64 time=10.8 ms
64 bytes from 10.0.0.4: icmp_seq=104 ttl=64 time=9.59 ms
64 bytes from 10.0.0.4: icmp_seq=105 ttl=64 time=12.0 ms
64 bytes from 10.0.0.4: icmp_seq=106 ttl=64 time=7.75 ms
64 bytes from 10.0.0.4: icmp_seq=107 ttl=64 time=8.17 ms
64 bytes from 10.0.0.4: icmp_seq=108 ttl=64 time=9.80 ms
64 bytes from 10.0.0.4: icmp_seq=109 ttl=64 time=9.52 ms
64 bytes from 10.0.0.4: icmp_seq=110 ttl=64 time=10.1 ms
64 bytes from 10.0.0.4: icmp_seq=111 ttl=64 time=8.26 ms
64 bytes from 10.0.0.4: icmp_seq=112 ttl=64 time=9.06 ms
64 bytes from 10.0.0.4: icmp_seq=113 ttl=64 time=8.48 ms
64 bytes from 10.0.0.4: icmp_seq=114 ttl=64 time=8.56 ms
64 bytes from 10.0.0.4: icmp_seq=115 ttl=64 time=11.7 ms
64 bytes from 10.0.0.4: icmp_seq=116 ttl=64 time=11.6 ms
64 bytes from 10.0.0.4: icmp_seq=117 ttl=64 time=9.49 ms
64 bytes from 10.0.0.4: icmp_seq=118 ttl=64 time=9.60 ms
64 bytes from 10.0.0.4: icmp_seq=119 ttl=64 time=9.75 ms
64 bytes from 10.0.0.4: icmp_seq=120 ttl=64 time=10.8 ms

--- 10.0.0.4 ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119870ms
rtt min/avg/max/mdev = 0.036/5.190/12.046/3.795 ms
