PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=0.565 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=0.093 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=0.102 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=0.101 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=0.091 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=0.092 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=0.101 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=0.101 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=0.100 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=0.100 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=0.100 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=0.101 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=0.113 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=0.044 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=0.079 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=0.091 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=0.074 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=0.056 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=0.103 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=0.058 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=0.099 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=0.098 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=0.084 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=0.100 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=3.00 ms
64 bytes from 10.0.0.4: icmp_seq=32 ttl=64 time=1.10 ms
64 bytes from 10.0.0.4: icmp_seq=33 ttl=64 time=6.33 ms
64 bytes from 10.0.0.4: icmp_seq=34 ttl=64 time=4.07 ms
64 bytes from 10.0.0.4: icmp_seq=35 ttl=64 time=2.47 ms
64 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=2.69 ms
64 bytes from 10.0.0.4: icmp_seq=37 ttl=64 time=3.72 ms
64 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=1.10 ms
64 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=5.62 ms
64 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=4.86 ms
64 bytes from 10.0.0.4: icmp_seq=41 ttl=64 time=3.34 ms
64 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=4.29 ms
64 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=3.30 ms
64 bytes from 10.0.0.4: icmp_seq=44 ttl=64 time=3.48 ms
64 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=4.79 ms
64 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=2.08 ms
64 bytes from 10.0.0.4: icmp_seq=47 ttl=64 time=6.25 ms
64 bytes from 10.0.0.4: icmp_seq=48 ttl=64 time=4.13 ms
64 bytes from 10.0.0.4: icmp_seq=49 ttl=64 time=3.27 ms
64 bytes from 10.0.0.4: icmp_seq=50 ttl=64 time=4.88 ms
64 bytes from 10.0.0.4: icmp_seq=51 ttl=64 time=5.53 ms
64 bytes from 10.0.0.4: icmp_seq=52 ttl=64 time=2.62 ms
64 bytes from 10.0.0.4: icmp_seq=53 ttl=64 time=3.72 ms
64 bytes from 10.0.0.4: icmp_seq=54 ttl=64 time=2.29 ms
64 bytes from 10.0.0.4: icmp_seq=55 ttl=64 time=4.90 ms
64 bytes from 10.0.0.4: icmp_seq=56 ttl=64 time=6.79 ms
64 bytes from 10.0.0.4: icmp_seq=57 ttl=64 time=4.12 ms
64 bytes from 10.0.0.4: icmp_seq=58 ttl=64 time=6.09 ms
64 bytes from 10.0.0.4: icmp_seq=59 ttl=64 time=6.09 ms
64 bytes from 10.0.0.4: icmp_seq=60 ttl=64 time=4.88 ms
64 bytes from 10.0.0.4: icmp_seq=61 ttl=64 time=138 ms
64 bytes from 10.0.0.4: icmp_seq=62 ttl=64 time=188 ms
64 bytes from 10.0.0.4: icmp_seq=63 ttl=64 time=239 ms
64 bytes from 10.0.0.4: icmp_seq=64 ttl=64 time=290 ms
64 bytes from 10.0.0.4: icmp_seq=65 ttl=64 time=339 ms
64 bytes from 10.0.0.4: icmp_seq=66 ttl=64 time=389 ms
64 bytes from 10.0.0.4: icmp_seq=67 ttl=64 time=438 ms
64 bytes from 10.0.0.4: icmp_seq=68 ttl=64 time=512 ms
64 bytes from 10.0.0.4: icmp_seq=69 ttl=64 time=632 ms
64 bytes from 10.0.0.4: icmp_seq=70 ttl=64 time=811 ms
64 bytes from 10.0.0.4: icmp_seq=71 ttl=64 time=1039 ms
64 bytes from 10.0.0.4: icmp_seq=72 ttl=64 time=1299 ms
64 bytes from 10.0.0.4: icmp_seq=73 ttl=64 time=1584 ms
64 bytes from 10.0.0.4: icmp_seq=74 ttl=64 time=1897 ms
64 bytes from 10.0.0.4: icmp_seq=75 ttl=64 time=2273 ms
64 bytes from 10.0.0.4: icmp_seq=80 ttl=64 time=1762 ms
64 bytes from 10.0.0.4: icmp_seq=81 ttl=64 time=1180 ms
64 bytes from 10.0.0.4: icmp_seq=82 ttl=64 time=974 ms
64 bytes from 10.0.0.4: icmp_seq=83 ttl=64 time=1395 ms
64 bytes from 10.0.0.4: icmp_seq=84 ttl=64 time=1692 ms
64 bytes from 10.0.0.4: icmp_seq=85 ttl=64 time=1682 ms
64 bytes from 10.0.0.4: icmp_seq=86 ttl=64 time=1728 ms
64 bytes from 10.0.0.4: icmp_seq=87 ttl=64 time=1791 ms
64 bytes from 10.0.0.4: icmp_seq=88 ttl=64 time=1849 ms
64 bytes from 10.0.0.4: icmp_seq=89 ttl=64 time=1897 ms
64 bytes from 10.0.0.4: icmp_seq=90 ttl=64 time=1933 ms
64 bytes from 10.0.0.4: icmp_seq=91 ttl=64 time=1954 ms
64 bytes from 10.0.0.4: icmp_seq=92 ttl=64 time=1971 ms
64 bytes from 10.0.0.4: icmp_seq=93 ttl=64 time=1983 ms
64 bytes from 10.0.0.4: icmp_seq=94 ttl=64 time=1989 ms
64 bytes from 10.0.0.4: icmp_seq=95 ttl=64 time=2006 ms
64 bytes from 10.0.0.4: icmp_seq=96 ttl=64 time=2032 ms
64 bytes from 10.0.0.4: icmp_seq=97 ttl=64 time=2074 ms
64 bytes from 10.0.0.4: icmp_seq=98 ttl=64 time=2139 ms
64 bytes from 10.0.0.4: icmp_seq=99 ttl=64 time=2226 ms
64 bytes from 10.0.0.4: icmp_seq=100 ttl=64 time=2342 ms
64 bytes from 10.0.0.4: icmp_seq=101 ttl=64 time=2371 ms
64 bytes from 10.0.0.4: icmp_seq=102 ttl=64 time=2378 ms
64 bytes from 10.0.0.4: icmp_seq=104 ttl=64 time=1905 ms
64 bytes from 10.0.0.4: icmp_seq=105 ttl=64 time=1777 ms
64 bytes from 10.0.0.4: icmp_seq=107 ttl=64 time=1745 ms
64 bytes from 10.0.0.4: icmp_seq=108 ttl=64 time=1592 ms
64 bytes from 10.0.0.4: icmp_seq=109 ttl=64 time=1399 ms
64 bytes from 10.0.0.4: icmp_seq=110 ttl=64 time=1360 ms
64 bytes from 10.0.0.4: icmp_seq=111 ttl=64 time=1402 ms
64 bytes from 10.0.0.4: icmp_seq=112 ttl=64 time=1468 ms
64 bytes from 10.0.0.4: icmp_seq=113 ttl=64 time=1529 ms
64 bytes from 10.0.0.4: icmp_seq=114 ttl=64 time=1578 ms
64 bytes from 10.0.0.4: icmp_seq=115 ttl=64 time=1615 ms
64 bytes from 10.0.0.4: icmp_seq=116 ttl=64 time=1636 ms
64 bytes from 10.0.0.4: icmp_seq=117 ttl=64 time=1647 ms
64 bytes from 10.0.0.4: icmp_seq=118 ttl=64 time=1653 ms
64 bytes from 10.0.0.4: icmp_seq=119 ttl=64 time=1662 ms
64 bytes from 10.0.0.4: icmp_seq=120 ttl=64 time=1675 ms

--- 10.0.0.4 ping statistics ---
120 packets transmitted, 114 received, 5% packet loss, time 119893ms
rtt min/avg/max/mdev = 0.044/712.385/2378.988/858.536 ms, pipe 3
