------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.5.0.1 port 34695
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   764 KBytes  6.26 Mbits/sec   0.015 ms  349/  881 (40%)
[  3]  0.0- 1.0 sec  1 datagrams received out-of-order
[  3]  1.0- 2.0 sec   734 KBytes  6.01 Mbits/sec   0.009 ms    0/  511 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.007 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.008 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.009 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   635 KBytes  5.20 Mbits/sec   0.458 ms    0/  442 (0%)
[  3]  6.0- 7.0 sec   591 KBytes  4.85 Mbits/sec   0.466 ms    0/  412 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.461 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.463 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   594 KBytes  4.87 Mbits/sec   0.492 ms    0/  414 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.480 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   541 KBytes  4.43 Mbits/sec   0.351 ms   67/  444 (15%)
[  3] 12.0-13.0 sec   451 KBytes  3.69 Mbits/sec   0.414 ms  201/  515 (39%)
[  3] 13.0-14.0 sec   459 KBytes  3.76 Mbits/sec   0.341 ms  188/  508 (37%)
[  3] 14.0-15.0 sec   458 KBytes  3.75 Mbits/sec   0.328 ms  191/  510 (37%)
[  3] 15.0-16.0 sec   457 KBytes  3.74 Mbits/sec   0.344 ms  193/  511 (38%)
[  3] 16.0-17.0 sec   452 KBytes  3.70 Mbits/sec   0.359 ms  191/  506 (38%)
[  3] 17.0-18.0 sec   457 KBytes  3.74 Mbits/sec   0.384 ms  197/  515 (38%)
[  3] 18.0-19.0 sec   459 KBytes  3.76 Mbits/sec   0.366 ms  190/  510 (37%)
[  3] 19.0-20.0 sec   457 KBytes  3.74 Mbits/sec   0.359 ms  191/  509 (38%)
[  3] 20.0-21.0 sec   455 KBytes  3.73 Mbits/sec   0.355 ms  194/  511 (38%)
[  3] 21.0-22.0 sec   454 KBytes  3.72 Mbits/sec   0.359 ms  193/  509 (38%)
[  3] 22.0-23.0 sec   455 KBytes  3.73 Mbits/sec   0.458 ms  190/  507 (37%)
[  3] 23.0-24.0 sec   469 KBytes  3.85 Mbits/sec   0.436 ms  183/  510 (36%)
[  3] 24.0-25.0 sec   455 KBytes  3.73 Mbits/sec   0.385 ms  197/  514 (38%)
[  3] 25.0-26.0 sec   457 KBytes  3.74 Mbits/sec   0.381 ms  191/  509 (38%)
[  3] 26.0-27.0 sec   464 KBytes  3.80 Mbits/sec   0.385 ms  187/  510 (37%)
[  3] 27.0-28.0 sec   458 KBytes  3.75 Mbits/sec   0.431 ms  190/  509 (37%)
[  3] 28.0-29.0 sec   459 KBytes  3.76 Mbits/sec   0.392 ms  191/  511 (37%)
[  3] 29.0-30.0 sec   457 KBytes  3.74 Mbits/sec   0.418 ms  188/  506 (37%)
[  3] 30.0-31.0 sec   451 KBytes  3.69 Mbits/sec   0.443 ms  199/  513 (39%)
[  3] 31.0-32.0 sec   461 KBytes  3.77 Mbits/sec   0.385 ms  190/  511 (37%)
[  3] 32.0-33.0 sec   458 KBytes  3.75 Mbits/sec   0.346 ms  192/  511 (38%)
[  3] 33.0-34.0 sec   457 KBytes  3.74 Mbits/sec   0.343 ms  191/  509 (38%)
[  3] 34.0-35.0 sec   457 KBytes  3.74 Mbits/sec   0.379 ms  193/  511 (38%)
[  3] 35.0-36.0 sec   452 KBytes  3.70 Mbits/sec   0.329 ms  190/  505 (38%)
