------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.4.0.1 port 33498
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.013 ms    8/  518 (1.5%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.027 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.016 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   729 KBytes  5.97 Mbits/sec   0.084 ms    0/  508 (0%)
[  3]  4.0- 5.0 sec   736 KBytes  6.03 Mbits/sec   0.012 ms    0/  513 (0%)
[  3]  5.0- 6.0 sec   731 KBytes  5.99 Mbits/sec   0.069 ms    0/  509 (0%)
[  3]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec   0.507 ms    0/  414 (0%)
[  3]  7.0- 8.0 sec   590 KBytes  4.83 Mbits/sec   0.468 ms    0/  411 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.462 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.459 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   594 KBytes  4.87 Mbits/sec   0.460 ms    0/  414 (0%)
[  3] 11.0-12.0 sec   589 KBytes  4.82 Mbits/sec   0.508 ms    0/  410 (0%)
[  3] 12.0-13.0 sec   689 KBytes  5.64 Mbits/sec   0.569 ms    1/  481 (0.21%)
[  3] 13.0-14.0 sec   729 KBytes  5.97 Mbits/sec   0.546 ms    2/  510 (0.39%)
[  3] 14.0-15.0 sec   728 KBytes  5.96 Mbits/sec   0.595 ms    3/  510 (0.59%)
[  3] 15.0-16.0 sec   722 KBytes  5.92 Mbits/sec   0.536 ms    3/  506 (0.59%)
[  3] 16.0-17.0 sec   726 KBytes  5.95 Mbits/sec   0.620 ms    9/  515 (1.7%)
[  3] 17.0-18.0 sec   729 KBytes  5.97 Mbits/sec   0.595 ms    2/  510 (0.39%)
[  3] 18.0-19.0 sec   726 KBytes  5.95 Mbits/sec   0.591 ms    3/  509 (0.59%)
[  3] 19.0-20.0 sec   726 KBytes  5.95 Mbits/sec   0.602 ms    2/  508 (0.39%)
[  3] 20.0-21.0 sec   724 KBytes  5.93 Mbits/sec   0.608 ms   10/  514 (1.9%)
[  3] 21.0-22.0 sec   732 KBytes  6.00 Mbits/sec   0.585 ms    0/  510 (0%)
[  3] 22.0-23.0 sec   728 KBytes  5.96 Mbits/sec   0.520 ms    2/  509 (0.39%)
[  3] 23.0-24.0 sec   734 KBytes  6.01 Mbits/sec   0.573 ms    0/  511 (0%)
[  3] 24.0-25.0 sec   722 KBytes  5.92 Mbits/sec   0.577 ms    3/  506 (0.59%)
[  3] 25.0-26.0 sec   724 KBytes  5.93 Mbits/sec   0.550 ms   10/  514 (1.9%)
[  3] 26.0-27.0 sec   729 KBytes  5.97 Mbits/sec   0.638 ms    2/  510 (0.39%)
[  3] 27.0-28.0 sec   731 KBytes  5.99 Mbits/sec   0.553 ms    2/  511 (0.39%)
[  3] 28.0-29.0 sec   725 KBytes  5.94 Mbits/sec   0.599 ms    5/  510 (0.98%)
[  3] 29.0-30.0 sec   725 KBytes  5.94 Mbits/sec   0.562 ms    1/  506 (0.2%)
[  3] 30.0-31.0 sec   719 KBytes  5.89 Mbits/sec   0.590 ms   13/  514 (2.5%)
