------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.5.0.2 port 47245
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   589 KBytes  4.82 Mbits/sec   0.803 ms   10/  420 (2.4%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.740 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.742 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   577 KBytes  4.73 Mbits/sec   0.433 ms   22/  424 (5.2%)
[  3]  4.0- 5.0 sec   334 KBytes  2.74 Mbits/sec   0.229 ms  355/  588 (60%)
[  3]  5.0- 6.0 sec   360 KBytes  2.95 Mbits/sec   0.258 ms  353/  604 (58%)
[  3]  6.0- 7.0 sec   339 KBytes  2.78 Mbits/sec   0.257 ms  358/  594 (60%)
[  3]  7.0- 8.0 sec   340 KBytes  2.79 Mbits/sec   0.409 ms  357/  594 (60%)
[  3]  8.0- 9.0 sec   340 KBytes  2.79 Mbits/sec   0.271 ms  355/  592 (60%)
[  3]  9.0-10.0 sec   334 KBytes  2.74 Mbits/sec   0.212 ms  363/  596 (61%)
[  3] 10.0-11.0 sec   352 KBytes  2.88 Mbits/sec   0.232 ms  354/  599 (59%)
[  3] 11.0-12.0 sec   337 KBytes  2.76 Mbits/sec   0.267 ms  360/  595 (61%)
[  3] 12.0-13.0 sec   339 KBytes  2.78 Mbits/sec   0.243 ms  360/  596 (60%)
[  3] 13.0-14.0 sec   330 KBytes  2.70 Mbits/sec   0.249 ms  359/  589 (61%)
[  3] 14.0-15.0 sec   350 KBytes  2.87 Mbits/sec   0.235 ms  358/  602 (59%)
[  3] 15.0-16.0 sec   334 KBytes  2.74 Mbits/sec   0.255 ms  361/  594 (61%)
[  3] 16.0-17.0 sec   333 KBytes  2.73 Mbits/sec   0.234 ms  362/  594 (61%)
[  3] 17.0-18.0 sec   353 KBytes  2.89 Mbits/sec   0.257 ms  351/  597 (59%)
[  3] 18.0-19.0 sec   337 KBytes  2.76 Mbits/sec   0.309 ms  356/  591 (60%)
[  3] 19.0-20.0 sec   329 KBytes  2.69 Mbits/sec   0.301 ms  368/  597 (62%)
[  3] 20.0-21.0 sec   350 KBytes  2.87 Mbits/sec   0.454 ms  353/  597 (59%)
[  3] 21.0-22.0 sec   336 KBytes  2.75 Mbits/sec   0.313 ms  362/  596 (61%)
[  3] 22.0-23.0 sec   337 KBytes  2.76 Mbits/sec   0.216 ms  360/  595 (61%)
[  3] 23.0-24.0 sec   337 KBytes  2.76 Mbits/sec   0.235 ms  359/  594 (60%)
[  3] 24.0-25.0 sec   334 KBytes  2.74 Mbits/sec   0.285 ms  358/  591 (61%)
[  3] 25.0-26.0 sec   346 KBytes  2.83 Mbits/sec   0.959 ms  358/  599 (60%)
[  3] 26.0-27.0 sec   343 KBytes  2.81 Mbits/sec   0.219 ms  359/  598 (60%)
[  3] 27.0-28.0 sec   340 KBytes  2.79 Mbits/sec   0.227 ms  357/  594 (60%)
[  3] 28.0-29.0 sec   339 KBytes  2.78 Mbits/sec   0.301 ms  358/  594 (60%)
[  3] 29.0-30.0 sec   340 KBytes  2.79 Mbits/sec   0.228 ms  360/  597 (60%)
[  3] 30.0-31.0 sec   336 KBytes  2.75 Mbits/sec   0.242 ms  362/  596 (61%)
[  3] 31.0-32.0 sec   333 KBytes  2.73 Mbits/sec   0.227 ms  357/  589 (61%)
[  3] 32.0-33.0 sec   334 KBytes  2.74 Mbits/sec   0.270 ms  367/  600 (61%)
[  3] 33.0-34.0 sec   342 KBytes  2.80 Mbits/sec   0.315 ms  358/  596 (60%)
[  3] 34.0-35.0 sec   336 KBytes  2.75 Mbits/sec   0.225 ms  360/  594 (61%)
[  3] 35.0-36.0 sec   336 KBytes  2.75 Mbits/sec   0.301 ms  360/  594 (61%)
[  3] 36.0-37.0 sec   337 KBytes  2.76 Mbits/sec   0.825 ms  357/  592 (60%)
[  3] 37.0-38.0 sec   342 KBytes  2.80 Mbits/sec   0.242 ms  358/  596 (60%)
