------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.5.0.2 port 38884
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.948 ms   12/  425 (2.8%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.951 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.949 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   248 KBytes  2.03 Mbits/sec   0.201 ms  482/  655 (74%)
[  3]  4.0- 5.0 sec   218 KBytes  1.79 Mbits/sec   0.160 ms  526/  678 (78%)
[  3]  5.0- 6.0 sec   261 KBytes  2.14 Mbits/sec   0.167 ms  505/  687 (74%)
[  3]  6.0- 7.0 sec   228 KBytes  1.87 Mbits/sec   0.186 ms  520/  679 (77%)
[  3]  7.0- 8.0 sec   223 KBytes  1.82 Mbits/sec   0.226 ms  523/  678 (77%)
[  3]  8.0- 9.0 sec   221 KBytes  1.81 Mbits/sec   0.206 ms  529/  683 (77%)
[  3]  9.0-10.0 sec   220 KBytes  1.80 Mbits/sec   0.126 ms  520/  673 (77%)
[  3] 10.0-11.0 sec   221 KBytes  1.81 Mbits/sec   0.180 ms  529/  683 (77%)
[  3] 11.0-12.0 sec   253 KBytes  2.07 Mbits/sec   0.171 ms  505/  681 (74%)
[  3] 12.0-13.0 sec   224 KBytes  1.83 Mbits/sec   0.181 ms  527/  683 (77%)
[  3] 13.0-14.0 sec   225 KBytes  1.85 Mbits/sec   0.341 ms  525/  682 (77%)
[  3] 14.0-15.0 sec   218 KBytes  1.79 Mbits/sec   0.151 ms  527/  679 (78%)
[  3] 15.0-16.0 sec   224 KBytes  1.83 Mbits/sec   0.162 ms  517/  673 (77%)
[  3] 16.0-17.0 sec   270 KBytes  2.21 Mbits/sec   0.200 ms  500/  688 (73%)
[  3] 17.0-18.0 sec   241 KBytes  1.98 Mbits/sec   0.393 ms  511/  679 (75%)
[  3] 18.0-19.0 sec   223 KBytes  1.82 Mbits/sec   0.179 ms  526/  681 (77%)
[  3] 19.0-20.0 sec   223 KBytes  1.82 Mbits/sec   0.326 ms  525/  680 (77%)
[  3] 20.0-21.0 sec   223 KBytes  1.82 Mbits/sec   0.277 ms  523/  678 (77%)
[  3] 21.0-22.0 sec   224 KBytes  1.83 Mbits/sec   0.315 ms  527/  683 (77%)
[  3] 22.0-23.0 sec   225 KBytes  1.85 Mbits/sec   0.291 ms  516/  673 (77%)
[  3] 23.0-24.0 sec   258 KBytes  2.12 Mbits/sec   0.163 ms  505/  685 (74%)
[  3] 24.0-25.0 sec   218 KBytes  1.79 Mbits/sec   0.190 ms  531/  683 (78%)
[  3] 25.0-26.0 sec   218 KBytes  1.79 Mbits/sec   0.212 ms  527/  679 (78%)
[  3] 26.0-27.0 sec   223 KBytes  1.82 Mbits/sec   0.249 ms  518/  673 (77%)
[  3] 27.0-28.0 sec   267 KBytes  2.19 Mbits/sec   0.381 ms  500/  686 (73%)
[  3] 28.0-29.0 sec   227 KBytes  1.86 Mbits/sec   0.110 ms  525/  683 (77%)
[  3] 29.0-30.0 sec   231 KBytes  1.89 Mbits/sec   0.134 ms  517/  678 (76%)
[  3] 30.0-31.0 sec   230 KBytes  1.88 Mbits/sec   0.164 ms  520/  680 (76%)
