------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.4.0.1 port 48418
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   978 KBytes  8.01 Mbits/sec   0.016 ms    9/  689 (1.3%)
[  3]  1.0- 2.0 sec   976 KBytes  8.00 Mbits/sec   0.020 ms    0/  680 (0%)
[  3]  2.0- 3.0 sec   976 KBytes  8.00 Mbits/sec   0.015 ms    0/  680 (0%)
[  3]  3.0- 4.0 sec   978 KBytes  8.01 Mbits/sec   0.014 ms    0/  681 (0%)
[  3]  4.0- 5.0 sec   976 KBytes  8.00 Mbits/sec   0.016 ms    0/  680 (0%)
[  3]  5.0- 6.0 sec   976 KBytes  8.00 Mbits/sec   0.015 ms    0/  680 (0%)
[  3]  6.0- 7.0 sec   597 KBytes  4.89 Mbits/sec   0.949 ms    0/  416 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.977 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   594 KBytes  4.87 Mbits/sec   0.949 ms    0/  414 (0%)
[  3]  9.0-10.0 sec   256 KBytes  2.09 Mbits/sec   0.160 ms  472/  650 (73%)
[  3] 10.0-11.0 sec   260 KBytes  2.13 Mbits/sec   0.218 ms  504/  685 (74%)
[  3] 11.0-12.0 sec   221 KBytes  1.81 Mbits/sec   0.198 ms  524/  678 (77%)
[  3] 12.0-13.0 sec   223 KBytes  1.82 Mbits/sec   0.150 ms  528/  683 (77%)
[  3] 13.0-14.0 sec   218 KBytes  1.79 Mbits/sec   0.126 ms  527/  679 (78%)
[  3] 14.0-15.0 sec   221 KBytes  1.81 Mbits/sec   0.161 ms  519/  673 (77%)
[  3] 15.0-16.0 sec   221 KBytes  1.81 Mbits/sec   0.175 ms  533/  687 (78%)
[  3] 16.0-17.0 sec   225 KBytes  1.85 Mbits/sec   0.136 ms  522/  679 (77%)
[  3] 17.0-18.0 sec   218 KBytes  1.79 Mbits/sec   0.223 ms  530/  682 (78%)
[  3] 18.0-19.0 sec   224 KBytes  1.83 Mbits/sec   0.131 ms  523/  679 (77%)
[  3] 19.0-20.0 sec   227 KBytes  1.86 Mbits/sec   0.235 ms  520/  678 (77%)
[  3] 20.0-21.0 sec   210 KBytes  1.72 Mbits/sec   0.147 ms  538/  684 (79%)
[  3] 21.0-22.0 sec   224 KBytes  1.83 Mbits/sec   0.302 ms  523/  679 (77%)
[  3] 22.0-23.0 sec   220 KBytes  1.80 Mbits/sec   0.195 ms  529/  682 (78%)
[  3] 23.0-24.0 sec   218 KBytes  1.79 Mbits/sec   0.146 ms  527/  679 (78%)
[  3] 24.0-25.0 sec   230 KBytes  1.88 Mbits/sec   0.213 ms  522/  682 (77%)
[  3] 25.0-26.0 sec   224 KBytes  1.83 Mbits/sec   0.161 ms  518/  674 (77%)
[  3] 26.0-27.0 sec   223 KBytes  1.82 Mbits/sec   0.170 ms  530/  685 (77%)
[  3] 27.0-28.0 sec   227 KBytes  1.86 Mbits/sec   0.153 ms  525/  683 (77%)
[  3] 28.0-29.0 sec   224 KBytes  1.83 Mbits/sec   0.207 ms  522/  678 (77%)
[  3] 29.0-30.0 sec   228 KBytes  1.87 Mbits/sec   0.236 ms  519/  678 (77%)
[  3] 30.0-31.0 sec   221 KBytes  1.81 Mbits/sec   0.236 ms  529/  683 (77%)
[  3] 31.0-32.0 sec   224 KBytes  1.83 Mbits/sec   0.222 ms  518/  674 (77%)
[  3] 32.0-33.0 sec   234 KBytes  1.92 Mbits/sec   0.159 ms  520/  683 (76%)
[  3] 33.0-34.0 sec   261 KBytes  2.14 Mbits/sec   0.144 ms  501/  683 (73%)
[  3] 34.0-35.0 sec   225 KBytes  1.85 Mbits/sec   0.481 ms  521/  678 (77%)
[  3] 35.0-36.0 sec   247 KBytes  2.02 Mbits/sec   0.203 ms  511/  683 (75%)
[  3] 36.0-37.0 sec   238 KBytes  1.95 Mbits/sec   0.243 ms  512/  678 (76%)
[  3] 37.0-38.0 sec   223 KBytes  1.82 Mbits/sec   0.275 ms  524/  679 (77%)
[  3] 38.0-39.0 sec   244 KBytes  2.00 Mbits/sec   0.597 ms  513/  683 (75%)
[  3] 39.0-40.0 sec   241 KBytes  1.98 Mbits/sec   0.179 ms  514/  682 (75%)
[  3] 40.0-41.0 sec   233 KBytes  1.91 Mbits/sec   0.234 ms  517/  679 (76%)
[  3] 41.0-42.0 sec   234 KBytes  1.92 Mbits/sec   0.221 ms  519/  682 (76%)
[  3] 42.0-43.0 sec   237 KBytes  1.94 Mbits/sec   0.239 ms  514/  679 (76%)
[  3] 43.0-44.0 sec   224 KBytes  1.83 Mbits/sec   0.195 ms  517/  673 (77%)
