------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.5.0.2 port 40753
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   1.115 ms   15/  429 (3.5%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   1.115 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   619 KBytes  5.07 Mbits/sec   0.177 ms  114/  545 (21%)
[  3]  3.0- 4.0 sec   662 KBytes  5.42 Mbits/sec   0.189 ms  305/  766 (40%)
[  3]  4.0- 5.0 sec   659 KBytes  5.40 Mbits/sec   0.182 ms  295/  754 (39%)
[  3]  5.0- 6.0 sec   601 KBytes  4.93 Mbits/sec   0.331 ms  358/  777 (46%)
[  3]  6.0- 7.0 sec   668 KBytes  5.47 Mbits/sec   0.155 ms  301/  766 (39%)
[  3]  7.0- 8.0 sec   657 KBytes  5.39 Mbits/sec   0.236 ms  308/  766 (40%)
[  3]  8.0- 9.0 sec   665 KBytes  5.44 Mbits/sec   0.139 ms  302/  765 (39%)
[  3]  9.0-10.0 sec   668 KBytes  5.47 Mbits/sec   0.170 ms  301/  766 (39%)
[  3] 10.0-11.0 sec   650 KBytes  5.33 Mbits/sec   0.176 ms  301/  754 (40%)
[  3] 11.0-12.0 sec   587 KBytes  4.81 Mbits/sec   0.225 ms  366/  775 (47%)
[  3] 12.0-13.0 sec   672 KBytes  5.50 Mbits/sec   0.175 ms  298/  766 (39%)
[  3] 13.0-14.0 sec   665 KBytes  5.44 Mbits/sec   0.188 ms  302/  765 (39%)
[  3] 14.0-15.0 sec   659 KBytes  5.40 Mbits/sec   0.145 ms  307/  766 (40%)
[  3] 15.0-16.0 sec   657 KBytes  5.39 Mbits/sec   0.262 ms  303/  761 (40%)
[  3] 16.0-17.0 sec   593 KBytes  4.86 Mbits/sec   0.152 ms  360/  773 (47%)
[  3] 17.0-18.0 sec   649 KBytes  5.32 Mbits/sec   0.178 ms  314/  766 (41%)
[  3] 18.0-19.0 sec   649 KBytes  5.32 Mbits/sec   0.173 ms  304/  756 (40%)
[  3] 19.0-20.0 sec   649 KBytes  5.32 Mbits/sec   0.243 ms  274/  726 (38%)
[  3] 20.0-21.0 sec   662 KBytes  5.42 Mbits/sec   0.162 ms  348/  809 (43%)
[  3] 21.0-22.0 sec   669 KBytes  5.48 Mbits/sec   0.140 ms  300/  766 (39%)
[  3] 22.0-23.0 sec   668 KBytes  5.47 Mbits/sec   0.255 ms  306/  771 (40%)
[  3] 23.0-24.0 sec   673 KBytes  5.52 Mbits/sec   0.181 ms  296/  765 (39%)
[  3] 24.0-25.0 sec   688 KBytes  5.63 Mbits/sec   0.185 ms  287/  766 (37%)
[  3] 25.0-26.0 sec   660 KBytes  5.41 Mbits/sec   0.177 ms  307/  767 (40%)
[  3] 26.0-27.0 sec   669 KBytes  5.48 Mbits/sec   0.154 ms  292/  758 (39%)
[  3] 27.0-28.0 sec   660 KBytes  5.41 Mbits/sec   0.154 ms  310/  770 (40%)
[  3] 28.0-29.0 sec   675 KBytes  5.53 Mbits/sec   0.152 ms  295/  765 (39%)
[  3] 29.0-30.0 sec   660 KBytes  5.41 Mbits/sec   0.152 ms  306/  766 (40%)
[  3] 30.0-31.0 sec   659 KBytes  5.40 Mbits/sec   0.184 ms  304/  763 (40%)
[  3] 31.0-32.0 sec   673 KBytes  5.52 Mbits/sec   0.790 ms  297/  766 (39%)
[  3] 32.0-33.0 sec   715 KBytes  5.86 Mbits/sec   0.187 ms  270/  768 (35%)
[  3] 33.0-34.0 sec   643 KBytes  5.27 Mbits/sec   0.160 ms  317/  765 (41%)
[  3] 34.0-35.0 sec   665 KBytes  5.44 Mbits/sec   0.166 ms  303/  766 (40%)
[  3] 35.0-36.0 sec   657 KBytes  5.39 Mbits/sec   0.161 ms  306/  764 (40%)
[  3] 36.0-37.0 sec   702 KBytes  5.75 Mbits/sec   0.145 ms  280/  769 (36%)
[  3] 37.0-38.0 sec   659 KBytes  5.40 Mbits/sec   0.201 ms  305/  764 (40%)
[  3] 38.0-39.0 sec   656 KBytes  5.37 Mbits/sec   0.159 ms  310/  767 (40%)
[  3] 39.0-40.0 sec   659 KBytes  5.40 Mbits/sec   0.165 ms  307/  766 (40%)
[  3] 40.0-41.0 sec   652 KBytes  5.34 Mbits/sec   0.181 ms  307/  761 (40%)
