------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.1 port 5001 connected with 10.2.0.1 port 49591
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1.07 MBytes  9.01 Mbits/sec   0.008 ms    9/  775 (1.2%)
[  3]  1.0- 2.0 sec  1.07 MBytes  9.01 Mbits/sec   0.006 ms    0/  766 (0%)
[  3]  2.0- 3.0 sec  1.07 MBytes  9.01 Mbits/sec   0.012 ms    0/  766 (0%)
[  3]  3.0- 4.0 sec  1.07 MBytes  9.00 Mbits/sec   0.009 ms    0/  765 (0%)
[  3]  4.0- 5.0 sec  1.07 MBytes  9.01 Mbits/sec   0.011 ms    0/  766 (0%)
[  3]  5.0- 6.0 sec  1.07 MBytes  9.00 Mbits/sec   0.107 ms    0/  765 (0%)
[  3]  6.0- 7.0 sec   600 KBytes  4.92 Mbits/sec   1.116 ms    0/  418 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   1.113 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   653 KBytes  5.35 Mbits/sec   0.147 ms   84/  539 (16%)
[  3]  9.0-10.0 sec   762 KBytes  6.24 Mbits/sec   0.236 ms  231/  762 (30%)
[  3] 10.0-11.0 sec   797 KBytes  6.53 Mbits/sec   0.181 ms  214/  769 (28%)
[  3] 11.0-12.0 sec   759 KBytes  6.22 Mbits/sec   0.172 ms  236/  765 (31%)
[  3] 12.0-13.0 sec   772 KBytes  6.33 Mbits/sec   0.182 ms  228/  766 (30%)
[  3] 13.0-14.0 sec   775 KBytes  6.35 Mbits/sec   0.168 ms  225/  765 (29%)
[  3] 14.0-15.0 sec   759 KBytes  6.22 Mbits/sec   0.178 ms  237/  766 (31%)
[  3] 15.0-16.0 sec   767 KBytes  6.28 Mbits/sec   0.173 ms  229/  763 (30%)
[  3] 16.0-17.0 sec   814 KBytes  6.67 Mbits/sec   0.296 ms  202/  769 (26%)
[  3] 17.0-18.0 sec   781 KBytes  6.40 Mbits/sec   0.176 ms  221/  765 (29%)
[  3] 18.0-19.0 sec   767 KBytes  6.28 Mbits/sec   0.198 ms  232/  766 (30%)
[  3] 19.0-20.0 sec   751 KBytes  6.15 Mbits/sec   0.157 ms  243/  766 (32%)
[  3] 20.0-21.0 sec   777 KBytes  6.36 Mbits/sec   0.173 ms  222/  763 (29%)
[  3] 21.0-22.0 sec   765 KBytes  6.27 Mbits/sec   0.176 ms  233/  766 (30%)
[  3] 22.0-23.0 sec   795 KBytes  6.52 Mbits/sec   0.241 ms  217/  771 (28%)
[  3] 23.0-24.0 sec   738 KBytes  6.04 Mbits/sec   0.186 ms  252/  766 (33%)
[  3] 24.0-25.0 sec   746 KBytes  6.12 Mbits/sec   0.153 ms  245/  765 (32%)
