------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.1.0.2 port 59095
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   854 KBytes  7.00 Mbits/sec   0.010 ms    0/  595 (0%)
[  3]  1.0- 2.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3]  2.0- 3.0 sec   856 KBytes  7.01 Mbits/sec   0.010 ms    0/  596 (0%)
[  3]  3.0- 4.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.010 ms    0/  595 (0%)
[  3]  5.0- 6.0 sec   854 KBytes  7.00 Mbits/sec   0.015 ms    0/  595 (0%)
[  3]  6.0- 7.0 sec   854 KBytes  7.00 Mbits/sec   0.012 ms    0/  595 (0%)
[  3]  7.0- 8.0 sec   856 KBytes  7.01 Mbits/sec   0.012 ms    0/  596 (0%)
[  3]  8.0- 9.0 sec   854 KBytes  7.00 Mbits/sec   0.010 ms    0/  595 (0%)
[  3]  9.0-10.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3] 10.0-11.0 sec   854 KBytes  7.00 Mbits/sec   0.006 ms    0/  595 (0%)
[  3] 11.0-12.0 sec   856 KBytes  7.01 Mbits/sec   0.011 ms    0/  596 (0%)
[  3] 12.0-13.0 sec   596 KBytes  4.88 Mbits/sec   0.739 ms    0/  415 (0%)
[  3] 13.0-14.0 sec   589 KBytes  4.82 Mbits/sec   0.740 ms    0/  410 (0%)
[  3] 14.0-15.0 sec   594 KBytes  4.87 Mbits/sec   0.736 ms    0/  414 (0%)
[  3] 15.0-16.0 sec   597 KBytes  4.89 Mbits/sec   0.515 ms    6/  422 (1.4%)
[  3] 16.0-17.0 sec   620 KBytes  5.08 Mbits/sec   0.425 ms  163/  595 (27%)
[  3] 17.0-18.0 sec   619 KBytes  5.07 Mbits/sec   0.502 ms  160/  591 (27%)
[  3] 18.0-19.0 sec   601 KBytes  4.93 Mbits/sec   0.661 ms  181/  600 (30%)
[  3] 19.0-20.0 sec   624 KBytes  5.12 Mbits/sec   0.464 ms  159/  594 (27%)
[  3] 20.0-21.0 sec   624 KBytes  5.12 Mbits/sec   0.416 ms  161/  596 (27%)
[  3] 21.0-22.0 sec   632 KBytes  5.17 Mbits/sec   0.464 ms  155/  595 (26%)
[  3] 22.0-23.0 sec   623 KBytes  5.10 Mbits/sec   0.424 ms  157/  591 (27%)
[  3] 23.0-24.0 sec   632 KBytes  5.17 Mbits/sec   0.482 ms  159/  599 (27%)
