------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.2 port 5001 connected with 10.2.0.2 port 34332
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.948 ms    0/  413 (0%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.953 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.988 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   523 KBytes  4.28 Mbits/sec   0.274 ms  295/  659 (45%)
[  3]  4.0- 5.0 sec   510 KBytes  4.17 Mbits/sec   0.333 ms  319/  674 (47%)
[  3]  5.0- 6.0 sec   491 KBytes  4.02 Mbits/sec   0.306 ms  345/  687 (50%)
[  3]  6.0- 7.0 sec   523 KBytes  4.28 Mbits/sec   0.294 ms  315/  679 (46%)
[  3]  7.0- 8.0 sec   521 KBytes  4.27 Mbits/sec   0.321 ms  319/  682 (47%)
[  3]  8.0- 9.0 sec   518 KBytes  4.25 Mbits/sec   0.333 ms  318/  679 (47%)
[  3]  9.0-10.0 sec   530 KBytes  4.34 Mbits/sec   0.307 ms  304/  673 (45%)
[  3] 10.0-11.0 sec   505 KBytes  4.14 Mbits/sec   0.315 ms  337/  689 (49%)
[  3] 11.0-12.0 sec   527 KBytes  4.32 Mbits/sec   0.360 ms  311/  678 (46%)
[  3] 12.0-13.0 sec   510 KBytes  4.17 Mbits/sec   0.292 ms  327/  682 (48%)
[  3] 13.0-14.0 sec   527 KBytes  4.32 Mbits/sec   0.534 ms  313/  680 (46%)
[  3] 14.0-15.0 sec  1.02 MBytes  8.53 Mbits/sec   0.278 ms   67/  792 (8.5%)
[  3] 15.0-16.0 sec  1.15 MBytes  9.65 Mbits/sec   0.353 ms    0/  821 (0%)
[  3] 16.0-17.0 sec   597 KBytes  4.89 Mbits/sec   0.701 ms    7/  423 (1.7%)
[  3] 17.0-18.0 sec   543 KBytes  4.45 Mbits/sec   0.299 ms  305/  683 (45%)
[  3] 18.0-19.0 sec   515 KBytes  4.22 Mbits/sec   0.667 ms  320/  679 (47%)
[  3] 19.0-20.0 sec   517 KBytes  4.23 Mbits/sec   0.320 ms  322/  682 (47%)
[  3] 20.0-21.0 sec   515 KBytes  4.22 Mbits/sec   0.295 ms  323/  682 (47%)
[  3] 21.0-22.0 sec   523 KBytes  4.28 Mbits/sec   0.426 ms  315/  679 (46%)
[  3] 22.0-23.0 sec   510 KBytes  4.17 Mbits/sec   0.306 ms  321/  676 (47%)
[  3] 23.0-24.0 sec   491 KBytes  4.02 Mbits/sec   0.299 ms  343/  685 (50%)
[  3] 24.0-25.0 sec   533 KBytes  4.36 Mbits/sec   0.278 ms  308/  679 (45%)
