------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.1.0.1 port 59231
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   612 KBytes  5.01 Mbits/sec   0.014 ms    4/  430 (0.93%)
[  3]  1.0- 2.0 sec   610 KBytes  5.00 Mbits/sec   0.009 ms    0/  425 (0%)
[  3]  2.0- 3.0 sec   610 KBytes  5.00 Mbits/sec   0.013 ms    0/  425 (0%)
[  3]  3.0- 4.0 sec   610 KBytes  5.00 Mbits/sec   0.011 ms    0/  425 (0%)
[  3]  4.0- 5.0 sec   610 KBytes  5.00 Mbits/sec   0.021 ms    0/  425 (0%)
[  3]  5.0- 6.0 sec   612 KBytes  5.01 Mbits/sec   0.011 ms    0/  426 (0%)
[  3]  6.0- 7.0 sec   610 KBytes  5.00 Mbits/sec   0.012 ms    0/  425 (0%)
[  3]  7.0- 8.0 sec   610 KBytes  5.00 Mbits/sec   0.012 ms    0/  425 (0%)
[  3]  8.0- 9.0 sec   610 KBytes  5.00 Mbits/sec   0.006 ms    0/  425 (0%)
[  3]  9.0-10.0 sec   610 KBytes  5.00 Mbits/sec   0.015 ms    0/  425 (0%)
[  3] 10.0-11.0 sec   610 KBytes  5.00 Mbits/sec   0.012 ms    0/  425 (0%)
[  3] 11.0-12.0 sec   612 KBytes  5.01 Mbits/sec   0.012 ms    0/  426 (0%)
[  3] 12.0-13.0 sec   593 KBytes  4.86 Mbits/sec   0.235 ms    0/  413 (0%)
[  3] 13.0-14.0 sec   589 KBytes  4.82 Mbits/sec   0.158 ms    0/  410 (0%)
[  3] 14.0-15.0 sec   593 KBytes  4.86 Mbits/sec   0.215 ms    0/  413 (0%)
[  3] 15.0-16.0 sec   594 KBytes  4.87 Mbits/sec   0.130 ms    0/  414 (0%)
[  3] 16.0-17.0 sec   593 KBytes  4.86 Mbits/sec   0.238 ms    0/  413 (0%)
[  3] 17.0-18.0 sec   593 KBytes  4.86 Mbits/sec   0.219 ms    0/  413 (0%)
[  3] 18.0-19.0 sec   590 KBytes  4.83 Mbits/sec   0.105 ms    0/  411 (0%)
[  3] 19.0-20.0 sec   593 KBytes  4.86 Mbits/sec   0.126 ms    0/  413 (0%)
[  3] 20.0-21.0 sec   594 KBytes  4.87 Mbits/sec   0.273 ms    0/  414 (0%)
[  3] 21.0-22.0 sec   593 KBytes  4.86 Mbits/sec   0.107 ms    0/  413 (0%)
[  3] 22.0-23.0 sec   593 KBytes  4.86 Mbits/sec   0.232 ms    0/  413 (0%)
[  3] 23.0-24.0 sec   593 KBytes  4.86 Mbits/sec   0.164 ms    0/  413 (0%)
