------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.1 port 5001 connected with 10.2.0.2 port 42389
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.462 ms    6/  420 (1.4%)
[  3]  1.0- 2.0 sec   589 KBytes  4.82 Mbits/sec   0.459 ms    0/  410 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.464 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   594 KBytes  4.87 Mbits/sec   0.481 ms    0/  414 (0%)
[  3]  4.0- 5.0 sec   589 KBytes  4.82 Mbits/sec   0.685 ms    0/  410 (0%)
[  3]  5.0- 6.0 sec   593 KBytes  4.86 Mbits/sec   0.471 ms    0/  413 (0%)
[  3]  6.0- 7.0 sec   500 KBytes  4.09 Mbits/sec   0.359 ms  133/  481 (28%)
[  3]  7.0- 8.0 sec   457 KBytes  3.74 Mbits/sec   0.354 ms  191/  509 (38%)
[  3]  8.0- 9.0 sec   454 KBytes  3.72 Mbits/sec   0.374 ms  192/  508 (38%)
[  3]  9.0-10.0 sec   455 KBytes  3.73 Mbits/sec   0.349 ms  192/  509 (38%)
[  3] 10.0-11.0 sec   452 KBytes  3.70 Mbits/sec   0.371 ms  200/  515 (39%)
[  3] 11.0-12.0 sec   454 KBytes  3.72 Mbits/sec   0.365 ms  193/  509 (38%)
[  3] 12.0-13.0 sec   458 KBytes  3.75 Mbits/sec   0.417 ms  192/  511 (38%)
[  3] 13.0-14.0 sec   449 KBytes  3.68 Mbits/sec   0.379 ms  193/  506 (38%)
[  3] 14.0-15.0 sec   465 KBytes  3.81 Mbits/sec   0.366 ms  190/  514 (37%)
[  3] 15.0-16.0 sec   457 KBytes  3.74 Mbits/sec   0.342 ms  192/  510 (38%)
[  3] 16.0-17.0 sec   455 KBytes  3.73 Mbits/sec   0.389 ms  194/  511 (38%)
[  3] 17.0-18.0 sec   451 KBytes  3.69 Mbits/sec   0.479 ms  192/  506 (38%)
[  3] 18.0-19.0 sec   455 KBytes  3.73 Mbits/sec   0.437 ms  194/  511 (38%)
[  3] 19.0-20.0 sec   464 KBytes  3.80 Mbits/sec   0.366 ms  190/  513 (37%)
[  3] 20.0-21.0 sec   454 KBytes  3.72 Mbits/sec   0.355 ms  194/  510 (38%)
[  3] 21.0-22.0 sec   455 KBytes  3.73 Mbits/sec   0.399 ms  194/  511 (38%)
[  3] 22.0-23.0 sec   454 KBytes  3.72 Mbits/sec   0.387 ms  191/  507 (38%)
[  3] 23.0-24.0 sec   465 KBytes  3.81 Mbits/sec   0.757 ms  188/  512 (37%)
[  3] 24.0-25.0 sec   459 KBytes  3.76 Mbits/sec   0.361 ms  191/  511 (37%)
[  3] 25.0-26.0 sec   455 KBytes  3.73 Mbits/sec   0.358 ms  194/  511 (38%)
[  3] 26.0-27.0 sec   454 KBytes  3.72 Mbits/sec   0.388 ms  193/  509 (38%)
[  3] 27.0-28.0 sec   461 KBytes  3.77 Mbits/sec   0.427 ms  190/  511 (37%)
[  3] 28.0-29.0 sec   457 KBytes  3.74 Mbits/sec   0.359 ms  192/  510 (38%)
[  3] 29.0-30.0 sec   452 KBytes  3.70 Mbits/sec   0.373 ms  192/  507 (38%)
[  3] 30.0-31.0 sec   465 KBytes  3.81 Mbits/sec   0.453 ms  189/  513 (37%)
[  3] 31.0-32.0 sec   455 KBytes  3.73 Mbits/sec   0.382 ms  194/  511 (38%)
[  3] 32.0-33.0 sec   455 KBytes  3.73 Mbits/sec   0.406 ms  193/  510 (38%)
[  3] 33.0-34.0 sec   446 KBytes  3.66 Mbits/sec   0.819 ms  185/  496 (37%)
[  3] 34.0-35.0 sec   457 KBytes  3.74 Mbits/sec   0.689 ms  193/  511 (38%)
[  3] 35.0-36.0 sec   448 KBytes  3.67 Mbits/sec   1.238 ms  191/  503 (38%)
[  3] 36.0-37.0 sec   481 KBytes  3.94 Mbits/sec   0.469 ms  196/  531 (37%)
[  3] 37.0-38.0 sec   457 KBytes  3.74 Mbits/sec   0.357 ms  191/  509 (38%)
[  3] 38.0-39.0 sec   458 KBytes  3.75 Mbits/sec   0.342 ms  192/  511 (38%)
[  3] 39.0-40.0 sec   458 KBytes  3.75 Mbits/sec   0.414 ms  191/  510 (37%)
[  3] 40.0-41.0 sec   457 KBytes  3.74 Mbits/sec   0.362 ms  193/  511 (38%)
[  3] 41.0-42.0 sec   452 KBytes  3.70 Mbits/sec   0.369 ms  191/  506 (38%)
[  3] 42.0-43.0 sec   465 KBytes  3.81 Mbits/sec   0.986 ms  189/  513 (37%)
[  3] 43.0-44.0 sec   457 KBytes  3.74 Mbits/sec   0.339 ms  193/  511 (38%)
[  3] 44.0-45.0 sec   454 KBytes  3.72 Mbits/sec   0.373 ms  193/  509 (38%)
[  3] 45.0-46.0 sec   459 KBytes  3.76 Mbits/sec   0.392 ms  191/  511 (37%)
[  3] 46.0-47.0 sec   455 KBytes  3.73 Mbits/sec   0.919 ms  194/  511 (38%)
[  3] 47.0-48.0 sec   452 KBytes  3.70 Mbits/sec   0.922 ms  190/  505 (38%)
[  3] 48.0-49.0 sec   467 KBytes  3.82 Mbits/sec   0.815 ms  188/  513 (37%)
[  3] 49.0-50.0 sec   455 KBytes  3.73 Mbits/sec   0.420 ms  193/  510 (38%)
[  3] 50.0-51.0 sec   629 KBytes  5.15 Mbits/sec   0.607 ms   13/  451 (2.9%)
[  3] 51.0-52.0 sec   596 KBytes  4.88 Mbits/sec   0.761 ms    0/  415 (0%)
[  3] 52.0-53.0 sec   563 KBytes  4.61 Mbits/sec   0.850 ms    0/  392 (0%)
[  3] 53.0-54.0 sec   550 KBytes  4.50 Mbits/sec   1.173 ms   32/  415 (7.7%)
[  3] 54.0-55.0 sec   467 KBytes  3.82 Mbits/sec   0.451 ms  190/  515 (37%)
[  3] 55.0-56.0 sec   457 KBytes  3.74 Mbits/sec   0.381 ms  190/  508 (37%)
[  3] 56.0-57.0 sec   458 KBytes  3.75 Mbits/sec   0.398 ms  192/  511 (38%)
[  3] 57.0-58.0 sec   451 KBytes  3.69 Mbits/sec   0.391 ms  190/  504 (38%)
[  3] 58.0-59.0 sec   461 KBytes  3.77 Mbits/sec   0.413 ms  194/  515 (38%)
[  3] 59.0-60.0 sec   458 KBytes  3.75 Mbits/sec   0.565 ms  198/  517 (38%)
[  3] 60.0-61.0 sec   455 KBytes  3.73 Mbits/sec   0.343 ms  193/  510 (38%)
[  3] 61.0-62.0 sec   454 KBytes  3.72 Mbits/sec   0.602 ms  192/  508 (38%)
[  3] 62.0-63.0 sec   461 KBytes  3.77 Mbits/sec   0.606 ms  193/  514 (38%)
[  3] 63.0-64.0 sec   467 KBytes  3.82 Mbits/sec   0.565 ms  192/  517 (37%)
[  3] 64.0-65.0 sec   457 KBytes  3.74 Mbits/sec   0.793 ms  191/  509 (38%)
[  3] 65.0-66.0 sec   457 KBytes  3.74 Mbits/sec   0.469 ms  195/  513 (38%)
[  3] 66.0-67.0 sec   461 KBytes  3.77 Mbits/sec   0.575 ms  189/  510 (37%)
[  3] 67.0-68.0 sec   457 KBytes  3.74 Mbits/sec   0.418 ms  195/  513 (38%)
