------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.2 port 5001 connected with 10.5.0.1 port 35658
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   590 KBytes  4.83 Mbits/sec   0.504 ms  268/  679 (39%)
[  3]  1.0- 2.0 sec   874 KBytes  7.16 Mbits/sec   7.899 ms  149/  609 (24%)
[  3]  1.0- 2.0 sec  149 datagrams received out-of-order
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.008 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.008 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   734 KBytes  6.01 Mbits/sec   0.008 ms    0/  511 (0%)
[  3]  5.0- 6.0 sec   663 KBytes  5.43 Mbits/sec   0.459 ms    0/  462 (0%)
[  3]  6.0- 7.0 sec   593 KBytes  4.86 Mbits/sec   0.564 ms    0/  413 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.457 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.464 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.458 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   594 KBytes  4.87 Mbits/sec   0.457 ms    0/  414 (0%)
[  3] 11.0-12.0 sec   610 KBytes  5.00 Mbits/sec   0.591 ms    0/  425 (0%)
[  3] 12.0-13.0 sec   724 KBytes  5.93 Mbits/sec   0.598 ms    2/  506 (0.4%)
[  3] 13.0-14.0 sec   736 KBytes  6.03 Mbits/sec   0.642 ms    3/  516 (0.58%)
[  3] 14.0-15.0 sec   728 KBytes  5.96 Mbits/sec   0.594 ms    2/  509 (0.39%)
[  3] 15.0-16.0 sec   732 KBytes  6.00 Mbits/sec   0.570 ms    0/  510 (0%)
[  3] 16.0-17.0 sec   731 KBytes  5.99 Mbits/sec   0.585 ms    2/  511 (0.39%)
[  3] 17.0-18.0 sec   722 KBytes  5.92 Mbits/sec   0.587 ms    3/  506 (0.59%)
[  3] 18.0-19.0 sec   736 KBytes  6.03 Mbits/sec   0.562 ms    1/  514 (0.19%)
[  3] 19.0-20.0 sec   731 KBytes  5.99 Mbits/sec   0.569 ms    1/  510 (0.2%)
[  3] 20.0-21.0 sec   726 KBytes  5.95 Mbits/sec   0.608 ms    1/  507 (0.2%)
[  3] 21.0-22.0 sec   722 KBytes  5.92 Mbits/sec   0.554 ms   11/  514 (2.1%)
[  3] 22.0-23.0 sec   729 KBytes  5.97 Mbits/sec   0.579 ms    3/  511 (0.59%)
[  3] 23.0-24.0 sec   732 KBytes  6.00 Mbits/sec   0.549 ms    4/  514 (0.78%)
[  3] 24.0-25.0 sec   719 KBytes  5.89 Mbits/sec   0.572 ms    6/  507 (1.2%)
[  3] 25.0-26.0 sec   711 KBytes  5.82 Mbits/sec   0.613 ms   20/  515 (3.9%)
[  3] 26.0-27.0 sec   722 KBytes  5.92 Mbits/sec   0.566 ms    6/  509 (1.2%)
[  3] 27.0-28.0 sec   726 KBytes  5.95 Mbits/sec   0.581 ms    3/  509 (0.59%)
[  3] 28.0-29.0 sec   718 KBytes  5.88 Mbits/sec   0.618 ms    6/  506 (1.2%)
[  3] 29.0-30.0 sec   734 KBytes  6.01 Mbits/sec   0.586 ms    5/  516 (0.97%)
[  3] 30.0-31.0 sec   721 KBytes  5.90 Mbits/sec   0.578 ms    8/  510 (1.6%)
[  3] 31.0-32.0 sec   722 KBytes  5.92 Mbits/sec   0.544 ms    5/  508 (0.98%)
[  3] 32.0-33.0 sec   721 KBytes  5.90 Mbits/sec   0.624 ms    4/  506 (0.79%)
[  3] 33.0-34.0 sec   719 KBytes  5.89 Mbits/sec   0.724 ms   15/  516 (2.9%)
[  3] 34.0-35.0 sec   728 KBytes  5.96 Mbits/sec   0.556 ms    6/  513 (1.2%)
[  3] 35.0-36.0 sec   719 KBytes  5.89 Mbits/sec   0.586 ms    9/  510 (1.8%)
[  3] 36.0-37.0 sec   721 KBytes  5.90 Mbits/sec   0.593 ms    5/  507 (0.99%)
[  3] 37.0-38.0 sec   724 KBytes  5.93 Mbits/sec   0.496 ms    4/  508 (0.79%)
