------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.4.0.2 port 34916
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   590 KBytes  4.83 Mbits/sec   1.017 ms   11/  422 (2.6%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.742 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   594 KBytes  4.87 Mbits/sec   0.740 ms    0/  414 (0%)
[  3]  3.0- 4.0 sec   579 KBytes  4.74 Mbits/sec   0.437 ms   20/  423 (4.7%)
[  3]  4.0- 5.0 sec   336 KBytes  2.75 Mbits/sec   0.224 ms  360/  594 (61%)
[  3]  5.0- 6.0 sec   332 KBytes  2.72 Mbits/sec   0.258 ms  361/  592 (61%)
[  3]  6.0- 7.0 sec   334 KBytes  2.74 Mbits/sec   0.195 ms  360/  593 (61%)
[  3]  7.0- 8.0 sec   355 KBytes  2.90 Mbits/sec   0.225 ms  354/  601 (59%)
[  3]  8.0- 9.0 sec   333 KBytes  2.73 Mbits/sec   0.263 ms  363/  595 (61%)
[  3]  9.0-10.0 sec   332 KBytes  2.72 Mbits/sec   0.283 ms  360/  591 (61%)
[  3] 10.0-11.0 sec   332 KBytes  2.72 Mbits/sec   0.272 ms  370/  601 (62%)
[  3] 11.0-12.0 sec   334 KBytes  2.74 Mbits/sec   0.349 ms  361/  594 (61%)
[  3] 12.0-13.0 sec   332 KBytes  2.72 Mbits/sec   0.216 ms  363/  594 (61%)
[  3] 13.0-14.0 sec   337 KBytes  2.76 Mbits/sec   0.225 ms  362/  597 (61%)
[  3] 14.0-15.0 sec   334 KBytes  2.74 Mbits/sec   0.225 ms  363/  596 (61%)
[  3] 15.0-16.0 sec   336 KBytes  2.75 Mbits/sec   0.220 ms  360/  594 (61%)
[  3] 16.0-17.0 sec   336 KBytes  2.75 Mbits/sec   0.192 ms  360/  594 (61%)
[  3] 17.0-18.0 sec   339 KBytes  2.78 Mbits/sec   0.228 ms  361/  597 (60%)
[  3] 18.0-19.0 sec   333 KBytes  2.73 Mbits/sec   0.218 ms  362/  594 (61%)
[  3] 19.0-20.0 sec   342 KBytes  2.80 Mbits/sec   0.242 ms  359/  597 (60%)
[  3] 20.0-21.0 sec   333 KBytes  2.73 Mbits/sec   0.210 ms  362/  594 (61%)
[  3] 21.0-22.0 sec   332 KBytes  2.72 Mbits/sec   0.221 ms  360/  591 (61%)
[  3] 22.0-23.0 sec   329 KBytes  2.69 Mbits/sec   0.187 ms  371/  600 (62%)
[  3] 23.0-24.0 sec   340 KBytes  2.79 Mbits/sec   0.213 ms  360/  597 (60%)
