------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.4.0.1 port 39066
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.025 ms    7/  517 (1.4%)
[  3]  1.0- 2.0 sec   734 KBytes  6.01 Mbits/sec   0.017 ms    0/  511 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.024 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.011 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.019 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.023 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   596 KBytes  4.88 Mbits/sec   0.459 ms    0/  415 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.462 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.494 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   589 KBytes  4.82 Mbits/sec   0.960 ms    0/  410 (0%)
[  3] 10.0-11.0 sec   594 KBytes  4.87 Mbits/sec   0.645 ms    0/  414 (0%)
[  3] 11.0-12.0 sec   593 KBytes  4.86 Mbits/sec   0.504 ms    0/  413 (0%)
[  3] 12.0-13.0 sec   531 KBytes  4.35 Mbits/sec   0.430 ms  106/  476 (22%)
[  3] 13.0-14.0 sec   481 KBytes  3.94 Mbits/sec   0.407 ms  174/  509 (34%)
[  3] 14.0-15.0 sec   494 KBytes  4.05 Mbits/sec   0.409 ms  167/  511 (33%)
[  3] 15.0-16.0 sec   484 KBytes  3.96 Mbits/sec   0.390 ms  174/  511 (34%)
[  3] 16.0-17.0 sec   487 KBytes  3.99 Mbits/sec   0.409 ms  170/  509 (33%)
[  3] 17.0-18.0 sec   490 KBytes  4.01 Mbits/sec   0.373 ms  170/  511 (33%)
[  3] 18.0-19.0 sec   485 KBytes  3.97 Mbits/sec   0.407 ms  172/  510 (34%)
[  3] 19.0-20.0 sec   485 KBytes  3.97 Mbits/sec   0.384 ms  168/  506 (33%)
[  3] 20.0-21.0 sec   479 KBytes  3.93 Mbits/sec   0.409 ms  181/  515 (35%)
[  3] 21.0-22.0 sec   488 KBytes  4.00 Mbits/sec   0.382 ms  169/  509 (33%)
[  3] 22.0-23.0 sec   492 KBytes  4.03 Mbits/sec   0.429 ms  168/  511 (33%)
[  3] 23.0-24.0 sec   490 KBytes  4.01 Mbits/sec   0.370 ms  170/  511 (33%)
[  3] 24.0-25.0 sec   484 KBytes  3.96 Mbits/sec   0.383 ms  173/  510 (34%)
[  3] 25.0-26.0 sec   488 KBytes  4.00 Mbits/sec   0.645 ms  166/  506 (33%)
[  3] 26.0-27.0 sec   491 KBytes  4.02 Mbits/sec   0.367 ms  169/  511 (33%)
[  3] 27.0-28.0 sec   481 KBytes  3.94 Mbits/sec   0.399 ms  179/  514 (35%)
[  3] 28.0-29.0 sec   500 KBytes  4.09 Mbits/sec   0.426 ms  160/  508 (31%)
[  3] 29.0-30.0 sec   494 KBytes  4.05 Mbits/sec   0.409 ms  167/  511 (33%)
[  3] 30.0-31.0 sec   494 KBytes  4.05 Mbits/sec   0.402 ms  167/  511 (33%)
[  3] 31.0-32.0 sec   492 KBytes  4.03 Mbits/sec   0.401 ms  166/  509 (33%)
[  3] 32.0-33.0 sec   495 KBytes  4.06 Mbits/sec   0.453 ms  161/  506 (32%)
[  3] 33.0-34.0 sec   481 KBytes  3.94 Mbits/sec   0.402 ms  179/  514 (35%)
[  3] 34.0-35.0 sec   487 KBytes  3.99 Mbits/sec   0.390 ms  172/  511 (34%)
[  3] 35.0-36.0 sec   497 KBytes  4.07 Mbits/sec   0.553 ms  165/  511 (32%)
[  3] 36.0-37.0 sec   497 KBytes  4.07 Mbits/sec   0.406 ms  164/  510 (32%)
[  3] 37.0-38.0 sec   490 KBytes  4.01 Mbits/sec   0.436 ms  168/  509 (33%)
[  3] 38.0-39.0 sec   490 KBytes  4.01 Mbits/sec   0.379 ms  165/  506 (33%)
[  3] 39.0-40.0 sec   504 KBytes  4.13 Mbits/sec   0.512 ms  164/  515 (32%)
[  3] 40.0-41.0 sec   495 KBytes  4.06 Mbits/sec   0.531 ms  166/  511 (32%)
[  3] 41.0-42.0 sec   490 KBytes  4.01 Mbits/sec   0.358 ms  169/  510 (33%)
[  3] 42.0-43.0 sec   494 KBytes  4.05 Mbits/sec   0.440 ms  165/  509 (32%)
[  3] 43.0-44.0 sec   482 KBytes  3.95 Mbits/sec   0.483 ms  170/  506 (34%)
[  3] 44.0-45.0 sec   491 KBytes  4.02 Mbits/sec   0.394 ms  169/  511 (33%)
[  3] 45.0-46.0 sec   498 KBytes  4.08 Mbits/sec   0.380 ms  167/  514 (32%)
[  3] 46.0-47.0 sec   488 KBytes  4.00 Mbits/sec   0.370 ms  171/  511 (33%)
[  3] 47.0-48.0 sec   490 KBytes  4.01 Mbits/sec   0.366 ms  170/  511 (33%)
[  3] 48.0-49.0 sec   485 KBytes  3.97 Mbits/sec   0.433 ms  171/  509 (34%)
[  3] 49.0-50.0 sec   494 KBytes  4.05 Mbits/sec   0.568 ms  163/  507 (32%)
[  3] 50.0-51.0 sec   492 KBytes  4.03 Mbits/sec   0.377 ms  170/  513 (33%)
[  3] 51.0-52.0 sec   497 KBytes  4.07 Mbits/sec   0.482 ms  165/  511 (32%)
[  3] 52.0-53.0 sec   484 KBytes  3.96 Mbits/sec   0.443 ms  173/  510 (34%)
[  3] 53.0-54.0 sec   484 KBytes  3.96 Mbits/sec   0.394 ms  172/  509 (34%)
[  3] 54.0-55.0 sec   485 KBytes  3.97 Mbits/sec   0.432 ms  168/  506 (33%)
[  3] 55.0-56.0 sec   504 KBytes  4.13 Mbits/sec   0.548 ms  165/  516 (32%)
[  3] 56.0-57.0 sec   490 KBytes  4.01 Mbits/sec   0.436 ms  169/  510 (33%)
[  3] 57.0-58.0 sec   488 KBytes  4.00 Mbits/sec   0.443 ms  170/  510 (33%)
[  3] 58.0-59.0 sec   488 KBytes  4.00 Mbits/sec   0.418 ms  169/  509 (33%)
[  3] 59.0-60.0 sec   487 KBytes  3.99 Mbits/sec   0.390 ms  172/  511 (34%)
[  3] 60.0-61.0 sec   494 KBytes  4.05 Mbits/sec   0.407 ms  167/  511 (33%)
[  3] 61.0-62.0 sec   487 KBytes  3.99 Mbits/sec   0.387 ms  167/  506 (33%)
[  3] 62.0-63.0 sec   482 KBytes  3.95 Mbits/sec   0.453 ms  178/  514 (35%)
[  3] 63.0-64.0 sec   490 KBytes  4.01 Mbits/sec   0.416 ms  169/  510 (33%)
[  3] 64.0-65.0 sec   481 KBytes  3.94 Mbits/sec   0.383 ms  176/  511 (34%)
[  3] 65.0-66.0 sec   490 KBytes  4.01 Mbits/sec   0.721 ms  165/  506 (33%)
[  3] 66.0-67.0 sec   508 KBytes  4.16 Mbits/sec   0.769 ms  160/  514 (31%)
[  3] 67.0-68.0 sec   485 KBytes  3.97 Mbits/sec   0.560 ms  171/  509 (34%)
[  3] 68.0-69.0 sec   491 KBytes  4.02 Mbits/sec   0.344 ms  169/  511 (33%)
[  3] 69.0-70.0 sec   498 KBytes  4.08 Mbits/sec   0.531 ms  164/  511 (32%)
[  3] 70.0-71.0 sec   487 KBytes  3.99 Mbits/sec   0.491 ms  171/  510 (34%)
[  3] 71.0-72.0 sec   497 KBytes  4.07 Mbits/sec   0.456 ms  163/  509 (32%)
[  3] 72.0-73.0 sec   490 KBytes  4.01 Mbits/sec   0.462 ms  170/  511 (33%)
[  3] 73.0-74.0 sec   492 KBytes  4.03 Mbits/sec   0.412 ms  166/  509 (33%)
[  3] 74.0-75.0 sec   490 KBytes  4.01 Mbits/sec   0.498 ms  167/  508 (33%)
[  3] 75.0-76.0 sec   482 KBytes  3.95 Mbits/sec   0.455 ms  178/  514 (35%)
[  3] 76.0-77.0 sec   484 KBytes  3.96 Mbits/sec   0.421 ms  173/  510 (34%)
[  3] 77.0-78.0 sec   487 KBytes  3.99 Mbits/sec   0.378 ms  170/  509 (33%)
[  3] 78.0-79.0 sec   494 KBytes  4.05 Mbits/sec   0.450 ms  167/  511 (33%)
[  3] 79.0-80.0 sec   485 KBytes  3.97 Mbits/sec   0.396 ms  170/  508 (33%)
[  3] 80.0-81.0 sec   495 KBytes  4.06 Mbits/sec   0.442 ms  168/  513 (33%)
[  3] 81.0-82.0 sec   490 KBytes  4.01 Mbits/sec   0.420 ms  168/  509 (33%)
[  3] 82.0-83.0 sec   490 KBytes  4.01 Mbits/sec   0.403 ms  170/  511 (33%)
[  3] 83.0-84.0 sec   492 KBytes  4.03 Mbits/sec   0.377 ms  166/  509 (33%)
[  3] 84.0-85.0 sec   482 KBytes  3.95 Mbits/sec   0.393 ms  175/  511 (34%)
[  3] 85.0-86.0 sec   495 KBytes  4.06 Mbits/sec   0.643 ms  163/  508 (32%)
[  3] 86.0-87.0 sec   490 KBytes  4.01 Mbits/sec   0.377 ms  169/  510 (33%)
[  3] 87.0-88.0 sec   479 KBytes  3.93 Mbits/sec   0.390 ms  179/  513 (35%)
[  3] 88.0-89.0 sec   484 KBytes  3.96 Mbits/sec   0.383 ms  174/  511 (34%)
[  3] 89.0-90.0 sec   487 KBytes  3.99 Mbits/sec   0.411 ms  170/  509 (33%)
[  3] 90.0-91.0 sec   491 KBytes  4.02 Mbits/sec   0.378 ms  169/  511 (33%)
[  3] 91.0-92.0 sec   482 KBytes  3.95 Mbits/sec   0.411 ms  174/  510 (34%)
[  3] 92.0-93.0 sec   490 KBytes  4.01 Mbits/sec   0.445 ms  165/  506 (33%)
[  3] 93.0-94.0 sec   501 KBytes  4.10 Mbits/sec   0.427 ms  166/  515 (32%)
[  3] 94.0-95.0 sec   492 KBytes  4.03 Mbits/sec   0.409 ms  166/  509 (33%)
[  3] 95.0-96.0 sec   488 KBytes  4.00 Mbits/sec   0.372 ms  171/  511 (33%)
[  3] 96.0-97.0 sec   487 KBytes  3.99 Mbits/sec   0.453 ms  172/  511 (34%)
[  3] 97.0-98.0 sec   491 KBytes  4.02 Mbits/sec   0.389 ms  167/  509 (33%)
[  3] 98.0-99.0 sec   491 KBytes  4.02 Mbits/sec   0.440 ms  164/  506 (32%)
[  3] 99.0-100.0 sec   481 KBytes  3.94 Mbits/sec   0.394 ms  180/  515 (35%)
[  3]  0.0-100.3 sec  50.0 MBytes  4.18 Mbits/sec   0.495 ms 14886/50580 (29%)
[  3]  0.0-100.3 sec  1 datagrams received out-of-order
