------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.2 port 5001 connected with 10.5.0.1 port 35881
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   854 KBytes  7.00 Mbits/sec   0.009 ms    9/  604 (1.5%)
[  3]  1.0- 2.0 sec   856 KBytes  7.01 Mbits/sec   0.012 ms    0/  596 (0%)
[  3]  2.0- 3.0 sec   854 KBytes  7.00 Mbits/sec   0.015 ms    0/  595 (0%)
[  3]  3.0- 4.0 sec   854 KBytes  7.00 Mbits/sec   0.006 ms    0/  595 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.010 ms    0/  595 (0%)
[  3]  5.0- 6.0 sec   856 KBytes  7.01 Mbits/sec   0.013 ms    0/  596 (0%)
[  3]  6.0- 7.0 sec   596 KBytes  4.88 Mbits/sec   0.737 ms    0/  415 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.739 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.739 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   591 KBytes  4.85 Mbits/sec   0.627 ms    2/  414 (0.48%)
[  3] 10.0-11.0 sec   815 KBytes  6.68 Mbits/sec   0.543 ms   32/  600 (5.3%)
[  3] 11.0-12.0 sec   813 KBytes  6.66 Mbits/sec   0.597 ms   28/  594 (4.7%)
[  3] 12.0-13.0 sec   811 KBytes  6.64 Mbits/sec   0.535 ms   32/  597 (5.4%)
[  3] 13.0-14.0 sec   810 KBytes  6.63 Mbits/sec   0.581 ms   31/  595 (5.2%)
[  3] 14.0-15.0 sec   802 KBytes  6.57 Mbits/sec   0.558 ms   36/  595 (6.1%)
[  3] 15.0-16.0 sec   801 KBytes  6.56 Mbits/sec   0.563 ms   37/  595 (6.2%)
[  3] 16.0-17.0 sec   797 KBytes  6.53 Mbits/sec   0.573 ms   41/  596 (6.9%)
[  3] 17.0-18.0 sec   797 KBytes  6.53 Mbits/sec   0.574 ms   39/  594 (6.6%)
[  3] 18.0-19.0 sec   805 KBytes  6.60 Mbits/sec   0.574 ms   31/  592 (5.2%)
[  3] 19.0-20.0 sec   801 KBytes  6.56 Mbits/sec   0.580 ms   41/  599 (6.8%)
[  3] 20.0-21.0 sec   798 KBytes  6.54 Mbits/sec   0.565 ms   39/  595 (6.6%)
[  3] 21.0-22.0 sec   804 KBytes  6.59 Mbits/sec   0.554 ms   36/  596 (6%)
[  3] 22.0-23.0 sec   808 KBytes  6.62 Mbits/sec   0.563 ms   31/  594 (5.2%)
[  3] 23.0-24.0 sec   784 KBytes  6.42 Mbits/sec   0.563 ms   50/  596 (8.4%)
[  3] 24.0-25.0 sec   802 KBytes  6.57 Mbits/sec   0.619 ms   32/  591 (5.4%)
[  3] 25.0-26.0 sec   792 KBytes  6.49 Mbits/sec   0.558 ms   36/  588 (6.1%)
[  3] 26.0-27.0 sec   810 KBytes  6.63 Mbits/sec   0.626 ms   36/  600 (6%)
[  3] 27.0-28.0 sec   802 KBytes  6.57 Mbits/sec   0.705 ms   36/  595 (6.1%)
[  3] 28.0-29.0 sec   798 KBytes  6.54 Mbits/sec   0.566 ms   35/  591 (5.9%)
[  3] 29.0-30.0 sec   811 KBytes  6.64 Mbits/sec   0.558 ms   28/  593 (4.7%)
[  3] 30.0-31.0 sec   795 KBytes  6.52 Mbits/sec   0.541 ms   36/  590 (6.1%)
[  3] 31.0-32.0 sec   808 KBytes  6.62 Mbits/sec   0.533 ms   27/  590 (4.6%)
[  3] 32.0-33.0 sec   810 KBytes  6.63 Mbits/sec   0.571 ms   34/  598 (5.7%)
