------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.4.0.2 port 47894
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.738 ms   10/  423 (2.4%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.738 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   589 KBytes  4.82 Mbits/sec   1.064 ms    0/  410 (0%)
[  3]  3.0- 4.0 sec   586 KBytes  4.80 Mbits/sec   0.528 ms   11/  419 (2.6%)
[  3]  4.0- 5.0 sec   419 KBytes  3.43 Mbits/sec   0.308 ms  307/  599 (51%)
[  3]  5.0- 6.0 sec   402 KBytes  3.29 Mbits/sec   0.335 ms  314/  594 (53%)
[  3]  6.0- 7.0 sec   402 KBytes  3.29 Mbits/sec   0.309 ms  312/  592 (53%)
[  3]  7.0- 8.0 sec   395 KBytes  3.23 Mbits/sec   0.683 ms  325/  600 (54%)
[  3]  8.0- 9.0 sec   399 KBytes  3.27 Mbits/sec   0.273 ms  316/  594 (53%)
[  3]  9.0-10.0 sec   402 KBytes  3.29 Mbits/sec   0.240 ms  317/  597 (53%)
[  3] 10.0-11.0 sec   390 KBytes  3.20 Mbits/sec   0.278 ms  319/  591 (54%)
[  3] 11.0-12.0 sec   396 KBytes  3.25 Mbits/sec   0.677 ms  316/  592 (53%)
[  3] 12.0-13.0 sec   395 KBytes  3.23 Mbits/sec   0.267 ms  328/  603 (54%)
[  3] 13.0-14.0 sec   413 KBytes  3.39 Mbits/sec   0.312 ms  307/  595 (52%)
[  3] 14.0-15.0 sec   422 KBytes  3.46 Mbits/sec   0.303 ms  300/  594 (51%)
[  3] 15.0-16.0 sec   425 KBytes  3.48 Mbits/sec   0.295 ms  295/  591 (50%)
[  3] 16.0-17.0 sec   412 KBytes  3.38 Mbits/sec   0.278 ms  314/  601 (52%)
[  3] 17.0-18.0 sec   409 KBytes  3.35 Mbits/sec   0.300 ms  307/  592 (52%)
[  3] 18.0-19.0 sec   393 KBytes  3.22 Mbits/sec   0.284 ms  323/  597 (54%)
[  3] 19.0-20.0 sec   392 KBytes  3.21 Mbits/sec   0.261 ms  323/  596 (54%)
[  3] 20.0-21.0 sec   389 KBytes  3.19 Mbits/sec   0.244 ms  323/  594 (54%)
[  3] 21.0-22.0 sec   389 KBytes  3.19 Mbits/sec   0.269 ms  323/  594 (54%)
[  3] 22.0-23.0 sec   389 KBytes  3.19 Mbits/sec   0.263 ms  326/  597 (55%)
[  3] 23.0-24.0 sec   396 KBytes  3.25 Mbits/sec   0.388 ms  320/  596 (54%)
[  3] 24.0-25.0 sec   385 KBytes  3.15 Mbits/sec   0.267 ms  321/  589 (54%)
[  3] 25.0-26.0 sec   379 KBytes  3.10 Mbits/sec   0.317 ms  337/  601 (56%)
[  3] 26.0-27.0 sec   423 KBytes  3.47 Mbits/sec   0.346 ms  299/  594 (50%)
[  3] 27.0-28.0 sec   429 KBytes  3.52 Mbits/sec   0.301 ms  297/  596 (50%)
[  3] 28.0-29.0 sec   425 KBytes  3.48 Mbits/sec   0.331 ms  301/  597 (50%)
[  3] 29.0-30.0 sec   429 KBytes  3.52 Mbits/sec   0.304 ms  295/  594 (50%)
[  3] 30.0-31.0 sec   428 KBytes  3.50 Mbits/sec   0.309 ms  296/  594 (50%)
[  3] 31.0-32.0 sec   418 KBytes  3.42 Mbits/sec   0.292 ms  300/  591 (51%)
