------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.4.0.1 port 52071
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1.08 MBytes  9.04 Mbits/sec   0.023 ms   11/  780 (1.4%)
[  3]  1.0- 2.0 sec  1.07 MBytes  9.00 Mbits/sec   0.003 ms    0/  765 (0%)
[  3]  2.0- 3.0 sec  1.07 MBytes  9.01 Mbits/sec   0.005 ms    0/  766 (0%)
[  3]  3.0- 4.0 sec  1.07 MBytes  9.01 Mbits/sec   0.005 ms    0/  766 (0%)
[  3]  4.0- 5.0 sec  1.07 MBytes  9.01 Mbits/sec   0.006 ms    0/  766 (0%)
[  3]  5.0- 6.0 sec  1.07 MBytes  9.00 Mbits/sec   0.017 ms    0/  765 (0%)
[  3]  6.0- 7.0 sec   599 KBytes  4.90 Mbits/sec   1.113 ms    0/  417 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   1.116 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   728 KBytes  5.96 Mbits/sec   0.521 ms   28/  535 (5.2%)
[  3]  9.0-10.0 sec   969 KBytes  7.94 Mbits/sec   0.230 ms   91/  766 (12%)
[  3] 10.0-11.0 sec   998 KBytes  8.17 Mbits/sec   0.229 ms   78/  773 (10%)
[  3] 11.0-12.0 sec   985 KBytes  8.07 Mbits/sec   0.233 ms   78/  764 (10%)
[  3] 12.0-13.0 sec   979 KBytes  8.02 Mbits/sec   0.206 ms   78/  760 (10%)
[  3] 13.0-14.0 sec   936 KBytes  7.67 Mbits/sec   0.203 ms   71/  723 (9.8%)
[  3] 14.0-15.0 sec   937 KBytes  7.68 Mbits/sec   0.244 ms  163/  816 (20%)
[  3] 15.0-16.0 sec   930 KBytes  7.62 Mbits/sec   0.169 ms  117/  765 (15%)
[  3] 16.0-17.0 sec   956 KBytes  7.83 Mbits/sec   0.204 ms   93/  759 (12%)
[  3] 17.0-18.0 sec   983 KBytes  8.06 Mbits/sec   0.584 ms   81/  766 (11%)
[  3] 18.0-19.0 sec   992 KBytes  8.13 Mbits/sec   0.196 ms   81/  772 (10%)
[  3] 19.0-20.0 sec   973 KBytes  7.97 Mbits/sec   0.215 ms   87/  765 (11%)
[  3] 20.0-21.0 sec   983 KBytes  8.06 Mbits/sec   0.221 ms   81/  766 (11%)
[  3] 21.0-22.0 sec   975 KBytes  7.99 Mbits/sec   0.179 ms   80/  759 (11%)
[  3] 22.0-23.0 sec  1003 KBytes  8.22 Mbits/sec   0.148 ms   73/  772 (9.5%)
[  3] 23.0-24.0 sec   978 KBytes  8.01 Mbits/sec   0.157 ms   85/  766 (11%)
[  3] 24.0-25.0 sec   986 KBytes  8.08 Mbits/sec   0.158 ms   78/  765 (10%)
[  3] 25.0-26.0 sec   973 KBytes  7.97 Mbits/sec   0.178 ms   83/  761 (11%)
[  3] 26.0-27.0 sec   995 KBytes  8.15 Mbits/sec   0.172 ms   79/  772 (10%)
[  3] 27.0-28.0 sec   978 KBytes  8.01 Mbits/sec   0.166 ms   84/  765 (11%)
[  3] 28.0-29.0 sec  1005 KBytes  8.23 Mbits/sec   0.174 ms   66/  766 (8.6%)
[  3] 29.0-30.0 sec   989 KBytes  8.10 Mbits/sec   0.155 ms   77/  766 (10%)
[  3] 30.0-31.0 sec   970 KBytes  7.95 Mbits/sec   0.251 ms   86/  762 (11%)
[  3] 31.0-32.0 sec   991 KBytes  8.11 Mbits/sec   0.180 ms   79/  769 (10%)
[  3] 32.0-33.0 sec   978 KBytes  8.01 Mbits/sec   0.164 ms   84/  765 (11%)
[  3] 33.0-34.0 sec   970 KBytes  7.95 Mbits/sec   0.166 ms   90/  766 (12%)
[  3] 34.0-35.0 sec   982 KBytes  8.04 Mbits/sec   0.182 ms   83/  767 (11%)
[  3] 35.0-36.0 sec   989 KBytes  8.10 Mbits/sec   0.394 ms   77/  766 (10%)
[  3] 36.0-37.0 sec   939 KBytes  7.69 Mbits/sec   0.173 ms  110/  764 (14%)
[  3] 37.0-38.0 sec   966 KBytes  7.91 Mbits/sec   0.192 ms   87/  760 (11%)
[  3] 38.0-39.0 sec   943 KBytes  7.73 Mbits/sec   0.223 ms  114/  771 (15%)
[  3] 39.0-40.0 sec   972 KBytes  7.96 Mbits/sec   0.180 ms   89/  766 (12%)
[  3] 40.0-41.0 sec   968 KBytes  7.93 Mbits/sec   0.190 ms   92/  766 (12%)
[  3] 41.0-42.0 sec   963 KBytes  7.89 Mbits/sec   0.184 ms   95/  766 (12%)
[  3] 42.0-43.0 sec   979 KBytes  8.02 Mbits/sec   0.225 ms   83/  765 (11%)
[  3] 43.0-44.0 sec   973 KBytes  7.97 Mbits/sec   0.233 ms   83/  761 (11%)
[  3] 44.0-45.0 sec   904 KBytes  7.41 Mbits/sec   0.200 ms  142/  772 (18%)
[  3] 45.0-46.0 sec   975 KBytes  7.99 Mbits/sec   0.214 ms   85/  764 (11%)
[  3] 46.0-47.0 sec   980 KBytes  8.03 Mbits/sec   0.182 ms   83/  766 (11%)
[  3] 47.0-48.0 sec   978 KBytes  8.01 Mbits/sec   0.218 ms   85/  766 (11%)
[  3] 48.0-49.0 sec   985 KBytes  8.07 Mbits/sec   0.195 ms   79/  765 (10%)
[  3] 49.0-50.0 sec   962 KBytes  7.88 Mbits/sec   0.232 ms   90/  760 (12%)
[  3] 50.0-51.0 sec   995 KBytes  8.15 Mbits/sec   0.258 ms   79/  772 (10%)
