------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.2 port 5001 connected with 10.4.0.1 port 52640
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1.08 MBytes  9.03 Mbits/sec   0.007 ms   13/  781 (1.7%)
[  3]  1.0- 2.0 sec  1.07 MBytes  9.01 Mbits/sec   0.008 ms    0/  766 (0%)
[  3]  2.0- 3.0 sec  1.07 MBytes  9.00 Mbits/sec   0.006 ms    0/  765 (0%)
[  3]  3.0- 4.0 sec  1.07 MBytes  9.01 Mbits/sec   0.006 ms    0/  766 (0%)
[  3]  4.0- 5.0 sec  1.07 MBytes  9.01 Mbits/sec   0.008 ms    0/  766 (0%)
[  3]  5.0- 6.0 sec  1.07 MBytes  9.01 Mbits/sec   0.014 ms    0/  766 (0%)
[  3]  6.0- 7.0 sec   593 KBytes  4.86 Mbits/sec   1.114 ms    0/  413 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   1.113 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   445 KBytes  3.65 Mbits/sec   0.213 ms  225/  535 (42%)
[  3]  9.0-10.0 sec   215 KBytes  1.76 Mbits/sec   0.213 ms  616/  766 (80%)
[  3] 10.0-11.0 sec   306 KBytes  2.50 Mbits/sec   0.193 ms  559/  772 (72%)
[  3] 11.0-12.0 sec   204 KBytes  1.67 Mbits/sec   0.137 ms  624/  766 (81%)
[  3] 12.0-13.0 sec   210 KBytes  1.72 Mbits/sec   0.228 ms  619/  765 (81%)
[  3] 13.0-14.0 sec   210 KBytes  1.72 Mbits/sec   0.239 ms  620/  766 (81%)
[  3] 14.0-15.0 sec   204 KBytes  1.67 Mbits/sec   0.330 ms  623/  765 (81%)
[  3] 15.0-16.0 sec   217 KBytes  1.78 Mbits/sec   0.136 ms  615/  766 (80%)
[  3] 16.0-17.0 sec   208 KBytes  1.71 Mbits/sec   0.172 ms  619/  764 (81%)
[  3] 17.0-18.0 sec   266 KBytes  2.18 Mbits/sec   0.147 ms  585/  770 (76%)
[  3] 18.0-19.0 sec   204 KBytes  1.67 Mbits/sec   0.214 ms  623/  765 (81%)
[  3] 19.0-20.0 sec   214 KBytes  1.75 Mbits/sec   0.159 ms  617/  766 (81%)
[  3] 20.0-21.0 sec   217 KBytes  1.78 Mbits/sec   0.169 ms  614/  765 (80%)
[  3] 21.0-22.0 sec   204 KBytes  1.67 Mbits/sec   0.123 ms  624/  766 (81%)
[  3] 22.0-23.0 sec   204 KBytes  1.67 Mbits/sec   0.115 ms  611/  753 (81%)
[  3] 23.0-24.0 sec   297 KBytes  2.43 Mbits/sec   0.191 ms  562/  769 (73%)
[  3] 24.0-25.0 sec   211 KBytes  1.73 Mbits/sec   0.180 ms  629/  776 (81%)
[  3] 25.0-26.0 sec   205 KBytes  1.68 Mbits/sec   0.371 ms  622/  765 (81%)
[  3] 26.0-27.0 sec   215 KBytes  1.76 Mbits/sec   0.133 ms  617/  767 (80%)
[  3] 27.0-28.0 sec   204 KBytes  1.67 Mbits/sec   0.144 ms  623/  765 (81%)
[  3] 28.0-29.0 sec   202 KBytes  1.66 Mbits/sec   0.242 ms  613/  754 (81%)
[  3] 29.0-30.0 sec   323 KBytes  2.65 Mbits/sec   0.185 ms  552/  777 (71%)
[  3] 30.0-31.0 sec   217 KBytes  1.78 Mbits/sec   0.134 ms  615/  766 (80%)
[  3] 31.0-32.0 sec   204 KBytes  1.67 Mbits/sec   0.131 ms  623/  765 (81%)
[  3] 32.0-33.0 sec   208 KBytes  1.71 Mbits/sec   0.135 ms  620/  765 (81%)
[  3] 33.0-34.0 sec   207 KBytes  1.69 Mbits/sec   0.389 ms  609/  753 (81%)
[  3] 34.0-35.0 sec   212 KBytes  1.74 Mbits/sec   0.132 ms  617/  765 (81%)
[  3] 35.0-36.0 sec   319 KBytes  2.61 Mbits/sec   0.304 ms  557/  779 (72%)
[  3] 36.0-37.0 sec   231 KBytes  1.89 Mbits/sec   0.264 ms  606/  767 (79%)
[  3] 37.0-38.0 sec   218 KBytes  1.79 Mbits/sec   0.123 ms  611/  763 (80%)
[  3] 38.0-39.0 sec   217 KBytes  1.78 Mbits/sec   0.232 ms  615/  766 (80%)
[  3] 39.0-40.0 sec   223 KBytes  1.82 Mbits/sec   0.282 ms  602/  757 (80%)
[  3] 40.0-41.0 sec   322 KBytes  2.63 Mbits/sec   0.280 ms  549/  773 (71%)
[  3] 41.0-42.0 sec   234 KBytes  1.92 Mbits/sec   0.572 ms  599/  762 (79%)
[  3] 42.0-43.0 sec   215 KBytes  1.76 Mbits/sec   0.110 ms  615/  765 (80%)
[  3] 43.0-44.0 sec   204 KBytes  1.67 Mbits/sec   0.224 ms  623/  765 (81%)
[  3] 44.0-45.0 sec   207 KBytes  1.69 Mbits/sec   0.196 ms  622/  766 (81%)
[  3] 45.0-46.0 sec   300 KBytes  2.46 Mbits/sec   0.458 ms  560/  769 (73%)
[  3] 46.0-47.0 sec   221 KBytes  1.81 Mbits/sec   0.324 ms  612/  766 (80%)
[  3] 47.0-48.0 sec   205 KBytes  1.68 Mbits/sec   0.682 ms  621/  764 (81%)
[  3] 48.0-49.0 sec   207 KBytes  1.69 Mbits/sec   0.141 ms  622/  766 (81%)
[  3] 49.0-50.0 sec   307 KBytes  2.52 Mbits/sec   0.271 ms  558/  772 (72%)
[  3] 50.0-51.0 sec   211 KBytes  1.73 Mbits/sec   0.326 ms  619/  766 (81%)
[  3] 51.0-52.0 sec   207 KBytes  1.69 Mbits/sec   0.201 ms  610/  754 (81%)
[  3] 52.0-53.0 sec   251 KBytes  2.06 Mbits/sec   0.339 ms  600/  775 (77%)
[  3] 53.0-54.0 sec   271 KBytes  2.22 Mbits/sec   0.203 ms  576/  765 (75%)
[  3] 54.0-55.0 sec   211 KBytes  1.73 Mbits/sec   0.176 ms  619/  766 (81%)
[  3] 55.0-56.0 sec   217 KBytes  1.78 Mbits/sec   0.252 ms  613/  764 (80%)
[  3] 56.0-57.0 sec   231 KBytes  1.89 Mbits/sec   0.528 ms  605/  766 (79%)
[  3] 57.0-58.0 sec   296 KBytes  2.42 Mbits/sec   0.341 ms  558/  764 (73%)
