------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.2 port 5001 connected with 10.6.0.1 port 40918
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   854 KBytes  7.00 Mbits/sec   0.007 ms   10/  605 (1.7%)
[  3]  1.0- 2.0 sec   856 KBytes  7.01 Mbits/sec   0.011 ms    0/  596 (0%)
[  3]  2.0- 3.0 sec   854 KBytes  7.00 Mbits/sec   0.006 ms    0/  595 (0%)
[  3]  3.0- 4.0 sec   854 KBytes  7.00 Mbits/sec   0.010 ms    0/  595 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.014 ms    0/  595 (0%)
[  3]  5.0- 6.0 sec   856 KBytes  7.01 Mbits/sec   0.008 ms    0/  596 (0%)
[  3]  6.0- 7.0 sec   811 KBytes  6.64 Mbits/sec   1.169 ms    0/  565 (0%)
[  3]  7.0- 8.0 sec   590 KBytes  4.83 Mbits/sec   0.739 ms    0/  411 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.757 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.741 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   567 KBytes  4.65 Mbits/sec   0.371 ms   55/  450 (12%)
[  3] 11.0-12.0 sec   497 KBytes  4.07 Mbits/sec   0.362 ms  248/  594 (42%)
[  3] 12.0-13.0 sec   498 KBytes  4.08 Mbits/sec   0.333 ms  252/  599 (42%)
[  3] 13.0-14.0 sec   481 KBytes  3.94 Mbits/sec   0.328 ms  262/  597 (44%)
[  3] 14.0-15.0 sec   492 KBytes  4.03 Mbits/sec   0.359 ms  251/  594 (42%)
[  3] 15.0-16.0 sec   482 KBytes  3.95 Mbits/sec   0.321 ms  260/  596 (44%)
[  3] 16.0-17.0 sec   469 KBytes  3.85 Mbits/sec   0.431 ms  262/  589 (44%)
[  3] 17.0-18.0 sec   500 KBytes  4.09 Mbits/sec   0.350 ms  253/  601 (42%)
[  3] 18.0-19.0 sec   511 KBytes  4.19 Mbits/sec   0.317 ms  240/  596 (40%)
[  3] 19.0-20.0 sec   507 KBytes  4.15 Mbits/sec   0.383 ms  242/  595 (41%)
[  3] 20.0-21.0 sec   515 KBytes  4.22 Mbits/sec   0.360 ms  235/  594 (40%)
[  3] 21.0-22.0 sec   508 KBytes  4.16 Mbits/sec   0.568 ms  237/  591 (40%)
[  3] 22.0-23.0 sec   518 KBytes  4.25 Mbits/sec   0.357 ms  236/  597 (40%)
[  3] 23.0-24.0 sec   467 KBytes  3.82 Mbits/sec   0.314 ms  275/  600 (46%)
