------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.1 port 5001 connected with 10.4.0.1 port 56286
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   854 KBytes  7.00 Mbits/sec   0.008 ms    7/  602 (1.2%)
[  3]  1.0- 2.0 sec   856 KBytes  7.01 Mbits/sec   0.004 ms    0/  596 (0%)
[  3]  2.0- 3.0 sec   854 KBytes  7.00 Mbits/sec   0.004 ms    0/  595 (0%)
[  3]  3.0- 4.0 sec   854 KBytes  7.00 Mbits/sec   0.008 ms    0/  595 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.005 ms    0/  595 (0%)
[  3]  5.0- 6.0 sec   856 KBytes  7.01 Mbits/sec   0.066 ms    0/  596 (0%)
[  3]  6.0- 7.0 sec   854 KBytes  7.00 Mbits/sec   0.008 ms    0/  595 (0%)
[  3]  7.0- 8.0 sec   637 KBytes  5.22 Mbits/sec   0.742 ms    0/  444 (0%)
[  3]  8.0- 9.0 sec   587 KBytes  4.81 Mbits/sec   0.743 ms    0/  409 (0%)
[  3]  9.0-10.0 sec   594 KBytes  4.87 Mbits/sec   0.747 ms    0/  414 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.737 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   360 KBytes  2.95 Mbits/sec   0.262 ms  323/  574 (56%)
[  3] 12.0-13.0 sec   336 KBytes  2.75 Mbits/sec   0.375 ms  363/  597 (61%)
[  3] 13.0-14.0 sec   343 KBytes  2.81 Mbits/sec   0.262 ms  357/  596 (60%)
[  3] 14.0-15.0 sec   342 KBytes  2.80 Mbits/sec   0.367 ms  356/  594 (60%)
[  3] 15.0-16.0 sec   343 KBytes  2.81 Mbits/sec   0.327 ms  353/  592 (60%)
[  3] 16.0-17.0 sec   362 KBytes  2.96 Mbits/sec   0.250 ms  346/  598 (58%)
[  3] 17.0-18.0 sec   337 KBytes  2.76 Mbits/sec   0.249 ms  361/  596 (61%)
[  3] 18.0-19.0 sec   343 KBytes  2.81 Mbits/sec   0.234 ms  355/  594 (60%)
[  3] 19.0-20.0 sec   342 KBytes  2.80 Mbits/sec   0.250 ms  359/  597 (60%)
[  3] 20.0-21.0 sec   342 KBytes  2.80 Mbits/sec   0.279 ms  356/  594 (60%)
[  3] 21.0-22.0 sec   340 KBytes  2.79 Mbits/sec   0.263 ms  354/  591 (60%)
[  3] 22.0-23.0 sec   356 KBytes  2.92 Mbits/sec   0.273 ms  352/  600 (59%)
[  3] 23.0-24.0 sec   343 KBytes  2.81 Mbits/sec   0.258 ms  355/  594 (60%)
[  3] 24.0-25.0 sec   347 KBytes  2.85 Mbits/sec   0.239 ms  355/  597 (59%)
[  3] 25.0-26.0 sec   343 KBytes  2.81 Mbits/sec   0.236 ms  355/  594 (60%)
[  3] 26.0-27.0 sec   346 KBytes  2.83 Mbits/sec   0.256 ms  355/  596 (60%)
[  3] 27.0-28.0 sec   339 KBytes  2.78 Mbits/sec   0.294 ms  356/  592 (60%)
[  3] 28.0-29.0 sec   359 KBytes  2.94 Mbits/sec   0.301 ms  349/  599 (58%)
[  3] 29.0-30.0 sec   343 KBytes  2.81 Mbits/sec   0.263 ms  355/  594 (60%)
[  3] 30.0-31.0 sec   337 KBytes  2.76 Mbits/sec   0.271 ms  361/  596 (61%)
[  3] 31.0-32.0 sec   347 KBytes  2.85 Mbits/sec   0.371 ms  352/  594 (59%)
[  3] 32.0-33.0 sec   336 KBytes  2.75 Mbits/sec   0.257 ms  363/  597 (61%)
[  3] 33.0-34.0 sec   337 KBytes  2.76 Mbits/sec   0.341 ms  359/  594 (60%)
[  3] 34.0-35.0 sec   337 KBytes  2.76 Mbits/sec   0.287 ms  361/  596 (61%)
[  3] 35.0-36.0 sec   342 KBytes  2.80 Mbits/sec   0.341 ms  356/  594 (60%)
[  3] 36.0-37.0 sec   340 KBytes  2.79 Mbits/sec   0.314 ms  360/  597 (60%)
[  3] 37.0-38.0 sec   337 KBytes  2.76 Mbits/sec   0.310 ms  359/  594 (60%)
[  3] 38.0-39.0 sec   342 KBytes  2.80 Mbits/sec   0.281 ms  353/  591 (60%)
[  3] 39.0-40.0 sec   337 KBytes  2.76 Mbits/sec   0.276 ms  366/  601 (61%)
[  3] 40.0-41.0 sec   346 KBytes  2.83 Mbits/sec   0.308 ms  353/  594 (59%)
[  3] 41.0-42.0 sec   342 KBytes  2.80 Mbits/sec   0.340 ms  356/  594 (60%)
[  3] 42.0-43.0 sec   342 KBytes  2.80 Mbits/sec   0.481 ms  358/  596 (60%)
[  3] 43.0-44.0 sec   340 KBytes  2.79 Mbits/sec   0.406 ms  355/  592 (60%)
[  3] 44.0-45.0 sec   360 KBytes  2.95 Mbits/sec   0.397 ms  347/  598 (58%)
[  3] 45.0-46.0 sec   339 KBytes  2.78 Mbits/sec   0.290 ms  360/  596 (60%)
[  3] 46.0-47.0 sec   339 KBytes  2.78 Mbits/sec   0.266 ms  358/  594 (60%)
[  3] 47.0-48.0 sec   334 KBytes  2.74 Mbits/sec   0.531 ms  359/  592 (61%)
[  3] 48.0-49.0 sec   357 KBytes  2.93 Mbits/sec   0.539 ms  350/  599 (58%)
[  3] 49.0-50.0 sec   346 KBytes  2.83 Mbits/sec   0.238 ms  355/  596 (60%)
[  3] 50.0-51.0 sec   340 KBytes  2.79 Mbits/sec   0.259 ms  355/  592 (60%)
[  3] 51.0-52.0 sec   339 KBytes  2.78 Mbits/sec   0.346 ms  355/  591 (60%)
[  3] 52.0-53.0 sec   336 KBytes  2.75 Mbits/sec   0.523 ms  368/  602 (61%)
[  3] 53.0-54.0 sec   591 KBytes  4.85 Mbits/sec   0.568 ms  202/  614 (33%)
[  3] 54.0-55.0 sec   913 KBytes  7.48 Mbits/sec   0.591 ms    0/  636 (0%)
[  3] 55.0-56.0 sec   922 KBytes  7.55 Mbits/sec   0.544 ms    0/  642 (0%)
[  3] 56.0-57.0 sec   863 KBytes  7.07 Mbits/sec   0.593 ms    0/  601 (0%)
[  3] 57.0-58.0 sec   752 KBytes  6.16 Mbits/sec   0.667 ms    0/  524 (0%)
[  3] 58.0-59.0 sec   751 KBytes  6.15 Mbits/sec   0.673 ms    0/  523 (0%)
[  3] 59.0-60.0 sec   436 KBytes  3.58 Mbits/sec   0.315 ms  320/  624 (51%)
[  3] 60.0-61.0 sec   356 KBytes  2.92 Mbits/sec   0.441 ms  350/  598 (59%)
[  3] 61.0-62.0 sec   345 KBytes  2.82 Mbits/sec   0.393 ms  356/  596 (60%)
[  3] 62.0-63.0 sec   343 KBytes  2.81 Mbits/sec   0.292 ms  355/  594 (60%)
[  3] 63.0-64.0 sec   350 KBytes  2.87 Mbits/sec   0.321 ms  348/  592 (59%)
[  3] 64.0-65.0 sec   363 KBytes  2.98 Mbits/sec   1.218 ms  347/  600 (58%)
[  3] 65.0-66.0 sec   343 KBytes  2.81 Mbits/sec   0.443 ms  355/  594 (60%)
[  3] 66.0-67.0 sec   342 KBytes  2.80 Mbits/sec   0.348 ms  358/  596 (60%)
[  3] 67.0-68.0 sec   343 KBytes  2.81 Mbits/sec   0.377 ms  358/  597 (60%)
[  3] 68.0-69.0 sec   342 KBytes  2.80 Mbits/sec   0.228 ms  351/  589 (60%)
[  3] 69.0-70.0 sec   378 KBytes  3.09 Mbits/sec   0.238 ms  337/  600 (56%)
[  3] 70.0-71.0 sec   347 KBytes  2.85 Mbits/sec   0.220 ms  352/  594 (59%)
[  3] 71.0-72.0 sec   339 KBytes  2.78 Mbits/sec   0.319 ms  361/  597 (60%)
[  3] 72.0-73.0 sec   339 KBytes  2.78 Mbits/sec   0.360 ms  358/  594 (60%)
[  3] 73.0-74.0 sec   345 KBytes  2.82 Mbits/sec   0.277 ms  354/  594 (60%)
[  3] 74.0-75.0 sec   342 KBytes  2.80 Mbits/sec   0.294 ms  359/  597 (60%)
[  3] 75.0-76.0 sec   352 KBytes  2.88 Mbits/sec   0.348 ms  346/  591 (59%)
[  3] 76.0-77.0 sec   340 KBytes  2.79 Mbits/sec   0.323 ms  362/  599 (60%)
[  3] 77.0-78.0 sec   345 KBytes  2.82 Mbits/sec   0.216 ms  354/  594 (60%)
[  3] 78.0-79.0 sec   343 KBytes  2.81 Mbits/sec   0.236 ms  358/  597 (60%)
[  3] 79.0-80.0 sec   345 KBytes  2.82 Mbits/sec   0.246 ms  354/  594 (60%)
[  3] 80.0-81.0 sec   346 KBytes  2.83 Mbits/sec   0.269 ms  356/  597 (60%)
[  3] 81.0-82.0 sec   343 KBytes  2.81 Mbits/sec   0.229 ms  350/  589 (59%)
[  3] 82.0-83.0 sec   363 KBytes  2.98 Mbits/sec   0.361 ms  348/  601 (58%)
[  3] 83.0-84.0 sec   339 KBytes  2.78 Mbits/sec   0.231 ms  358/  594 (60%)
[  3] 84.0-85.0 sec   345 KBytes  2.82 Mbits/sec   0.240 ms  357/  597 (60%)
[  3] 85.0-86.0 sec   349 KBytes  2.86 Mbits/sec   0.331 ms  351/  594 (59%)
[  3] 86.0-87.0 sec   340 KBytes  2.79 Mbits/sec   0.405 ms  357/  594 (60%)
[  3] 87.0-88.0 sec   339 KBytes  2.78 Mbits/sec   0.276 ms  352/  588 (60%)
[  3] 88.0-89.0 sec   349 KBytes  2.86 Mbits/sec   0.357 ms  354/  597 (59%)
[  3] 89.0-90.0 sec   343 KBytes  2.81 Mbits/sec   0.241 ms  353/  592 (60%)
[  3] 90.0-91.0 sec   355 KBytes  2.90 Mbits/sec   0.299 ms  345/  592 (58%)
[  3] 91.0-92.0 sec   342 KBytes  2.80 Mbits/sec   0.316 ms  353/  591 (60%)
[  3] 92.0-93.0 sec   343 KBytes  2.81 Mbits/sec   0.231 ms  358/  597 (60%)
[  3] 93.0-94.0 sec   349 KBytes  2.86 Mbits/sec   0.279 ms  351/  594 (59%)
[  3] 94.0-95.0 sec   345 KBytes  2.82 Mbits/sec   0.294 ms  356/  596 (60%)
[  3] 95.0-96.0 sec   346 KBytes  2.83 Mbits/sec   0.474 ms  353/  594 (59%)
[  3] 96.0-97.0 sec   346 KBytes  2.83 Mbits/sec   0.289 ms  356/  597 (60%)
[  3] 97.0-98.0 sec   336 KBytes  2.75 Mbits/sec   0.423 ms  360/  594 (61%)
[  3] 98.0-99.0 sec   336 KBytes  2.75 Mbits/sec   0.313 ms  357/  591 (60%)
[  3] 99.0-100.0 sec   362 KBytes  2.96 Mbits/sec   0.262 ms  349/  601 (58%)
[  3] 100.0-101.0 sec   343 KBytes  2.81 Mbits/sec   0.338 ms  355/  594 (60%)
[  3] 101.0-102.0 sec   343 KBytes  2.81 Mbits/sec   0.328 ms  355/  594 (60%)
[  3] 102.0-103.0 sec   339 KBytes  2.78 Mbits/sec   0.274 ms  361/  597 (60%)
[  3] 103.0-104.0 sec   339 KBytes  2.78 Mbits/sec   0.289 ms  355/  591 (60%)
[  3] 104.0-105.0 sec   362 KBytes  2.96 Mbits/sec   0.386 ms  346/  598 (58%)
[  3] 105.0-106.0 sec   360 KBytes  2.95 Mbits/sec   0.250 ms  346/  597 (58%)
[  3] 106.0-107.0 sec   346 KBytes  2.83 Mbits/sec   0.437 ms  355/  596 (60%)
[  3] 107.0-108.0 sec   334 KBytes  2.74 Mbits/sec   0.226 ms  356/  589 (60%)
[  3] 108.0-109.0 sec   362 KBytes  2.96 Mbits/sec   0.396 ms  348/  600 (58%)
[  3] 109.0-110.0 sec   343 KBytes  2.81 Mbits/sec   0.278 ms  355/  594 (60%)
[  3] 110.0-111.0 sec   340 KBytes  2.79 Mbits/sec   0.350 ms  355/  592 (60%)
[  3] 111.0-112.0 sec   346 KBytes  2.83 Mbits/sec   0.281 ms  355/  596 (60%)
[  3] 112.0-113.0 sec   366 KBytes  3.00 Mbits/sec   0.251 ms  344/  599 (57%)
[  3] 113.0-114.0 sec   347 KBytes  2.85 Mbits/sec   0.292 ms  354/  596 (59%)
[  3] 114.0-115.0 sec   340 KBytes  2.79 Mbits/sec   0.406 ms  352/  589 (60%)
[  3] 115.0-116.0 sec   346 KBytes  2.83 Mbits/sec   0.311 ms  356/  597 (60%)
[  3] 116.0-117.0 sec   366 KBytes  3.00 Mbits/sec   0.504 ms  346/  601 (58%)
[  3] 117.0-118.0 sec   340 KBytes  2.79 Mbits/sec   0.285 ms  357/  594 (60%)
