------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.1 port 5001 connected with 10.4.0.1 port 59626
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   978 KBytes  8.01 Mbits/sec   0.011 ms   13/  694 (1.9%)
[  3]  1.0- 2.0 sec   976 KBytes  8.00 Mbits/sec   0.015 ms    0/  680 (0%)
[  3]  2.0- 3.0 sec   976 KBytes  8.00 Mbits/sec   0.022 ms    0/  680 (0%)
[  3]  3.0- 4.0 sec   978 KBytes  8.01 Mbits/sec   0.012 ms    0/  681 (0%)
[  3]  4.0- 5.0 sec   976 KBytes  8.00 Mbits/sec   0.010 ms    0/  680 (0%)
[  3]  5.0- 6.0 sec   976 KBytes  8.00 Mbits/sec   0.013 ms    0/  680 (0%)
[  3]  6.0- 7.0 sec   597 KBytes  4.89 Mbits/sec   0.955 ms    0/  416 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.937 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.951 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   482 KBytes  3.95 Mbits/sec   0.300 ms  312/  648 (48%)
[  3] 10.0-11.0 sec   510 KBytes  4.17 Mbits/sec   0.296 ms  333/  688 (48%)
[  3] 11.0-12.0 sec   467 KBytes  3.82 Mbits/sec   0.448 ms  353/  678 (52%)
[  3] 12.0-13.0 sec   478 KBytes  3.92 Mbits/sec   0.298 ms  350/  683 (51%)
[  3] 13.0-14.0 sec   477 KBytes  3.90 Mbits/sec   0.335 ms  346/  678 (51%)
[  3] 14.0-15.0 sec   459 KBytes  3.76 Mbits/sec   0.294 ms  358/  678 (53%)
[  3] 15.0-16.0 sec   490 KBytes  4.01 Mbits/sec   0.312 ms  342/  683 (50%)
[  3] 16.0-17.0 sec   467 KBytes  3.82 Mbits/sec   0.312 ms  353/  678 (52%)
[  3] 17.0-18.0 sec   467 KBytes  3.82 Mbits/sec   0.313 ms  358/  683 (52%)
[  3] 18.0-19.0 sec   467 KBytes  3.82 Mbits/sec   0.322 ms  353/  678 (52%)
[  3] 19.0-20.0 sec   472 KBytes  3.87 Mbits/sec   0.313 ms  350/  679 (52%)
[  3] 20.0-21.0 sec   487 KBytes  3.99 Mbits/sec   0.353 ms  346/  685 (51%)
[  3] 21.0-22.0 sec   471 KBytes  3.86 Mbits/sec   0.329 ms  350/  678 (52%)
[  3] 22.0-23.0 sec   471 KBytes  3.86 Mbits/sec   0.269 ms  354/  682 (52%)
[  3] 23.0-24.0 sec   469 KBytes  3.85 Mbits/sec   0.345 ms  352/  679 (52%)
[  3] 24.0-25.0 sec   477 KBytes  3.90 Mbits/sec   0.342 ms  350/  682 (51%)
[  3] 25.0-26.0 sec   464 KBytes  3.80 Mbits/sec   0.287 ms  351/  674 (52%)
[  3] 26.0-27.0 sec   502 KBytes  4.12 Mbits/sec   0.273 ms  335/  685 (49%)
[  3] 27.0-28.0 sec   471 KBytes  3.86 Mbits/sec   0.316 ms  353/  681 (52%)
[  3] 28.0-29.0 sec   471 KBytes  3.86 Mbits/sec   0.308 ms  352/  680 (52%)
[  3] 29.0-30.0 sec   467 KBytes  3.82 Mbits/sec   0.400 ms  356/  681 (52%)
[  3] 30.0-31.0 sec   478 KBytes  3.92 Mbits/sec   0.307 ms  347/  680 (51%)
[  3] 31.0-32.0 sec   471 KBytes  3.86 Mbits/sec   0.253 ms  345/  673 (51%)
[  3] 32.0-33.0 sec   485 KBytes  3.97 Mbits/sec   0.562 ms  348/  686 (51%)
[  3] 33.0-34.0 sec   478 KBytes  3.92 Mbits/sec   0.416 ms  348/  681 (51%)
[  3] 34.0-35.0 sec   462 KBytes  3.79 Mbits/sec   0.272 ms  360/  682 (53%)
[  3] 35.0-36.0 sec   465 KBytes  3.81 Mbits/sec   0.355 ms  355/  679 (52%)
[  3] 36.0-37.0 sec   462 KBytes  3.79 Mbits/sec   0.316 ms  359/  681 (53%)
[  3] 37.0-38.0 sec   467 KBytes  3.82 Mbits/sec   0.339 ms  350/  675 (52%)
[  3] 38.0-39.0 sec   492 KBytes  4.03 Mbits/sec   0.394 ms  342/  685 (50%)
[  3] 39.0-40.0 sec   468 KBytes  3.83 Mbits/sec   0.272 ms  353/  679 (52%)
[  3] 40.0-41.0 sec   475 KBytes  3.89 Mbits/sec   0.315 ms  347/  678 (51%)
[  3] 41.0-42.0 sec   472 KBytes  3.87 Mbits/sec   0.310 ms  354/  683 (52%)
[  3] 42.0-43.0 sec   475 KBytes  3.89 Mbits/sec   0.291 ms  351/  682 (51%)
[  3] 43.0-44.0 sec   474 KBytes  3.88 Mbits/sec   0.286 ms  349/  679 (51%)
[  3] 44.0-45.0 sec   469 KBytes  3.85 Mbits/sec   0.257 ms  352/  679 (52%)
[  3] 45.0-46.0 sec   479 KBytes  3.93 Mbits/sec   0.263 ms  348/  682 (51%)
[  3] 46.0-47.0 sec   479 KBytes  3.93 Mbits/sec   0.302 ms  345/  679 (51%)
[  3] 47.0-48.0 sec   481 KBytes  3.94 Mbits/sec   0.297 ms  346/  681 (51%)
[  3] 48.0-49.0 sec   465 KBytes  3.81 Mbits/sec   0.299 ms  351/  675 (52%)
[  3] 49.0-50.0 sec   474 KBytes  3.88 Mbits/sec   0.343 ms  348/  678 (51%)
[  3] 50.0-51.0 sec   497 KBytes  4.07 Mbits/sec   0.341 ms  341/  687 (50%)
[  3] 51.0-52.0 sec   467 KBytes  3.82 Mbits/sec   0.291 ms  357/  682 (52%)
[  3] 52.0-53.0 sec   464 KBytes  3.80 Mbits/sec   0.292 ms  356/  679 (52%)
[  3] 53.0-54.0 sec   467 KBytes  3.82 Mbits/sec   0.675 ms  349/  674 (52%)
[  3] 54.0-55.0 sec   468 KBytes  3.83 Mbits/sec   0.389 ms  356/  682 (52%)
[  3] 55.0-56.0 sec   505 KBytes  4.14 Mbits/sec   0.268 ms  334/  686 (49%)
[  3] 56.0-57.0 sec   475 KBytes  3.89 Mbits/sec   0.327 ms  347/  678 (51%)
[  3] 57.0-58.0 sec   477 KBytes  3.90 Mbits/sec   0.302 ms  341/  673 (51%)
[  3] 58.0-59.0 sec   500 KBytes  4.09 Mbits/sec   0.297 ms  338/  686 (49%)
[  3] 59.0-60.0 sec   474 KBytes  3.88 Mbits/sec   0.251 ms  353/  683 (52%)
[  3] 60.0-61.0 sec   469 KBytes  3.85 Mbits/sec   0.334 ms  352/  679 (52%)
[  3] 61.0-62.0 sec   468 KBytes  3.83 Mbits/sec   0.368 ms  351/  677 (52%)
[  3] 62.0-63.0 sec   484 KBytes  3.96 Mbits/sec   0.281 ms  348/  685 (51%)
[  3] 63.0-64.0 sec   459 KBytes  3.76 Mbits/sec   0.283 ms  359/  679 (53%)
[  3] 64.0-65.0 sec   469 KBytes  3.85 Mbits/sec   0.313 ms  355/  682 (52%)
[  3] 65.0-66.0 sec   462 KBytes  3.79 Mbits/sec   0.308 ms  352/  674 (52%)
[  3] 66.0-67.0 sec   502 KBytes  4.12 Mbits/sec   0.317 ms  334/  684 (49%)
[  3] 67.0-68.0 sec   474 KBytes  3.88 Mbits/sec   0.286 ms  352/  682 (52%)
[  3] 68.0-69.0 sec   474 KBytes  3.88 Mbits/sec   0.303 ms  349/  679 (51%)
[  3] 69.0-70.0 sec   462 KBytes  3.79 Mbits/sec   0.322 ms  351/  673 (52%)
[  3] 70.0-71.0 sec   454 KBytes  3.72 Mbits/sec   0.275 ms  371/  687 (54%)
[  3] 71.0-72.0 sec   482 KBytes  3.95 Mbits/sec   0.282 ms  347/  683 (51%)
