------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.2 port 5001 connected with 10.6.0.1 port 59876
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   978 KBytes  8.01 Mbits/sec   0.009 ms   29/  710 (4.1%)
[  3]  1.0- 2.0 sec   976 KBytes  8.00 Mbits/sec   0.013 ms    0/  680 (0%)
[  3]  2.0- 3.0 sec   976 KBytes  8.00 Mbits/sec   0.009 ms    0/  680 (0%)
[  3]  3.0- 4.0 sec   976 KBytes  8.00 Mbits/sec   0.028 ms    0/  680 (0%)
[  3]  4.0- 5.0 sec   978 KBytes  8.01 Mbits/sec   0.012 ms    0/  681 (0%)
[  3]  5.0- 6.0 sec   976 KBytes  8.00 Mbits/sec   0.018 ms    0/  680 (0%)
[  3]  6.0- 7.0 sec   976 KBytes  8.00 Mbits/sec   0.011 ms    0/  680 (0%)
[  3]  7.0- 8.0 sec   976 KBytes  8.00 Mbits/sec   0.005 ms    0/  680 (0%)
[  3]  8.0- 9.0 sec   978 KBytes  8.01 Mbits/sec   0.008 ms    0/  681 (0%)
[  3]  9.0-10.0 sec   732 KBytes  6.00 Mbits/sec   0.948 ms    0/  510 (0%)
[  3] 10.0-11.0 sec   594 KBytes  4.87 Mbits/sec   0.957 ms    0/  414 (0%)
[  3] 11.0-12.0 sec   593 KBytes  4.86 Mbits/sec   0.958 ms    0/  413 (0%)
[  3] 12.0-13.0 sec   798 KBytes  6.54 Mbits/sec   0.397 ms    5/  561 (0.89%)
[  3] 13.0-14.0 sec   969 KBytes  7.94 Mbits/sec   0.390 ms    6/  681 (0.88%)
[  3] 14.0-15.0 sec   969 KBytes  7.94 Mbits/sec   0.470 ms    5/  680 (0.74%)
[  3] 15.0-16.0 sec   959 KBytes  7.86 Mbits/sec   0.524 ms   12/  680 (1.8%)
[  3] 16.0-17.0 sec   962 KBytes  7.88 Mbits/sec   0.407 ms    7/  677 (1%)
[  3] 17.0-18.0 sec   969 KBytes  7.94 Mbits/sec   0.424 ms    9/  684 (1.3%)
[  3] 18.0-19.0 sec   958 KBytes  7.84 Mbits/sec   0.620 ms   13/  680 (1.9%)
[  3] 19.0-20.0 sec   956 KBytes  7.83 Mbits/sec   0.430 ms   14/  680 (2.1%)
[  3] 20.0-21.0 sec   965 KBytes  7.90 Mbits/sec   0.387 ms    9/  681 (1.3%)
[  3] 21.0-22.0 sec   960 KBytes  7.87 Mbits/sec   0.489 ms   11/  680 (1.6%)
[  3] 22.0-23.0 sec   958 KBytes  7.84 Mbits/sec   0.413 ms    8/  675 (1.2%)
[  3] 23.0-24.0 sec   976 KBytes  8.00 Mbits/sec   0.417 ms    5/  685 (0.73%)
[  3] 24.0-25.0 sec   965 KBytes  7.90 Mbits/sec   0.385 ms    9/  681 (1.3%)
