------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.1 port 5001 connected with 10.4.0.1 port 40421
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   488 KBytes  4.00 Mbits/sec   0.015 ms    0/  340 (0%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.027 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.010 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.023 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.007 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   490 KBytes  4.01 Mbits/sec   0.011 ms    0/  341 (0%)
[  3]  6.0- 7.0 sec   395 KBytes  3.23 Mbits/sec   0.686 ms    0/  275 (0%)
[  3]  7.0- 8.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3]  8.0- 9.0 sec   395 KBytes  3.23 Mbits/sec   0.687 ms    0/  275 (0%)
[  3]  9.0-10.0 sec   393 KBytes  3.22 Mbits/sec   0.722 ms    0/  274 (0%)
[  3] 10.0-11.0 sec   395 KBytes  3.23 Mbits/sec   0.700 ms    0/  275 (0%)
[  3] 11.0-12.0 sec   396 KBytes  3.25 Mbits/sec   0.701 ms    0/  276 (0%)
[  3] 12.0-13.0 sec   273 KBytes  2.23 Mbits/sec   0.247 ms  127/  317 (40%)
[  3] 13.0-14.0 sec   211 KBytes  1.73 Mbits/sec   0.253 ms  193/  340 (57%)
[  3] 14.0-15.0 sec   212 KBytes  1.74 Mbits/sec   0.219 ms  193/  341 (57%)
[  3] 15.0-16.0 sec   208 KBytes  1.71 Mbits/sec   0.594 ms  192/  337 (57%)
[  3] 16.0-17.0 sec   212 KBytes  1.74 Mbits/sec   0.309 ms  193/  341 (57%)
[  3] 17.0-18.0 sec   221 KBytes  1.81 Mbits/sec   0.510 ms  187/  341 (55%)
[  3] 18.0-19.0 sec   212 KBytes  1.74 Mbits/sec   0.247 ms  194/  342 (57%)
[  3] 19.0-20.0 sec   210 KBytes  1.72 Mbits/sec   0.247 ms  193/  339 (57%)
[  3] 20.0-21.0 sec   211 KBytes  1.73 Mbits/sec   0.349 ms  194/  341 (57%)
[  3] 21.0-22.0 sec   210 KBytes  1.72 Mbits/sec   0.278 ms  191/  337 (57%)
[  3] 22.0-23.0 sec   218 KBytes  1.79 Mbits/sec   0.333 ms  192/  344 (56%)
[  3] 23.0-24.0 sec   211 KBytes  1.73 Mbits/sec   0.222 ms  192/  339 (57%)
[  3] 24.0-25.0 sec   211 KBytes  1.73 Mbits/sec   0.248 ms  194/  341 (57%)
[  3] 25.0-26.0 sec   210 KBytes  1.72 Mbits/sec   0.408 ms  193/  339 (57%)
[  3] 26.0-27.0 sec   210 KBytes  1.72 Mbits/sec   0.428 ms  193/  339 (57%)
[  3] 27.0-28.0 sec   212 KBytes  1.74 Mbits/sec   0.441 ms  191/  339 (56%)
[  3] 28.0-29.0 sec   224 KBytes  1.83 Mbits/sec   0.224 ms  185/  341 (54%)
[  3] 29.0-30.0 sec   212 KBytes  1.74 Mbits/sec   0.222 ms  194/  342 (57%)
[  3] 30.0-31.0 sec   211 KBytes  1.73 Mbits/sec   0.242 ms  194/  341 (57%)
[  3] 31.0-32.0 sec   214 KBytes  1.75 Mbits/sec   0.250 ms  190/  339 (56%)
[  3] 32.0-33.0 sec   212 KBytes  1.74 Mbits/sec   0.281 ms  191/  339 (56%)
[  3] 33.0-34.0 sec   224 KBytes  1.83 Mbits/sec   0.245 ms  184/  340 (54%)
[  3] 34.0-35.0 sec   212 KBytes  1.74 Mbits/sec   0.272 ms  194/  342 (57%)
[  3] 35.0-36.0 sec   212 KBytes  1.74 Mbits/sec   0.328 ms  189/  337 (56%)
[  3] 36.0-37.0 sec   224 KBytes  1.83 Mbits/sec   0.366 ms  186/  342 (54%)
[  3] 37.0-38.0 sec   214 KBytes  1.75 Mbits/sec   0.271 ms  193/  342 (56%)
[  3] 38.0-39.0 sec   212 KBytes  1.74 Mbits/sec   0.218 ms  191/  339 (56%)
[  3] 39.0-40.0 sec   208 KBytes  1.71 Mbits/sec   0.217 ms  192/  337 (57%)
[  3] 40.0-41.0 sec   223 KBytes  1.82 Mbits/sec   0.233 ms  187/  342 (55%)
[  3] 41.0-42.0 sec   212 KBytes  1.74 Mbits/sec   0.507 ms  194/  342 (57%)
[  3] 42.0-43.0 sec   210 KBytes  1.72 Mbits/sec   0.224 ms  194/  340 (57%)
[  3] 43.0-44.0 sec   215 KBytes  1.76 Mbits/sec   0.286 ms  189/  339 (56%)
[  3] 44.0-45.0 sec   212 KBytes  1.74 Mbits/sec   0.249 ms  193/  341 (57%)
[  3] 45.0-46.0 sec   211 KBytes  1.73 Mbits/sec   0.211 ms  192/  339 (57%)
[  3] 46.0-47.0 sec   214 KBytes  1.75 Mbits/sec   0.363 ms  193/  342 (56%)
[  3] 47.0-48.0 sec   208 KBytes  1.71 Mbits/sec   0.528 ms  192/  337 (57%)
[  3] 48.0-49.0 sec   220 KBytes  1.80 Mbits/sec   0.454 ms  188/  341 (55%)
[  3] 49.0-50.0 sec   211 KBytes  1.73 Mbits/sec   0.221 ms  195/  342 (57%)
[  3] 50.0-51.0 sec   210 KBytes  1.72 Mbits/sec   0.233 ms  193/  339 (57%)
[  3] 51.0-52.0 sec   211 KBytes  1.73 Mbits/sec   0.371 ms  194/  341 (57%)
[  3] 52.0-53.0 sec   432 KBytes  3.54 Mbits/sec   0.518 ms   80/  381 (21%)
[  3] 53.0-54.0 sec   593 KBytes  4.86 Mbits/sec   0.523 ms    0/  413 (0%)
[  3] 54.0-55.0 sec   429 KBytes  3.52 Mbits/sec   0.689 ms    0/  299 (0%)
[  3] 55.0-56.0 sec   390 KBytes  3.20 Mbits/sec   0.626 ms    5/  277 (1.8%)
[  3] 56.0-57.0 sec   234 KBytes  1.92 Mbits/sec   0.412 ms  179/  342 (52%)
[  3] 57.0-58.0 sec   227 KBytes  1.86 Mbits/sec   0.590 ms  176/  334 (53%)
[  3] 58.0-59.0 sec   240 KBytes  1.96 Mbits/sec   0.326 ms  178/  345 (52%)
[  3] 59.0-60.0 sec   235 KBytes  1.93 Mbits/sec   0.399 ms  177/  341 (52%)
[  3] 60.0-61.0 sec   227 KBytes  1.86 Mbits/sec   0.425 ms  182/  340 (54%)
[  3] 61.0-62.0 sec   234 KBytes  1.92 Mbits/sec   0.417 ms  177/  340 (52%)
[  3] 62.0-63.0 sec   230 KBytes  1.88 Mbits/sec   0.406 ms  179/  339 (53%)
[  3] 63.0-64.0 sec   230 KBytes  1.88 Mbits/sec   0.442 ms  177/  337 (53%)
[  3] 64.0-65.0 sec   243 KBytes  1.99 Mbits/sec   0.572 ms  176/  345 (51%)
[  3] 65.0-66.0 sec   230 KBytes  1.88 Mbits/sec   0.564 ms  180/  340 (53%)
[  3] 66.0-67.0 sec   233 KBytes  1.91 Mbits/sec   0.665 ms  176/  338 (52%)
[  3] 67.0-68.0 sec   271 KBytes  2.22 Mbits/sec   0.509 ms  163/  352 (46%)
[  3] 68.0-69.0 sec   241 KBytes  1.98 Mbits/sec   0.380 ms  159/  327 (49%)
[  3] 69.0-70.0 sec   224 KBytes  1.83 Mbits/sec   0.465 ms  183/  339 (54%)
[  3] 70.0-71.0 sec   220 KBytes  1.80 Mbits/sec   0.607 ms  189/  342 (55%)
