------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.4.0.1 port 37899
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   422 KBytes  3.46 Mbits/sec   0.691 ms  383/  677 (57%)
[  3]  1.0- 2.0 sec   396 KBytes  3.25 Mbits/sec   0.691 ms    0/  276 (0%)
[  3]  2.0- 3.0 sec   392 KBytes  3.21 Mbits/sec   0.695 ms    0/  273 (0%)
[  3]  3.0- 4.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3]  4.0- 5.0 sec   395 KBytes  3.23 Mbits/sec   0.693 ms    0/  275 (0%)
[  3]  5.0- 6.0 sec   392 KBytes  3.21 Mbits/sec   1.191 ms    0/  273 (0%)
[  3]  6.0- 7.0 sec   475 KBytes  3.89 Mbits/sec   0.592 ms    0/  331 (0%)
[  3]  7.0- 8.0 sec   488 KBytes  4.00 Mbits/sec   0.623 ms    0/  340 (0%)
[  3]  8.0- 9.0 sec   484 KBytes  3.96 Mbits/sec   1.167 ms    0/  337 (0%)
[  3]  9.0-10.0 sec   487 KBytes  3.99 Mbits/sec   0.591 ms    1/  340 (0.29%)
[  3] 10.0-11.0 sec   467 KBytes  3.82 Mbits/sec   0.598 ms   18/  343 (5.2%)
[  3] 11.0-12.0 sec   487 KBytes  3.99 Mbits/sec   0.592 ms    1/  340 (0.29%)
[  3] 12.0-13.0 sec   487 KBytes  3.99 Mbits/sec   0.591 ms    1/  340 (0.29%)
[  3] 13.0-14.0 sec   490 KBytes  4.01 Mbits/sec   0.610 ms    0/  341 (0%)
[  3] 14.0-15.0 sec   485 KBytes  3.97 Mbits/sec   0.751 ms    0/  338 (0%)
[  3] 15.0-16.0 sec   487 KBytes  3.99 Mbits/sec   0.600 ms    0/  339 (0%)
[  3] 16.0-17.0 sec   472 KBytes  3.87 Mbits/sec   0.577 ms   14/  343 (4.1%)
[  3] 17.0-18.0 sec   485 KBytes  3.97 Mbits/sec   0.610 ms    2/  340 (0.59%)
[  3] 18.0-19.0 sec   488 KBytes  4.00 Mbits/sec   0.590 ms    1/  341 (0.29%)
[  3] 19.0-20.0 sec   487 KBytes  3.99 Mbits/sec   0.596 ms    0/  339 (0%)
[  3] 20.0-21.0 sec   484 KBytes  3.96 Mbits/sec   0.577 ms    1/  338 (0.3%)
[  3] 21.0-22.0 sec   472 KBytes  3.87 Mbits/sec   0.630 ms   14/  343 (4.1%)
[  3] 22.0-23.0 sec   487 KBytes  3.99 Mbits/sec   0.641 ms    1/  340 (0.29%)
[  3] 23.0-24.0 sec   488 KBytes  4.00 Mbits/sec   0.592 ms    0/  340 (0%)
