------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.2 port 5001 connected with 10.1.0.1 port 52422
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.006 ms    6/  516 (1.2%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.009 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.005 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   734 KBytes  6.01 Mbits/sec   0.007 ms    0/  511 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.007 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.034 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec   0.458 ms    0/  414 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.459 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.461 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.465 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   590 KBytes  4.83 Mbits/sec   0.458 ms    0/  411 (0%)
[  3] 11.0-12.0 sec   593 KBytes  4.86 Mbits/sec   0.488 ms    0/  413 (0%)
[  3] 12.0-13.0 sec   573 KBytes  4.69 Mbits/sec   0.483 ms   78/  477 (16%)
[  3] 13.0-14.0 sec   556 KBytes  4.55 Mbits/sec   0.436 ms  122/  509 (24%)
[  3] 14.0-15.0 sec   550 KBytes  4.50 Mbits/sec   0.471 ms  128/  511 (25%)
[  3] 15.0-16.0 sec   558 KBytes  4.57 Mbits/sec   0.477 ms  120/  509 (24%)
[  3] 16.0-17.0 sec   556 KBytes  4.55 Mbits/sec   0.454 ms  121/  508 (24%)
[  3] 17.0-18.0 sec   563 KBytes  4.61 Mbits/sec   0.556 ms  121/  513 (24%)
[  3] 18.0-19.0 sec   349 KBytes  2.86 Mbits/sec   1.574 ms   78/  321 (24%)
[  3] 19.0-20.0 sec   343 KBytes  2.81 Mbits/sec   1.644 ms   77/  316 (24%)
[  3] 20.0-21.0 sec   342 KBytes  2.80 Mbits/sec   1.832 ms   76/  314 (24%)
[  3] 21.0-22.0 sec   271 KBytes  2.22 Mbits/sec   0.334 ms  285/  474 (60%)
[  3] 22.0-23.0 sec   250 KBytes  2.05 Mbits/sec   0.307 ms  334/  508 (66%)
[  3] 23.0-24.0 sec   461 KBytes  3.77 Mbits/sec   0.447 ms  189/  510 (37%)
[  3] 24.0-25.0 sec   319 KBytes  2.61 Mbits/sec   0.259 ms  290/  512 (57%)
[  3] 25.0-26.0 sec   254 KBytes  2.08 Mbits/sec   0.327 ms  334/  511 (65%)
[  3] 26.0-27.0 sec   245 KBytes  2.01 Mbits/sec   0.283 ms  337/  508 (66%)
[  3] 27.0-28.0 sec   258 KBytes  2.12 Mbits/sec   0.304 ms  326/  506 (64%)
[  3] 28.0-29.0 sec   250 KBytes  2.05 Mbits/sec   0.271 ms  337/  511 (66%)
[  3] 29.0-30.0 sec   543 KBytes  4.45 Mbits/sec   0.465 ms  133/  511 (26%)
[  3] 30.0-31.0 sec   546 KBytes  4.47 Mbits/sec   0.483 ms  134/  514 (26%)
[  3] 31.0-32.0 sec   556 KBytes  4.55 Mbits/sec   0.452 ms  123/  510 (24%)
[  3] 32.0-33.0 sec   554 KBytes  4.54 Mbits/sec   0.638 ms  120/  506 (24%)
[  3] 33.0-34.0 sec   556 KBytes  4.55 Mbits/sec   0.436 ms  124/  511 (24%)
[  3] 34.0-35.0 sec   551 KBytes  4.52 Mbits/sec   0.461 ms  125/  509 (25%)
[  3] 35.0-36.0 sec   571 KBytes  4.68 Mbits/sec   0.426 ms  117/  515 (23%)
[  3] 36.0-37.0 sec   537 KBytes  4.40 Mbits/sec   0.399 ms  132/  506 (26%)
[  3] 37.0-38.0 sec   534 KBytes  4.37 Mbits/sec   0.442 ms  138/  510 (27%)
[  3] 38.0-39.0 sec   579 KBytes  4.74 Mbits/sec   0.532 ms  112/  515 (22%)
[  3] 39.0-40.0 sec   557 KBytes  4.56 Mbits/sec   0.499 ms  123/  511 (24%)
[  3] 40.0-41.0 sec   527 KBytes  4.32 Mbits/sec   0.436 ms  137/  504 (27%)
[  3] 41.0-42.0 sec   540 KBytes  4.42 Mbits/sec   0.494 ms  135/  511 (26%)
[  3] 42.0-43.0 sec   563 KBytes  4.61 Mbits/sec   0.453 ms  122/  514 (24%)
[  3] 43.0-44.0 sec   566 KBytes  4.63 Mbits/sec   0.436 ms  117/  511 (23%)
[  3] 44.0-45.0 sec   546 KBytes  4.47 Mbits/sec   0.457 ms  126/  506 (25%)
[  3] 45.0-46.0 sec   518 KBytes  4.25 Mbits/sec   0.524 ms  148/  509 (29%)
