------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.2 port 5001 connected with 10.6.0.2 port 38847
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   514 KBytes  4.21 Mbits/sec   1.188 ms 3588/ 3946 (91%)
[  3]  1.0- 2.0 sec   501 KBytes  4.10 Mbits/sec   1.199 ms    0/  349 (0%)
[  3]  2.0- 3.0 sec   438 KBytes  3.59 Mbits/sec   1.959 ms    0/  305 (0%)
[  3]  3.0- 4.0 sec   396 KBytes  3.25 Mbits/sec   1.948 ms    0/  276 (0%)
[  3]  4.0- 5.0 sec   412 KBytes  3.38 Mbits/sec   0.929 ms    1/  288 (0.35%)
[  3]  5.0- 6.0 sec   467 KBytes  3.82 Mbits/sec   1.051 ms  394/  719 (55%)
[  3]  6.0- 7.0 sec   458 KBytes  3.75 Mbits/sec   1.310 ms  450/  769 (59%)
[  3]  7.0- 8.0 sec   537 KBytes  4.40 Mbits/sec   1.479 ms  505/  879 (57%)
[  3]  8.0- 9.0 sec   372 KBytes  3.05 Mbits/sec   0.864 ms  387/  646 (60%)
[  3]  9.0-10.0 sec   390 KBytes  3.20 Mbits/sec   0.225 ms  391/  663 (59%)
[  3] 10.0-11.0 sec   339 KBytes  2.78 Mbits/sec   0.333 ms  361/  597 (60%)
[  3] 11.0-12.0 sec   340 KBytes  2.79 Mbits/sec   0.252 ms  354/  591 (60%)
[  3] 12.0-13.0 sec   363 KBytes  2.98 Mbits/sec   0.381 ms  343/  596 (58%)
[  3] 13.0-14.0 sec   352 KBytes  2.88 Mbits/sec   0.473 ms  352/  597 (59%)
[  3] 14.0-15.0 sec   277 KBytes  2.27 Mbits/sec   1.199 ms  277/  470 (59%)
[  3] 15.0-16.0 sec   266 KBytes  2.18 Mbits/sec   1.842 ms  276/  461 (60%)
[  3] 16.0-17.0 sec   271 KBytes  2.22 Mbits/sec   1.214 ms  271/  460 (59%)
[  3] 17.0-18.0 sec   412 KBytes  3.38 Mbits/sec   1.038 ms  364/  651 (56%)
[  3] 18.0-19.0 sec   457 KBytes  3.74 Mbits/sec   1.289 ms  456/  774 (59%)
[  3] 19.0-20.0 sec   462 KBytes  3.79 Mbits/sec   0.524 ms  443/  765 (58%)
[  3] 20.0-21.0 sec   357 KBytes  2.93 Mbits/sec   0.270 ms  344/  593 (58%)
[  3] 21.0-22.0 sec   428 KBytes  3.50 Mbits/sec   0.622 ms  284/  582 (49%)
[  3] 22.0-23.0 sec   775 KBytes  6.35 Mbits/sec   0.709 ms    0/  540 (0%)
[  3] 23.0-24.0 sec   850 KBytes  6.96 Mbits/sec   0.470 ms    0/  592 (0%)
[  3] 24.0-25.0 sec  1.15 MBytes  9.68 Mbits/sec   0.451 ms    0/  823 (0%)
[  3] 25.0-26.0 sec  1.15 MBytes  9.68 Mbits/sec   0.554 ms    0/  823 (0%)
[  3] 26.0-27.0 sec  1.15 MBytes  9.61 Mbits/sec   0.915 ms    0/  817 (0%)
[  3] 27.0-28.0 sec  1009 KBytes  8.27 Mbits/sec   0.020 ms    0/  703 (0%)
[  3] 28.0-29.0 sec   856 KBytes  7.01 Mbits/sec   0.015 ms    0/  596 (0%)
[  3] 29.0-30.0 sec   854 KBytes  7.00 Mbits/sec   0.028 ms    0/  595 (0%)
[  3] 30.0-31.0 sec   854 KBytes  7.00 Mbits/sec   0.015 ms    0/  595 (0%)
[  3] 31.0-32.0 sec   856 KBytes  7.01 Mbits/sec   0.024 ms    0/  596 (0%)
[  3] 32.0-33.0 sec   854 KBytes  7.00 Mbits/sec   0.025 ms    0/  595 (0%)
[  3] 33.0-34.0 sec   854 KBytes  7.00 Mbits/sec   0.017 ms    0/  595 (0%)
[  3] 34.0-35.0 sec   854 KBytes  7.00 Mbits/sec   0.062 ms    0/  595 (0%)
[  3] 35.0-36.0 sec   856 KBytes  7.01 Mbits/sec   0.037 ms    0/  596 (0%)
[  3] 36.0-37.0 sec   854 KBytes  7.00 Mbits/sec   0.027 ms    0/  595 (0%)
[  3] 37.0-38.0 sec   854 KBytes  7.00 Mbits/sec   0.019 ms    0/  595 (0%)
[  3] 38.0-39.0 sec   854 KBytes  7.00 Mbits/sec   0.016 ms    0/  595 (0%)
[  3] 39.0-40.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3] 40.0-41.0 sec   856 KBytes  7.01 Mbits/sec   0.016 ms    0/  596 (0%)
[  3] 41.0-42.0 sec   854 KBytes  7.00 Mbits/sec   0.014 ms    0/  595 (0%)
[  3] 42.0-43.0 sec   854 KBytes  7.00 Mbits/sec   0.015 ms    0/  595 (0%)
[  3] 43.0-44.0 sec   854 KBytes  7.00 Mbits/sec   0.014 ms    0/  595 (0%)
[  3] 44.0-45.0 sec   854 KBytes  7.00 Mbits/sec   0.041 ms    0/  595 (0%)
[  3] 45.0-46.0 sec   856 KBytes  7.01 Mbits/sec   0.017 ms    0/  596 (0%)
[  3] 46.0-47.0 sec   854 KBytes  7.00 Mbits/sec   0.027 ms    0/  595 (0%)
[  3] 47.0-48.0 sec   854 KBytes  7.00 Mbits/sec   0.031 ms    0/  595 (0%)
[  3] 48.0-49.0 sec   856 KBytes  7.01 Mbits/sec   0.012 ms    0/  596 (0%)
[  3] 49.0-50.0 sec   854 KBytes  7.00 Mbits/sec   0.023 ms    0/  595 (0%)
[  3] 50.0-51.0 sec   854 KBytes  7.00 Mbits/sec   0.018 ms    0/  595 (0%)
[  3] 51.0-52.0 sec   854 KBytes  7.00 Mbits/sec   0.022 ms    0/  595 (0%)
[  3] 52.0-53.0 sec   856 KBytes  7.01 Mbits/sec   0.017 ms    0/  596 (0%)
[  3] 53.0-54.0 sec   854 KBytes  7.00 Mbits/sec   0.032 ms    0/  595 (0%)
[  3] 54.0-55.0 sec   854 KBytes  7.00 Mbits/sec   0.009 ms    0/  595 (0%)
[  3] 55.0-56.0 sec   854 KBytes  7.00 Mbits/sec   0.016 ms    0/  595 (0%)
[  3] 56.0-57.0 sec   856 KBytes  7.01 Mbits/sec   0.012 ms    0/  596 (0%)
[  3] 57.0-58.0 sec   853 KBytes  6.99 Mbits/sec   0.079 ms    0/  594 (0%)
[  3] 58.0-59.0 sec   856 KBytes  7.01 Mbits/sec   0.094 ms    0/  596 (0%)
[  3] 59.0-60.0 sec   854 KBytes  7.00 Mbits/sec   0.028 ms    0/  595 (0%)
[  3] 60.0-61.0 sec   854 KBytes  7.00 Mbits/sec   0.023 ms    0/  595 (0%)
[  3] 61.0-62.0 sec   856 KBytes  7.01 Mbits/sec   0.015 ms    0/  596 (0%)
[  3] 62.0-63.0 sec   854 KBytes  7.00 Mbits/sec   0.019 ms    0/  595 (0%)
[  3] 63.0-64.0 sec   854 KBytes  7.00 Mbits/sec   0.026 ms    0/  595 (0%)
[  3] 64.0-65.0 sec   854 KBytes  7.00 Mbits/sec   0.025 ms    0/  595 (0%)
[  3] 65.0-66.0 sec   856 KBytes  7.01 Mbits/sec   0.021 ms    0/  596 (0%)
[  3] 66.0-67.0 sec   854 KBytes  7.00 Mbits/sec   0.017 ms    0/  595 (0%)
[  3] 67.0-68.0 sec   854 KBytes  7.00 Mbits/sec   0.015 ms    0/  595 (0%)
[  3] 68.0-69.0 sec   854 KBytes  7.00 Mbits/sec   0.019 ms    0/  595 (0%)
[  3] 69.0-70.0 sec   856 KBytes  7.01 Mbits/sec   0.029 ms    0/  596 (0%)
[  3] 70.0-71.0 sec   854 KBytes  7.00 Mbits/sec   0.019 ms    0/  595 (0%)
[  3] 71.0-72.0 sec   854 KBytes  7.00 Mbits/sec   0.017 ms    0/  595 (0%)
[  3] 72.0-73.0 sec   854 KBytes  7.00 Mbits/sec   0.022 ms    0/  595 (0%)
[  3] 73.0-74.0 sec   856 KBytes  7.01 Mbits/sec   0.019 ms    0/  596 (0%)
[  3] 74.0-75.0 sec   854 KBytes  7.00 Mbits/sec   0.029 ms    0/  595 (0%)
[  3] 75.0-76.0 sec   854 KBytes  7.00 Mbits/sec   0.028 ms    0/  595 (0%)
[  3] 76.0-77.0 sec   854 KBytes  7.00 Mbits/sec   0.026 ms    0/  595 (0%)
[  3] 77.0-78.0 sec   856 KBytes  7.01 Mbits/sec   0.018 ms    0/  596 (0%)
[  3] 78.0-79.0 sec   854 KBytes  7.00 Mbits/sec   0.023 ms    0/  595 (0%)
[  3] 79.0-80.0 sec   854 KBytes  7.00 Mbits/sec   0.042 ms    0/  595 (0%)
[  3] 80.0-81.0 sec   854 KBytes  7.00 Mbits/sec   0.016 ms    0/  595 (0%)
[  3]  0.0-81.1 sec  58.9 MBytes  6.10 Mbits/sec   0.016 ms 9841/51859 (19%)
