------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.1.0.2 port 34309
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.740 ms    7/  421 (1.7%)
[  3]  1.0- 2.0 sec   590 KBytes  4.83 Mbits/sec   0.741 ms    0/  411 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.742 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   609 KBytes  4.99 Mbits/sec   0.584 ms    0/  424 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.575 ms    1/  596 (0.17%)
[  3]  5.0- 6.0 sec   843 KBytes  6.90 Mbits/sec   0.517 ms    5/  592 (0.84%)
[  3]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec   0.940 ms    0/  414 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.738 ms    3/  417 (0.72%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.760 ms    2/  415 (0.48%)
[  3]  9.0-10.0 sec   599 KBytes  4.90 Mbits/sec   0.674 ms    1/  418 (0.24%)
[  3] 10.0-11.0 sec   844 KBytes  6.91 Mbits/sec   0.566 ms    3/  591 (0.51%)
[  3] 11.0-12.0 sec   843 KBytes  6.90 Mbits/sec   0.635 ms    7/  594 (1.2%)
[  3] 12.0-13.0 sec   835 KBytes  6.84 Mbits/sec   0.565 ms   19/  601 (3.2%)
[  3] 13.0-14.0 sec   647 KBytes  5.30 Mbits/sec   0.251 ms  142/  593 (24%)
[  3] 14.0-15.0 sec   350 KBytes  2.87 Mbits/sec   0.308 ms  353/  597 (59%)
[  3] 15.0-16.0 sec   762 KBytes  6.24 Mbits/sec   0.573 ms   61/  592 (10%)
[  3] 16.0-17.0 sec   847 KBytes  6.94 Mbits/sec   0.589 ms    4/  594 (0.67%)
[  3] 17.0-18.0 sec   835 KBytes  6.84 Mbits/sec   0.568 ms   18/  600 (3%)
[  3] 18.0-19.0 sec   850 KBytes  6.96 Mbits/sec   0.551 ms    3/  595 (0.5%)
[  3] 19.0-20.0 sec   850 KBytes  6.96 Mbits/sec   0.558 ms    4/  596 (0.67%)
[  3] 20.0-21.0 sec   850 KBytes  6.96 Mbits/sec   0.588 ms    3/  595 (0.5%)
[  3] 21.0-22.0 sec   695 KBytes  5.69 Mbits/sec   0.259 ms  104/  588 (18%)
[  3] 22.0-23.0 sec   388 KBytes  3.18 Mbits/sec   0.589 ms  327/  597 (55%)
[  3] 23.0-24.0 sec   837 KBytes  6.86 Mbits/sec   0.574 ms   13/  596 (2.2%)
[  3] 24.0-25.0 sec   856 KBytes  7.01 Mbits/sec   0.548 ms    3/  599 (0.5%)
[  3] 25.0-26.0 sec   846 KBytes  6.93 Mbits/sec   0.596 ms    6/  595 (1%)
[  3] 26.0-27.0 sec   850 KBytes  6.96 Mbits/sec   0.562 ms    4/  596 (0.67%)
[  3] 27.0-28.0 sec   838 KBytes  6.87 Mbits/sec   0.669 ms    6/  590 (1%)
[  3] 28.0-29.0 sec   850 KBytes  6.96 Mbits/sec   0.558 ms    3/  595 (0.5%)
[  3] 29.0-30.0 sec   848 KBytes  6.95 Mbits/sec   0.570 ms    5/  596 (0.84%)
[  3] 30.0-31.0 sec   840 KBytes  6.88 Mbits/sec   0.576 ms   15/  600 (2.5%)
