------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.2 port 5001 connected with 10.6.0.1 port 60094
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   976 KBytes  8.00 Mbits/sec   0.011 ms   13/  693 (1.9%)
[  3]  1.0- 2.0 sec   978 KBytes  8.01 Mbits/sec   0.015 ms    0/  681 (0%)
[  3]  2.0- 3.0 sec   976 KBytes  8.00 Mbits/sec   0.018 ms    0/  680 (0%)
[  3]  3.0- 4.0 sec   976 KBytes  8.00 Mbits/sec   0.019 ms    0/  680 (0%)
[  3]  4.0- 5.0 sec   976 KBytes  8.00 Mbits/sec   0.017 ms    0/  680 (0%)
[  3]  5.0- 6.0 sec   978 KBytes  8.01 Mbits/sec   0.012 ms    0/  681 (0%)
[  3]  6.0- 7.0 sec   976 KBytes  8.00 Mbits/sec   0.015 ms    0/  680 (0%)
[  3]  7.0- 8.0 sec   976 KBytes  8.00 Mbits/sec   0.013 ms    0/  680 (0%)
[  3]  8.0- 9.0 sec   709 KBytes  5.81 Mbits/sec   0.948 ms    0/  494 (0%)
[  3]  9.0-10.0 sec   594 KBytes  4.87 Mbits/sec   0.950 ms    0/  414 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.948 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   685 KBytes  5.61 Mbits/sec   0.390 ms   99/  576 (17%)
[  3] 12.0-13.0 sec   754 KBytes  6.17 Mbits/sec   0.347 ms  152/  677 (22%)
[  3] 13.0-14.0 sec   729 KBytes  5.97 Mbits/sec   0.386 ms  177/  685 (26%)
[  3] 14.0-15.0 sec   754 KBytes  6.17 Mbits/sec   0.375 ms  155/  680 (23%)
[  3] 15.0-16.0 sec   754 KBytes  6.17 Mbits/sec   0.394 ms  156/  681 (23%)
[  3] 16.0-17.0 sec   757 KBytes  6.20 Mbits/sec   0.438 ms  153/  680 (22%)
[  3] 17.0-18.0 sec   748 KBytes  6.13 Mbits/sec   0.363 ms  158/  679 (23%)
[  3] 18.0-19.0 sec   751 KBytes  6.15 Mbits/sec   0.474 ms  153/  676 (23%)
[  3] 19.0-20.0 sec   765 KBytes  6.27 Mbits/sec   0.366 ms  154/  687 (22%)
[  3] 20.0-21.0 sec   754 KBytes  6.17 Mbits/sec   0.408 ms  153/  678 (23%)
[  3] 21.0-22.0 sec   749 KBytes  6.14 Mbits/sec   0.375 ms  160/  682 (23%)
[  3] 22.0-23.0 sec   758 KBytes  6.21 Mbits/sec   0.390 ms  152/  680 (22%)
[  3] 23.0-24.0 sec   749 KBytes  6.14 Mbits/sec   0.394 ms  158/  680 (23%)
[  3] 24.0-25.0 sec   751 KBytes  6.15 Mbits/sec   0.380 ms  157/  680 (23%)
[  3] 25.0-26.0 sec   758 KBytes  6.21 Mbits/sec   0.369 ms  151/  679 (22%)
[  3] 26.0-27.0 sec   759 KBytes  6.22 Mbits/sec   0.385 ms  153/  682 (22%)
[  3] 27.0-28.0 sec   754 KBytes  6.17 Mbits/sec   0.390 ms  156/  681 (23%)
[  3] 28.0-29.0 sec   751 KBytes  6.15 Mbits/sec   0.397 ms  155/  678 (23%)
[  3] 29.0-30.0 sec   765 KBytes  6.27 Mbits/sec   0.353 ms  146/  679 (22%)
[  3] 30.0-31.0 sec   748 KBytes  6.13 Mbits/sec   0.403 ms  154/  675 (23%)
[  3] 31.0-32.0 sec   762 KBytes  6.24 Mbits/sec   0.432 ms  153/  684 (22%)
[  3] 32.0-33.0 sec   755 KBytes  6.19 Mbits/sec   0.380 ms  153/  679 (23%)
