------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.1.0.2 port 51437
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   1.073 ms   10/  423 (2.4%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   1.129 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   594 KBytes  4.87 Mbits/sec   1.107 ms    0/  414 (0%)
[  3]  3.0- 4.0 sec   580 KBytes  4.75 Mbits/sec   0.574 ms  254/  658 (39%)
[  3]  4.0- 5.0 sec   613 KBytes  5.02 Mbits/sec   0.552 ms  249/  676 (37%)
[  3]  5.0- 6.0 sec   649 KBytes  5.32 Mbits/sec   0.853 ms  234/  686 (34%)
[  3]  6.0- 7.0 sec   610 KBytes  5.00 Mbits/sec   0.531 ms  254/  679 (37%)
[  3]  7.0- 8.0 sec   626 KBytes  5.13 Mbits/sec   0.518 ms  244/  680 (36%)
[  3]  8.0- 9.0 sec   600 KBytes  4.92 Mbits/sec   0.540 ms  260/  678 (38%)
[  3]  9.0-10.0 sec   632 KBytes  5.17 Mbits/sec   0.633 ms  243/  683 (36%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.489 ms  267/  680 (39%)
[  3] 11.0-12.0 sec   614 KBytes  5.03 Mbits/sec   1.026 ms  246/  674 (36%)
[  3] 12.0-13.0 sec   353 KBytes  2.89 Mbits/sec   2.012 ms  131/  377 (35%)
[  3] 13.0-14.0 sec   333 KBytes  2.73 Mbits/sec   1.887 ms  144/  376 (38%)
[  3] 14.0-15.0 sec   452 KBytes  3.70 Mbits/sec   0.591 ms  156/  471 (33%)
[  3] 15.0-16.0 sec   601 KBytes  4.93 Mbits/sec   0.607 ms  261/  680 (38%)
[  3] 16.0-17.0 sec   607 KBytes  4.97 Mbits/sec   0.546 ms  254/  677 (38%)
[  3] 17.0-18.0 sec   613 KBytes  5.02 Mbits/sec   0.518 ms  251/  678 (37%)
[  3] 18.0-19.0 sec   574 KBytes  4.70 Mbits/sec   0.532 ms  283/  683 (41%)
[  3] 19.0-20.0 sec   570 KBytes  4.67 Mbits/sec   0.504 ms  285/  682 (42%)
[  3] 20.0-21.0 sec   606 KBytes  4.96 Mbits/sec   0.464 ms  252/  674 (37%)
[  3] 21.0-22.0 sec   581 KBytes  4.76 Mbits/sec   0.513 ms  279/  684 (41%)
[  3] 22.0-23.0 sec   635 KBytes  5.20 Mbits/sec   0.503 ms  239/  681 (35%)
[  3] 23.0-24.0 sec   646 KBytes  5.29 Mbits/sec   0.496 ms  233/  683 (34%)
[  3] 24.0-25.0 sec   601 KBytes  4.93 Mbits/sec   0.493 ms  258/  677 (38%)
[  3] 25.0-26.0 sec   626 KBytes  5.13 Mbits/sec   0.556 ms  243/  679 (36%)
[  3] 26.0-27.0 sec   613 KBytes  5.02 Mbits/sec   0.492 ms  254/  681 (37%)
[  3] 27.0-28.0 sec   637 KBytes  5.22 Mbits/sec   0.509 ms  242/  686 (35%)
[  3] 28.0-29.0 sec   659 KBytes  5.40 Mbits/sec   0.553 ms  220/  679 (32%)
[  3] 29.0-30.0 sec   629 KBytes  5.15 Mbits/sec   0.566 ms  238/  676 (35%)
[  3] 30.0-31.0 sec   630 KBytes  5.16 Mbits/sec   0.503 ms  241/  680 (35%)
[  3] 31.0-32.0 sec   647 KBytes  5.30 Mbits/sec   0.595 ms  229/  680 (34%)
[  3] 32.0-33.0 sec   609 KBytes  4.99 Mbits/sec   0.522 ms  262/  686 (38%)
[  3] 33.0-34.0 sec   637 KBytes  5.22 Mbits/sec   0.543 ms  236/  680 (35%)
[  3] 34.0-35.0 sec   620 KBytes  5.08 Mbits/sec   0.524 ms  247/  679 (36%)
[  3] 35.0-36.0 sec   599 KBytes  4.90 Mbits/sec   0.552 ms  264/  681 (39%)
[  3] 36.0-37.0 sec   472 KBytes  3.87 Mbits/sec   0.893 ms  177/  506 (35%)
[  3] 37.0-38.0 sec   479 KBytes  3.93 Mbits/sec   0.904 ms  160/  494 (32%)
[  3] 38.0-39.0 sec   468 KBytes  3.83 Mbits/sec   0.923 ms  174/  500 (35%)
[  3] 39.0-40.0 sec   462 KBytes  3.79 Mbits/sec   0.911 ms  189/  511 (37%)
[  3] 40.0-41.0 sec   560 KBytes  4.59 Mbits/sec   0.720 ms  179/  569 (31%)
