------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.1 port 5001 connected with 10.6.0.1 port 48202
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   610 KBytes  5.00 Mbits/sec   1.071 ms 1640/ 2065 (79%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.965 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.949 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   383 KBytes  3.14 Mbits/sec   0.543 ms  400/  667 (60%)
[  3]  4.0- 5.0 sec   524 KBytes  4.29 Mbits/sec   0.489 ms  319/  684 (47%)
[  3]  5.0- 6.0 sec   445 KBytes  3.65 Mbits/sec   0.462 ms  370/  680 (54%)
[  3]  6.0- 7.0 sec   368 KBytes  3.01 Mbits/sec   0.567 ms  418/  674 (62%)
[  3]  7.0- 8.0 sec   474 KBytes  3.88 Mbits/sec   0.601 ms  358/  688 (52%)
[  3]  8.0- 9.0 sec   428 KBytes  3.50 Mbits/sec   0.427 ms  381/  679 (56%)
[  3]  9.0-10.0 sec   452 KBytes  3.70 Mbits/sec   0.403 ms  360/  675 (53%)
[  3] 10.0-11.0 sec   382 KBytes  3.13 Mbits/sec   0.577 ms  415/  681 (61%)
[  3] 11.0-12.0 sec   349 KBytes  2.86 Mbits/sec   0.446 ms  439/  682 (64%)
[  3] 12.0-13.0 sec   396 KBytes  3.25 Mbits/sec   0.415 ms  407/  683 (60%)
[  3] 13.0-14.0 sec   423 KBytes  3.47 Mbits/sec   0.433 ms  385/  680 (57%)
[  3] 14.0-15.0 sec   490 KBytes  4.01 Mbits/sec   0.488 ms  335/  676 (50%)
[  3] 15.0-16.0 sec   482 KBytes  3.95 Mbits/sec   0.716 ms  347/  683 (51%)
[  3] 16.0-17.0 sec   422 KBytes  3.46 Mbits/sec   0.575 ms  385/  679 (57%)
[  3] 17.0-18.0 sec   421 KBytes  3.45 Mbits/sec   0.428 ms  390/  683 (57%)
[  3] 18.0-19.0 sec   423 KBytes  3.47 Mbits/sec   0.632 ms  381/  676 (56%)
[  3] 19.0-20.0 sec   399 KBytes  3.27 Mbits/sec   0.949 ms  397/  675 (59%)
[  3] 20.0-21.0 sec   609 KBytes  4.99 Mbits/sec   0.399 ms  266/  690 (39%)
[  3] 21.0-22.0 sec   709 KBytes  5.81 Mbits/sec   0.449 ms  186/  680 (27%)
[  3] 22.0-23.0 sec   538 KBytes  4.41 Mbits/sec   0.431 ms  306/  681 (45%)
[  3] 23.0-24.0 sec   481 KBytes  3.94 Mbits/sec   0.378 ms  340/  675 (50%)
[  3] 24.0-25.0 sec   416 KBytes  3.41 Mbits/sec   0.571 ms  395/  685 (58%)
[  3] 25.0-26.0 sec   485 KBytes  3.97 Mbits/sec   0.489 ms  341/  679 (50%)
[  3] 26.0-27.0 sec   556 KBytes  4.55 Mbits/sec   0.505 ms  294/  681 (43%)
[  3] 27.0-28.0 sec   745 KBytes  6.10 Mbits/sec   0.438 ms  163/  682 (24%)
[  3] 28.0-29.0 sec   698 KBytes  5.72 Mbits/sec   0.522 ms  189/  675 (28%)
[  3] 29.0-30.0 sec   708 KBytes  5.80 Mbits/sec   0.475 ms  193/  686 (28%)
[  3] 30.0-31.0 sec   757 KBytes  6.20 Mbits/sec   0.519 ms  151/  678 (22%)
[  3] 31.0-32.0 sec   791 KBytes  6.48 Mbits/sec   0.509 ms  132/  683 (19%)
[  3] 32.0-33.0 sec   731 KBytes  5.99 Mbits/sec   0.644 ms  170/  679 (25%)
[  3] 33.0-34.0 sec   601 KBytes  4.93 Mbits/sec   0.507 ms  262/  681 (38%)
[  3] 34.0-35.0 sec   678 KBytes  5.55 Mbits/sec   0.704 ms  201/  673 (30%)
[  3] 35.0-36.0 sec   675 KBytes  5.53 Mbits/sec   0.461 ms  217/  687 (32%)
[  3] 36.0-37.0 sec   579 KBytes  4.74 Mbits/sec   0.546 ms  275/  678 (41%)
[  3] 37.0-38.0 sec   777 KBytes  6.36 Mbits/sec   0.376 ms  161/  702 (23%)
[  3] 38.0-39.0 sec  1.16 MBytes  9.73 Mbits/sec   0.303 ms    0/  827 (0%)
[  3] 39.0-40.0 sec  1.16 MBytes  9.71 Mbits/sec   0.314 ms    0/  826 (0%)
[  3] 40.0-41.0 sec  1.15 MBytes  9.64 Mbits/sec   0.801 ms    0/  820 (0%)
[  3] 41.0-42.0 sec  1.16 MBytes  9.71 Mbits/sec   0.377 ms    0/  826 (0%)
[  3] 42.0-43.0 sec  1.16 MBytes  9.71 Mbits/sec   0.385 ms    0/  826 (0%)
[  3] 43.0-44.0 sec  1.06 MBytes  8.93 Mbits/sec   0.054 ms    0/  759 (0%)
[  3] 44.0-45.0 sec   976 KBytes  8.00 Mbits/sec   0.014 ms    0/  680 (0%)
[  3] 45.0-46.0 sec   976 KBytes  8.00 Mbits/sec   0.014 ms    0/  680 (0%)
[  3] 46.0-47.0 sec   975 KBytes  7.99 Mbits/sec   0.278 ms    0/  679 (0%)
[  3] 47.0-48.0 sec   979 KBytes  8.02 Mbits/sec   0.021 ms    0/  682 (0%)
