------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.1 port 5001 connected with 10.3.0.2 port 59742
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   612 KBytes  5.01 Mbits/sec   1.115 ms 4741/ 5167 (92%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   1.114 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   724 KBytes  5.93 Mbits/sec   0.232 ms   54/  558 (9.7%)
[  3]  3.0- 4.0 sec   890 KBytes  7.29 Mbits/sec   0.175 ms  138/  758 (18%)
[  3]  4.0- 5.0 sec   873 KBytes  7.15 Mbits/sec   0.152 ms  120/  728 (16%)
[  3]  5.0- 6.0 sec   870 KBytes  7.13 Mbits/sec   0.149 ms  204/  810 (25%)
[  3]  6.0- 7.0 sec   914 KBytes  7.49 Mbits/sec   0.180 ms  128/  765 (17%)
[  3]  7.0- 8.0 sec   897 KBytes  7.35 Mbits/sec   0.181 ms  136/  761 (18%)
[  3]  8.0- 9.0 sec   808 KBytes  6.62 Mbits/sec   0.213 ms  209/  772 (27%)
[  3]  9.0-10.0 sec   910 KBytes  7.46 Mbits/sec   0.267 ms  132/  766 (17%)
[  3] 10.0-11.0 sec   894 KBytes  7.33 Mbits/sec   0.429 ms  137/  760 (18%)
[  3] 11.0-12.0 sec   894 KBytes  7.33 Mbits/sec   0.173 ms  143/  766 (19%)
[  3] 12.0-13.0 sec   817 KBytes  6.69 Mbits/sec   0.201 ms  200/  769 (26%)
[  3] 13.0-14.0 sec   914 KBytes  7.49 Mbits/sec   0.199 ms  131/  768 (17%)
[  3] 14.0-15.0 sec   924 KBytes  7.57 Mbits/sec   0.189 ms  121/  765 (16%)
[  3] 15.0-16.0 sec   912 KBytes  7.47 Mbits/sec   0.163 ms  126/  761 (17%)
[  3] 16.0-17.0 sec   917 KBytes  7.51 Mbits/sec   0.203 ms  132/  771 (17%)
[  3] 17.0-18.0 sec   909 KBytes  7.44 Mbits/sec   0.272 ms  132/  765 (17%)
[  3] 18.0-19.0 sec   906 KBytes  7.42 Mbits/sec   0.209 ms  135/  766 (18%)
[  3] 19.0-20.0 sec   922 KBytes  7.55 Mbits/sec   0.196 ms  124/  766 (16%)
[  3] 20.0-21.0 sec   890 KBytes  7.29 Mbits/sec   0.239 ms  145/  765 (19%)
[  3] 21.0-22.0 sec   913 KBytes  7.48 Mbits/sec   0.208 ms  130/  766 (17%)
[  3] 22.0-23.0 sec   900 KBytes  7.37 Mbits/sec   0.225 ms  139/  766 (18%)
[  3] 23.0-24.0 sec   914 KBytes  7.49 Mbits/sec   0.220 ms  129/  766 (17%)
