------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.2 port 5001 connected with 10.6.0.1 port 45078
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1.07 MBytes  9.01 Mbits/sec   0.015 ms   16/  782 (2%)
[  3]  1.0- 2.0 sec  1.07 MBytes  9.01 Mbits/sec   0.011 ms    0/  766 (0%)
[  3]  2.0- 3.0 sec  1.07 MBytes  9.00 Mbits/sec   0.010 ms    0/  765 (0%)
[  3]  3.0- 4.0 sec  1.07 MBytes  9.01 Mbits/sec   0.013 ms    0/  766 (0%)
[  3]  4.0- 5.0 sec  1.07 MBytes  8.98 Mbits/sec   0.122 ms    0/  764 (0%)
[  3]  5.0- 6.0 sec  1.08 MBytes  9.02 Mbits/sec   0.089 ms    0/  767 (0%)
[  3]  6.0- 7.0 sec  1.07 MBytes  9.01 Mbits/sec   0.012 ms    0/  766 (0%)
[  3]  7.0- 8.0 sec  1.07 MBytes  9.01 Mbits/sec   0.012 ms    0/  766 (0%)
[  3]  8.0- 9.0 sec  1.07 MBytes  9.00 Mbits/sec   0.010 ms    0/  765 (0%)
[  3]  9.0-10.0 sec  1.07 MBytes  9.01 Mbits/sec   0.020 ms    0/  766 (0%)
[  3] 10.0-11.0 sec   837 KBytes  6.86 Mbits/sec   1.192 ms    0/  583 (0%)
[  3] 11.0-12.0 sec   586 KBytes  4.80 Mbits/sec   1.112 ms    0/  408 (0%)
[  3] 12.0-13.0 sec   593 KBytes  4.86 Mbits/sec   1.114 ms    0/  413 (0%)
[  3] 13.0-14.0 sec   764 KBytes  6.26 Mbits/sec   0.155 ms  201/  733 (27%)
[  3] 14.0-15.0 sec   785 KBytes  6.43 Mbits/sec   0.174 ms  218/  765 (28%)
[  3] 15.0-16.0 sec   791 KBytes  6.48 Mbits/sec   0.168 ms  214/  765 (28%)
[  3] 16.0-17.0 sec   780 KBytes  6.39 Mbits/sec   0.210 ms  223/  766 (29%)
[  3] 17.0-18.0 sec   778 KBytes  6.37 Mbits/sec   0.177 ms  219/  761 (29%)
[  3] 18.0-19.0 sec   818 KBytes  6.70 Mbits/sec   0.110 ms  201/  771 (26%)
[  3] 19.0-20.0 sec   782 KBytes  6.41 Mbits/sec   0.175 ms  221/  766 (29%)
[  3] 20.0-21.0 sec   781 KBytes  6.40 Mbits/sec   0.178 ms  222/  766 (29%)
[  3] 21.0-22.0 sec   784 KBytes  6.42 Mbits/sec   0.155 ms  219/  765 (29%)
[  3] 22.0-23.0 sec   784 KBytes  6.42 Mbits/sec   0.167 ms  220/  766 (29%)
[  3] 23.0-24.0 sec   782 KBytes  6.41 Mbits/sec   0.197 ms  215/  760 (28%)
[  3] 24.0-25.0 sec   843 KBytes  6.90 Mbits/sec   0.163 ms  183/  770 (24%)
