------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.1 port 5001 connected with 10.5.0.1 port 36121
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   612 KBytes  5.01 Mbits/sec   0.011 ms    7/  432 (1.6%)
[  3]  1.0- 2.0 sec   610 KBytes  5.00 Mbits/sec   0.008 ms    0/  425 (0%)
[  3]  2.0- 3.0 sec   610 KBytes  5.00 Mbits/sec   0.012 ms    0/  425 (0%)
[  3]  3.0- 4.0 sec   610 KBytes  5.00 Mbits/sec   0.009 ms    0/  425 (0%)
[  3]  4.0- 5.0 sec   612 KBytes  5.01 Mbits/sec   0.007 ms    0/  426 (0%)
[  3]  5.0- 6.0 sec   610 KBytes  5.00 Mbits/sec   0.036 ms    0/  425 (0%)
[  3]  6.0- 7.0 sec   610 KBytes  5.00 Mbits/sec   0.010 ms    0/  425 (0%)
[  3]  7.0- 8.0 sec   610 KBytes  5.00 Mbits/sec   0.006 ms    0/  425 (0%)
[  3]  8.0- 9.0 sec   610 KBytes  5.00 Mbits/sec   0.010 ms    0/  425 (0%)
[  3]  9.0-10.0 sec   610 KBytes  5.00 Mbits/sec   0.009 ms    0/  425 (0%)
[  3] 10.0-11.0 sec   612 KBytes  5.01 Mbits/sec   0.010 ms    0/  426 (0%)
[  3] 11.0-12.0 sec   610 KBytes  5.00 Mbits/sec   0.006 ms    0/  425 (0%)
[  3] 12.0-13.0 sec   593 KBytes  4.86 Mbits/sec   0.069 ms    0/  413 (0%)
[  3] 13.0-14.0 sec   594 KBytes  4.87 Mbits/sec   0.095 ms    0/  414 (0%)
[  3] 14.0-15.0 sec   593 KBytes  4.86 Mbits/sec   0.074 ms    0/  413 (0%)
[  3] 15.0-16.0 sec   593 KBytes  4.86 Mbits/sec   0.069 ms    0/  413 (0%)
[  3] 16.0-17.0 sec   589 KBytes  4.82 Mbits/sec   0.077 ms    0/  410 (0%)
[  3] 17.0-18.0 sec   594 KBytes  4.87 Mbits/sec   0.076 ms    0/  414 (0%)
[  3] 18.0-19.0 sec   600 KBytes  4.92 Mbits/sec   0.107 ms    0/  418 (0%)
[  3] 19.0-20.0 sec   601 KBytes  4.93 Mbits/sec   0.093 ms    0/  419 (0%)
[  3] 20.0-21.0 sec   601 KBytes  4.93 Mbits/sec   0.146 ms    0/  419 (0%)
[  3] 21.0-22.0 sec   601 KBytes  4.93 Mbits/sec   0.122 ms    0/  419 (0%)
[  3] 22.0-23.0 sec   603 KBytes  4.94 Mbits/sec   0.106 ms    0/  420 (0%)
[  3] 23.0-24.0 sec   599 KBytes  4.90 Mbits/sec   0.105 ms    0/  417 (0%)
[  3] 24.0-25.0 sec   601 KBytes  4.93 Mbits/sec   0.098 ms    0/  419 (0%)
[  3] 25.0-26.0 sec   603 KBytes  4.94 Mbits/sec   0.100 ms    0/  420 (0%)
[  3] 26.0-27.0 sec   601 KBytes  4.93 Mbits/sec   0.175 ms    0/  419 (0%)
[  3] 27.0-28.0 sec   601 KBytes  4.93 Mbits/sec   0.089 ms    0/  419 (0%)
[  3] 28.0-29.0 sec   601 KBytes  4.93 Mbits/sec   0.134 ms    0/  419 (0%)
[  3] 29.0-30.0 sec   600 KBytes  4.92 Mbits/sec   0.144 ms    0/  418 (0%)
[  3] 30.0-31.0 sec   601 KBytes  4.93 Mbits/sec   0.246 ms    0/  419 (0%)
[  3] 31.0-32.0 sec   601 KBytes  4.93 Mbits/sec   0.138 ms    0/  419 (0%)
[  3] 32.0-33.0 sec   601 KBytes  4.93 Mbits/sec   0.157 ms    0/  419 (0%)
[  3] 33.0-34.0 sec   601 KBytes  4.93 Mbits/sec   0.103 ms    0/  419 (0%)
[  3] 34.0-35.0 sec   603 KBytes  4.94 Mbits/sec   0.163 ms    0/  420 (0%)
[  3] 35.0-36.0 sec   599 KBytes  4.90 Mbits/sec   0.083 ms    0/  417 (0%)
[  3] 36.0-37.0 sec   603 KBytes  4.94 Mbits/sec   0.100 ms    0/  420 (0%)
[  3] 37.0-38.0 sec   601 KBytes  4.93 Mbits/sec   0.123 ms    0/  419 (0%)
[  3] 38.0-39.0 sec   601 KBytes  4.93 Mbits/sec   0.191 ms    0/  419 (0%)
[  3] 39.0-40.0 sec   601 KBytes  4.93 Mbits/sec   0.099 ms    0/  419 (0%)
[  3] 40.0-41.0 sec   597 KBytes  4.89 Mbits/sec   0.486 ms    0/  416 (0%)
[  3] 41.0-42.0 sec   604 KBytes  4.95 Mbits/sec   0.362 ms    0/  421 (0%)
[  3] 42.0-43.0 sec   601 KBytes  4.93 Mbits/sec   0.159 ms    0/  419 (0%)
[  3] 43.0-44.0 sec   603 KBytes  4.94 Mbits/sec   0.106 ms    0/  420 (0%)
[  3] 44.0-45.0 sec   601 KBytes  4.93 Mbits/sec   0.124 ms    0/  419 (0%)
[  3] 45.0-46.0 sec   601 KBytes  4.93 Mbits/sec   0.101 ms    0/  419 (0%)
[  3] 46.0-47.0 sec   600 KBytes  4.92 Mbits/sec   0.377 ms    0/  418 (0%)
[  3] 47.0-48.0 sec   603 KBytes  4.94 Mbits/sec   0.102 ms    0/  420 (0%)
[  3] 48.0-49.0 sec   601 KBytes  4.93 Mbits/sec   0.129 ms    0/  419 (0%)
[  3] 49.0-50.0 sec   601 KBytes  4.93 Mbits/sec   0.141 ms    0/  419 (0%)
[  3] 50.0-51.0 sec   603 KBytes  4.94 Mbits/sec   0.117 ms    0/  420 (0%)
[  3] 51.0-52.0 sec   601 KBytes  4.93 Mbits/sec   0.194 ms    0/  419 (0%)
[  3] 52.0-53.0 sec   603 KBytes  4.94 Mbits/sec   0.229 ms    0/  420 (0%)
[  3] 53.0-54.0 sec   601 KBytes  4.93 Mbits/sec   0.152 ms    0/  419 (0%)
[  3] 54.0-55.0 sec   597 KBytes  4.89 Mbits/sec   0.520 ms    0/  416 (0%)
[  3] 55.0-56.0 sec   604 KBytes  4.95 Mbits/sec   0.127 ms    0/  421 (0%)
[  3] 56.0-57.0 sec   601 KBytes  4.93 Mbits/sec   0.117 ms    0/  419 (0%)
[  3] 57.0-58.0 sec   603 KBytes  4.94 Mbits/sec   0.103 ms    0/  420 (0%)
[  3] 58.0-59.0 sec   597 KBytes  4.89 Mbits/sec   0.181 ms    0/  416 (0%)
[  3] 59.0-60.0 sec   603 KBytes  4.94 Mbits/sec   0.159 ms    0/  420 (0%)
[  3] 60.0-61.0 sec   597 KBytes  4.89 Mbits/sec   0.114 ms    0/  416 (0%)
[  3] 61.0-62.0 sec   593 KBytes  4.86 Mbits/sec   0.106 ms    0/  413 (0%)
[  3] 62.0-63.0 sec   590 KBytes  4.83 Mbits/sec   0.116 ms    0/  411 (0%)
[  3] 63.0-64.0 sec   599 KBytes  4.90 Mbits/sec   0.213 ms    0/  417 (0%)
[  3] 64.0-65.0 sec   594 KBytes  4.87 Mbits/sec   0.204 ms    0/  414 (0%)
[  3] 65.0-66.0 sec   594 KBytes  4.87 Mbits/sec   0.076 ms    0/  414 (0%)
[  3] 66.0-67.0 sec   596 KBytes  4.88 Mbits/sec   0.233 ms    0/  415 (0%)
[  3] 67.0-68.0 sec   589 KBytes  4.82 Mbits/sec   0.120 ms    0/  410 (0%)
[  3] 68.0-69.0 sec   597 KBytes  4.89 Mbits/sec   0.098 ms    0/  416 (0%)
[  3] 69.0-70.0 sec   596 KBytes  4.88 Mbits/sec   0.087 ms    0/  415 (0%)
[  3] 70.0-71.0 sec   596 KBytes  4.88 Mbits/sec   0.120 ms    0/  415 (0%)
[  3] 71.0-72.0 sec   590 KBytes  4.83 Mbits/sec   0.238 ms    0/  411 (0%)
[  3] 72.0-73.0 sec   597 KBytes  4.89 Mbits/sec   0.150 ms    0/  416 (0%)
[  3] 73.0-74.0 sec   594 KBytes  4.87 Mbits/sec   0.077 ms    0/  414 (0%)
[  3] 74.0-75.0 sec   596 KBytes  4.88 Mbits/sec   0.076 ms    0/  415 (0%)
[  3] 75.0-76.0 sec   596 KBytes  4.88 Mbits/sec   0.115 ms    0/  415 (0%)
[  3] 76.0-77.0 sec   579 KBytes  4.74 Mbits/sec   0.177 ms   15/  418 (3.6%)
[  3] 77.0-78.0 sec   581 KBytes  4.76 Mbits/sec   0.150 ms   24/  429 (5.6%)
[  3] 78.0-79.0 sec   581 KBytes  4.76 Mbits/sec   0.264 ms   20/  425 (4.7%)
[  3] 79.0-80.0 sec   589 KBytes  4.82 Mbits/sec   0.181 ms   16/  426 (3.8%)
[  3] 80.0-81.0 sec   587 KBytes  4.81 Mbits/sec   0.187 ms   15/  424 (3.5%)
[  3] 81.0-82.0 sec   584 KBytes  4.79 Mbits/sec   0.152 ms   19/  426 (4.5%)
[  3] 82.0-83.0 sec   593 KBytes  4.86 Mbits/sec   0.131 ms   12/  425 (2.8%)
[  3] 83.0-84.0 sec   580 KBytes  4.75 Mbits/sec   0.354 ms   18/  422 (4.3%)
[  3] 84.0-85.0 sec   583 KBytes  4.77 Mbits/sec   0.201 ms   23/  429 (5.4%)
[  3] 85.0-86.0 sec   599 KBytes  4.90 Mbits/sec   0.114 ms    8/  425 (1.9%)
[  3] 86.0-87.0 sec   580 KBytes  4.75 Mbits/sec   0.132 ms   20/  424 (4.7%)
[  3] 87.0-88.0 sec   590 KBytes  4.83 Mbits/sec   0.227 ms   15/  426 (3.5%)
[  3] 88.0-89.0 sec   580 KBytes  4.75 Mbits/sec   0.183 ms   22/  426 (5.2%)
[  3] 89.0-90.0 sec   579 KBytes  4.74 Mbits/sec   0.187 ms   18/  421 (4.3%)
[  3] 90.0-91.0 sec   593 KBytes  4.86 Mbits/sec   0.136 ms   15/  428 (3.5%)
[  3] 91.0-92.0 sec   590 KBytes  4.83 Mbits/sec   0.151 ms   15/  426 (3.5%)
[  3] 92.0-93.0 sec   587 KBytes  4.81 Mbits/sec   0.188 ms   16/  425 (3.8%)
[  3] 93.0-94.0 sec   584 KBytes  4.79 Mbits/sec   0.171 ms   18/  425 (4.2%)
[  3] 94.0-95.0 sec   583 KBytes  4.77 Mbits/sec   0.239 ms   19/  425 (4.5%)
[  3] 95.0-96.0 sec   583 KBytes  4.77 Mbits/sec   0.194 ms   16/  422 (3.8%)
[  3] 96.0-97.0 sec   581 KBytes  4.76 Mbits/sec   0.138 ms   23/  428 (5.4%)
[  3] 97.0-98.0 sec   583 KBytes  4.77 Mbits/sec   0.202 ms   20/  426 (4.7%)
[  3] 98.0-99.0 sec   583 KBytes  4.77 Mbits/sec   0.221 ms   18/  424 (4.2%)
[  3] 99.0-100.0 sec   584 KBytes  4.79 Mbits/sec   0.234 ms   19/  426 (4.5%)
[  3] 100.0-101.0 sec   583 KBytes  4.77 Mbits/sec   0.315 ms   16/  422 (3.8%)
[  3] 101.0-102.0 sec   583 KBytes  4.77 Mbits/sec   0.167 ms   19/  425 (4.5%)
[  3] 102.0-103.0 sec   576 KBytes  4.72 Mbits/sec   0.170 ms   26/  427 (6.1%)
[  3] 103.0-104.0 sec   589 KBytes  4.82 Mbits/sec   0.105 ms   16/  426 (3.8%)
[  3] 104.0-105.0 sec   583 KBytes  4.77 Mbits/sec   0.172 ms   20/  426 (4.7%)
[  3] 105.0-106.0 sec   577 KBytes  4.73 Mbits/sec   0.236 ms   23/  425 (5.4%)
[  3]  0.0-106.3 sec  61.9 MBytes  4.88 Mbits/sec   0.366 ms  558/44705 (1.2%)
