------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.2 port 5001 connected with 10.4.0.2 port 53520
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.951 ms   15/  429 (3.5%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.945 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.950 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   382 KBytes  3.13 Mbits/sec   0.221 ms  390/  656 (59%)
[  3]  4.0- 5.0 sec   363 KBytes  2.98 Mbits/sec   0.259 ms  425/  678 (63%)
[  3]  5.0- 6.0 sec   362 KBytes  2.96 Mbits/sec   0.537 ms  420/  672 (62%)
[  3]  6.0- 7.0 sec   357 KBytes  2.93 Mbits/sec   0.223 ms  443/  692 (64%)
[  3]  7.0- 8.0 sec   365 KBytes  2.99 Mbits/sec   0.218 ms  428/  682 (63%)
[  3]  8.0- 9.0 sec   353 KBytes  2.89 Mbits/sec   0.229 ms  433/  679 (64%)
[  3]  9.0-10.0 sec   365 KBytes  2.99 Mbits/sec   0.451 ms  421/  675 (62%)
[  3] 10.0-11.0 sec   363 KBytes  2.98 Mbits/sec   0.230 ms  428/  681 (63%)
[  3] 11.0-12.0 sec   345 KBytes  2.82 Mbits/sec   0.240 ms  446/  686 (65%)
[  3] 12.0-13.0 sec   366 KBytes  3.00 Mbits/sec   0.208 ms  423/  678 (62%)
[  3] 13.0-14.0 sec   378 KBytes  3.09 Mbits/sec   0.242 ms  415/  678 (61%)
[  3] 14.0-15.0 sec   353 KBytes  2.89 Mbits/sec   0.275 ms  436/  682 (64%)
[  3] 15.0-16.0 sec   378 KBytes  3.09 Mbits/sec   0.220 ms  420/  683 (61%)
[  3] 16.0-17.0 sec   369 KBytes  3.02 Mbits/sec   0.221 ms  421/  678 (62%)
[  3] 17.0-18.0 sec   373 KBytes  3.06 Mbits/sec   0.265 ms  423/  683 (62%)
[  3] 18.0-19.0 sec   372 KBytes  3.05 Mbits/sec   0.264 ms  419/  678 (62%)
[  3] 19.0-20.0 sec   362 KBytes  2.96 Mbits/sec   0.204 ms  430/  682 (63%)
[  3] 20.0-21.0 sec   370 KBytes  3.03 Mbits/sec   0.246 ms  421/  679 (62%)
[  3] 21.0-22.0 sec   366 KBytes  3.00 Mbits/sec   0.234 ms  419/  674 (62%)
[  3] 22.0-23.0 sec   370 KBytes  3.03 Mbits/sec   0.235 ms  430/  688 (62%)
[  3] 23.0-24.0 sec   372 KBytes  3.05 Mbits/sec   0.245 ms  419/  678 (62%)
[  3] 24.0-25.0 sec   376 KBytes  3.08 Mbits/sec   0.301 ms  421/  683 (62%)
[  3] 25.0-26.0 sec   365 KBytes  2.99 Mbits/sec   0.232 ms  420/  674 (62%)
[  3] 26.0-27.0 sec   398 KBytes  3.26 Mbits/sec   0.240 ms  408/  685 (60%)
[  3] 27.0-28.0 sec   373 KBytes  3.06 Mbits/sec   0.208 ms  418/  678 (62%)
[  3] 28.0-29.0 sec   372 KBytes  3.05 Mbits/sec   0.239 ms  424/  683 (62%)
[  3] 29.0-30.0 sec   376 KBytes  3.08 Mbits/sec   0.205 ms  420/  682 (62%)
[  3] 30.0-31.0 sec   356 KBytes  2.92 Mbits/sec   0.223 ms  422/  670 (63%)
[  3] 31.0-32.0 sec   349 KBytes  2.86 Mbits/sec   0.215 ms  444/  687 (65%)
[  3] 32.0-33.0 sec   370 KBytes  3.03 Mbits/sec   0.272 ms  425/  683 (62%)
[  3] 33.0-34.0 sec   365 KBytes  2.99 Mbits/sec   0.207 ms  423/  677 (62%)
[  3] 34.0-35.0 sec   366 KBytes  3.00 Mbits/sec   0.543 ms  419/  674 (62%)
[  3] 35.0-36.0 sec   382 KBytes  3.13 Mbits/sec   0.210 ms  417/  683 (61%)
[  3] 36.0-37.0 sec   368 KBytes  3.01 Mbits/sec   0.237 ms  427/  683 (63%)
[  3] 37.0-38.0 sec   388 KBytes  3.18 Mbits/sec   0.227 ms  413/  683 (60%)
