------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.6.0.1 port 40668
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   734 KBytes  6.01 Mbits/sec   0.009 ms   12/  522 (2.3%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.007 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.007 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   734 KBytes  6.01 Mbits/sec   0.007 ms    0/  511 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.012 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.012 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   593 KBytes  4.86 Mbits/sec   0.460 ms    0/  413 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.459 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.458 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   589 KBytes  4.82 Mbits/sec   0.463 ms    0/  410 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.460 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   594 KBytes  4.87 Mbits/sec   0.532 ms    0/  414 (0%)
[  3] 12.0-13.0 sec   502 KBytes  4.12 Mbits/sec   0.436 ms  126/  476 (26%)
[  3] 13.0-14.0 sec   461 KBytes  3.77 Mbits/sec   0.409 ms  190/  511 (37%)
[  3] 14.0-15.0 sec   461 KBytes  3.77 Mbits/sec   0.345 ms  189/  510 (37%)
[  3] 15.0-16.0 sec   467 KBytes  3.82 Mbits/sec   0.356 ms  186/  511 (36%)
[  3] 16.0-17.0 sec   459 KBytes  3.76 Mbits/sec   0.354 ms  189/  509 (37%)
[  3] 17.0-18.0 sec   461 KBytes  3.77 Mbits/sec   0.384 ms  190/  511 (37%)
[  3] 18.0-19.0 sec   451 KBytes  3.69 Mbits/sec   0.472 ms  192/  506 (38%)
[  3] 19.0-20.0 sec   457 KBytes  3.74 Mbits/sec   0.360 ms  193/  511 (38%)
[  3] 20.0-21.0 sec   458 KBytes  3.75 Mbits/sec   0.342 ms  195/  514 (38%)
[  3] 21.0-22.0 sec   459 KBytes  3.76 Mbits/sec   0.337 ms  189/  509 (37%)
[  3] 22.0-23.0 sec   455 KBytes  3.73 Mbits/sec   0.370 ms  194/  511 (38%)
[  3] 23.0-24.0 sec   465 KBytes  3.81 Mbits/sec   0.359 ms  187/  511 (37%)
[  3] 24.0-25.0 sec   459 KBytes  3.76 Mbits/sec   0.343 ms  190/  510 (37%)
[  3] 25.0-26.0 sec   451 KBytes  3.69 Mbits/sec   0.396 ms  192/  506 (38%)
[  3] 26.0-27.0 sec   452 KBytes  3.70 Mbits/sec   0.378 ms  199/  514 (39%)
[  3] 27.0-28.0 sec   458 KBytes  3.75 Mbits/sec   0.388 ms  192/  511 (38%)
[  3] 28.0-29.0 sec   457 KBytes  3.74 Mbits/sec   0.354 ms  192/  510 (38%)
[  3] 29.0-30.0 sec   455 KBytes  3.73 Mbits/sec   0.416 ms  192/  509 (38%)
[  3] 30.0-31.0 sec   458 KBytes  3.75 Mbits/sec   0.536 ms  192/  511 (38%)
[  3] 31.0-32.0 sec   462 KBytes  3.79 Mbits/sec   0.380 ms  184/  506 (36%)
[  3] 32.0-33.0 sec   459 KBytes  3.76 Mbits/sec   0.500 ms  194/  514 (38%)
[  3] 33.0-34.0 sec   461 KBytes  3.77 Mbits/sec   0.357 ms  190/  511 (37%)
[  3] 34.0-35.0 sec   457 KBytes  3.74 Mbits/sec   0.428 ms  192/  510 (38%)
[  3] 35.0-36.0 sec   457 KBytes  3.74 Mbits/sec   0.454 ms  193/  511 (38%)
[  3] 36.0-37.0 sec   459 KBytes  3.76 Mbits/sec   0.463 ms  189/  509 (37%)
[  3] 37.0-38.0 sec   455 KBytes  3.73 Mbits/sec   0.493 ms  189/  506 (37%)
[  3] 38.0-39.0 sec   458 KBytes  3.75 Mbits/sec   0.414 ms  196/  515 (38%)
[  3] 39.0-40.0 sec   455 KBytes  3.73 Mbits/sec   0.393 ms  192/  509 (38%)
[  3] 40.0-41.0 sec   457 KBytes  3.74 Mbits/sec   0.379 ms  193/  511 (38%)
[  3] 41.0-42.0 sec   457 KBytes  3.74 Mbits/sec   0.348 ms  191/  509 (38%)
[  3] 42.0-43.0 sec   458 KBytes  3.75 Mbits/sec   0.371 ms  192/  511 (38%)
[  3] 43.0-44.0 sec   457 KBytes  3.74 Mbits/sec   0.351 ms  190/  508 (37%)
[  3] 44.0-45.0 sec   455 KBytes  3.73 Mbits/sec   0.464 ms  195/  512 (38%)
[  3] 45.0-46.0 sec   457 KBytes  3.74 Mbits/sec   0.382 ms  192/  510 (38%)
[  3] 46.0-47.0 sec   457 KBytes  3.74 Mbits/sec   0.346 ms  193/  511 (38%)
[  3] 47.0-48.0 sec   455 KBytes  3.73 Mbits/sec   0.316 ms  194/  511 (38%)
[  3] 48.0-49.0 sec   454 KBytes  3.72 Mbits/sec   0.400 ms  190/  506 (38%)
[  3] 49.0-50.0 sec   448 KBytes  3.67 Mbits/sec   0.738 ms  202/  514 (39%)
[  3] 50.0-51.0 sec   458 KBytes  3.75 Mbits/sec   0.485 ms  191/  510 (37%)
[  3] 51.0-52.0 sec   462 KBytes  3.79 Mbits/sec   0.369 ms  188/  510 (37%)
[  3] 52.0-53.0 sec   462 KBytes  3.79 Mbits/sec   0.403 ms  189/  511 (37%)
