------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.2 port 5001 connected with 10.6.0.1 port 48475
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   854 KBytes  7.00 Mbits/sec   0.026 ms   10/  605 (1.7%)
[  3]  1.0- 2.0 sec   856 KBytes  7.01 Mbits/sec   0.014 ms    0/  596 (0%)
[  3]  2.0- 3.0 sec   854 KBytes  7.00 Mbits/sec   0.010 ms    0/  595 (0%)
[  3]  3.0- 4.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.014 ms    0/  595 (0%)
[  3]  5.0- 6.0 sec   856 KBytes  7.01 Mbits/sec   0.061 ms    0/  596 (0%)
[  3]  6.0- 7.0 sec   838 KBytes  6.87 Mbits/sec   0.769 ms    0/  584 (0%)
[  3]  7.0- 8.0 sec   581 KBytes  4.76 Mbits/sec   0.798 ms    0/  405 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.738 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.736 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   632 KBytes  5.17 Mbits/sec   0.676 ms    1/  441 (0.23%)
[  3] 11.0-12.0 sec   847 KBytes  6.94 Mbits/sec   0.573 ms    6/  596 (1%)
[  3] 12.0-13.0 sec   844 KBytes  6.91 Mbits/sec   0.576 ms    7/  595 (1.2%)
[  3] 13.0-14.0 sec   848 KBytes  6.95 Mbits/sec   0.585 ms    4/  595 (0.67%)
[  3] 14.0-15.0 sec   840 KBytes  6.88 Mbits/sec   0.540 ms    6/  591 (1%)
[  3] 15.0-16.0 sec   854 KBytes  7.00 Mbits/sec   0.604 ms    5/  600 (0.83%)
[  3] 16.0-17.0 sec   851 KBytes  6.97 Mbits/sec   0.530 ms    2/  595 (0.34%)
[  3] 17.0-18.0 sec   844 KBytes  6.91 Mbits/sec   0.593 ms    7/  595 (1.2%)
[  3] 18.0-19.0 sec   850 KBytes  6.96 Mbits/sec   0.600 ms    3/  595 (0.5%)
[  3] 19.0-20.0 sec   848 KBytes  6.95 Mbits/sec   0.618 ms    5/  596 (0.84%)
[  3] 20.0-21.0 sec   838 KBytes  6.87 Mbits/sec   0.529 ms    6/  590 (1%)
[  3] 21.0-22.0 sec   853 KBytes  6.99 Mbits/sec   0.614 ms    6/  600 (1%)
[  3] 22.0-23.0 sec   843 KBytes  6.90 Mbits/sec   0.574 ms    8/  595 (1.3%)
[  3] 23.0-24.0 sec   846 KBytes  6.93 Mbits/sec   0.552 ms   10/  599 (1.7%)
[  3] 24.0-25.0 sec   837 KBytes  6.86 Mbits/sec   0.780 ms   13/  596 (2.2%)
[  3] 25.0-26.0 sec   833 KBytes  6.82 Mbits/sec   0.539 ms   13/  593 (2.2%)
[  3] 26.0-27.0 sec   833 KBytes  6.82 Mbits/sec   0.712 ms    9/  589 (1.5%)
[  3] 27.0-28.0 sec   847 KBytes  6.94 Mbits/sec   0.573 ms   14/  604 (2.3%)
[  3] 28.0-29.0 sec   837 KBytes  6.86 Mbits/sec   0.600 ms   11/  594 (1.9%)
[  3] 29.0-30.0 sec   844 KBytes  6.91 Mbits/sec   0.574 ms    7/  595 (1.2%)
[  3] 30.0-31.0 sec   843 KBytes  6.90 Mbits/sec   0.596 ms    7/  594 (1.2%)
[  3] 31.0-32.0 sec   838 KBytes  6.87 Mbits/sec   0.630 ms   16/  600 (2.7%)
[  3] 32.0-33.0 sec   846 KBytes  6.93 Mbits/sec   0.593 ms    6/  595 (1%)
[  3] 33.0-34.0 sec   837 KBytes  6.86 Mbits/sec   0.703 ms    7/  590 (1.2%)
