------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.2 port 5001 connected with 10.5.0.1 port 54821
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   978 KBytes  8.01 Mbits/sec   0.015 ms   19/  699 (2.7%)
[  3]  1.0- 2.0 sec   978 KBytes  8.01 Mbits/sec   0.008 ms    0/  681 (0%)
[  3]  2.0- 3.0 sec   976 KBytes  8.00 Mbits/sec   0.014 ms    0/  680 (0%)
[  3]  3.0- 4.0 sec   976 KBytes  8.00 Mbits/sec   0.010 ms    0/  680 (0%)
[  3]  4.0- 5.0 sec   973 KBytes  7.97 Mbits/sec   0.294 ms    0/  678 (0%)
[  3]  5.0- 6.0 sec   980 KBytes  8.03 Mbits/sec   0.021 ms    0/  683 (0%)
[  3]  6.0- 7.0 sec   601 KBytes  4.93 Mbits/sec   0.952 ms    0/  419 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.952 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   594 KBytes  4.87 Mbits/sec   0.950 ms    0/  414 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.322 ms  239/  652 (37%)
[  3] 10.0-11.0 sec   587 KBytes  4.81 Mbits/sec   0.334 ms  268/  677 (40%)
[  3] 11.0-12.0 sec   616 KBytes  5.05 Mbits/sec   0.369 ms  255/  684 (37%)
[  3] 12.0-13.0 sec   603 KBytes  4.94 Mbits/sec   0.306 ms  259/  679 (38%)
[  3] 13.0-14.0 sec   599 KBytes  4.90 Mbits/sec   0.327 ms  264/  681 (39%)
[  3] 14.0-15.0 sec   600 KBytes  4.92 Mbits/sec   0.310 ms  262/  680 (39%)
[  3] 15.0-16.0 sec   589 KBytes  4.82 Mbits/sec   0.340 ms  266/  676 (39%)
[  3] 16.0-17.0 sec   574 KBytes  4.70 Mbits/sec   0.342 ms  285/  685 (42%)
[  3] 17.0-18.0 sec   596 KBytes  4.88 Mbits/sec   0.324 ms  265/  680 (39%)
[  3] 18.0-19.0 sec   600 KBytes  4.92 Mbits/sec   0.356 ms  260/  678 (38%)
[  3] 19.0-20.0 sec   599 KBytes  4.90 Mbits/sec   0.321 ms  266/  683 (39%)
[  3] 20.0-21.0 sec   609 KBytes  4.99 Mbits/sec   0.299 ms  254/  678 (37%)
[  3] 21.0-22.0 sec   596 KBytes  4.88 Mbits/sec   0.327 ms  267/  682 (39%)
[  3] 22.0-23.0 sec   590 KBytes  4.83 Mbits/sec   0.342 ms  263/  674 (39%)
[  3] 23.0-24.0 sec   596 KBytes  4.88 Mbits/sec   0.758 ms  256/  671 (38%)
[  3] 24.0-25.0 sec   581 KBytes  4.76 Mbits/sec   0.334 ms  291/  696 (42%)
