------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.6.0.1 port 56455
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1.08 MBytes  9.03 Mbits/sec   0.007 ms    9/  777 (1.2%)
[  3]  1.0- 2.0 sec  1.07 MBytes  9.00 Mbits/sec   0.006 ms    0/  765 (0%)
[  3]  2.0- 3.0 sec  1.07 MBytes  9.01 Mbits/sec   0.011 ms    0/  766 (0%)
[  3]  3.0- 4.0 sec  1.07 MBytes  9.01 Mbits/sec   0.006 ms    0/  766 (0%)
[  3]  4.0- 5.0 sec  1.07 MBytes  9.00 Mbits/sec   0.035 ms    0/  765 (0%)
[  3]  5.0- 6.0 sec  1.07 MBytes  9.01 Mbits/sec   0.011 ms    0/  766 (0%)
[  3]  6.0- 7.0 sec   601 KBytes  4.93 Mbits/sec   1.114 ms    0/  419 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   1.115 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   498 KBytes  4.08 Mbits/sec   0.249 ms  180/  527 (34%)
[  3]  9.0-10.0 sec   345 KBytes  2.82 Mbits/sec   0.177 ms  526/  766 (69%)
[  3] 10.0-11.0 sec   418 KBytes  3.42 Mbits/sec   0.128 ms  478/  769 (62%)
[  3] 11.0-12.0 sec   323 KBytes  2.65 Mbits/sec   0.167 ms  540/  765 (71%)
[  3] 12.0-13.0 sec   333 KBytes  2.73 Mbits/sec   0.179 ms  543/  775 (70%)
[  3] 13.0-14.0 sec   340 KBytes  2.79 Mbits/sec   0.172 ms  519/  756 (69%)
[  3] 14.0-15.0 sec   342 KBytes  2.80 Mbits/sec   0.189 ms  527/  765 (69%)
[  3] 15.0-16.0 sec   339 KBytes  2.78 Mbits/sec   0.166 ms  530/  766 (69%)
[  3] 16.0-17.0 sec   319 KBytes  2.61 Mbits/sec   0.159 ms  546/  768 (71%)
[  3] 17.0-18.0 sec   330 KBytes  2.70 Mbits/sec   0.137 ms  535/  765 (70%)
[  3] 18.0-19.0 sec   332 KBytes  2.72 Mbits/sec   0.175 ms  535/  766 (70%)
[  3] 19.0-20.0 sec   327 KBytes  2.68 Mbits/sec   0.158 ms  537/  765 (70%)
[  3] 20.0-21.0 sec   345 KBytes  2.82 Mbits/sec   0.150 ms  526/  766 (69%)
[  3] 21.0-22.0 sec   319 KBytes  2.61 Mbits/sec   0.186 ms  544/  766 (71%)
[  3] 22.0-23.0 sec   347 KBytes  2.85 Mbits/sec   0.198 ms  524/  766 (68%)
[  3] 23.0-24.0 sec   369 KBytes  3.02 Mbits/sec   0.233 ms  508/  765 (66%)
[  3] 24.0-25.0 sec   378 KBytes  3.09 Mbits/sec   0.296 ms  512/  775 (66%)
[  3] 25.0-26.0 sec   373 KBytes  3.06 Mbits/sec   0.553 ms  496/  756 (66%)
[  3] 26.0-27.0 sec   375 KBytes  3.07 Mbits/sec   0.161 ms  505/  766 (66%)
[  3] 27.0-28.0 sec   319 KBytes  2.61 Mbits/sec   0.205 ms  549/  771 (71%)
[  3] 28.0-29.0 sec   347 KBytes  2.85 Mbits/sec   0.181 ms  524/  766 (68%)
[  3] 29.0-30.0 sec   327 KBytes  2.68 Mbits/sec   0.161 ms  537/  765 (70%)
[  3] 30.0-31.0 sec   350 KBytes  2.87 Mbits/sec   0.139 ms  522/  766 (68%)
[  3] 31.0-32.0 sec   334 KBytes  2.74 Mbits/sec   0.195 ms  533/  766 (70%)
[  3] 32.0-33.0 sec   347 KBytes  2.85 Mbits/sec   0.234 ms  522/  764 (68%)
[  3] 33.0-34.0 sec   379 KBytes  3.10 Mbits/sec   0.250 ms  501/  765 (65%)
[  3] 34.0-35.0 sec   346 KBytes  2.83 Mbits/sec   0.170 ms  526/  767 (69%)
[  3] 35.0-36.0 sec   329 KBytes  2.69 Mbits/sec   0.226 ms  537/  766 (70%)
[  3] 36.0-37.0 sec   327 KBytes  2.68 Mbits/sec   0.160 ms  537/  765 (70%)
[  3] 37.0-38.0 sec   349 KBytes  2.86 Mbits/sec   0.159 ms  522/  765 (68%)
[  3] 38.0-39.0 sec   323 KBytes  2.65 Mbits/sec   0.146 ms  540/  765 (71%)
[  3] 39.0-40.0 sec   297 KBytes  2.43 Mbits/sec   0.265 ms  557/  764 (73%)
[  3] 40.0-41.0 sec   375 KBytes  3.07 Mbits/sec   0.191 ms  504/  765 (66%)
[  3] 41.0-42.0 sec   345 KBytes  2.82 Mbits/sec   0.141 ms  535/  775 (69%)
[  3] 42.0-43.0 sec   334 KBytes  2.74 Mbits/sec   0.190 ms  523/  756 (69%)
[  3] 43.0-44.0 sec   289 KBytes  2.36 Mbits/sec   0.165 ms  572/  773 (74%)
[  3] 44.0-45.0 sec   347 KBytes  2.85 Mbits/sec   0.165 ms  523/  765 (68%)
[  3] 45.0-46.0 sec   337 KBytes  2.76 Mbits/sec   0.157 ms  531/  766 (69%)
[  3] 46.0-47.0 sec   327 KBytes  2.68 Mbits/sec   0.155 ms  534/  762 (70%)
[  3] 47.0-48.0 sec   296 KBytes  2.42 Mbits/sec   0.586 ms  563/  769 (73%)
[  3] 48.0-49.0 sec   332 KBytes  2.72 Mbits/sec   0.183 ms  535/  766 (70%)
[  3] 49.0-50.0 sec   337 KBytes  2.76 Mbits/sec   0.124 ms  530/  765 (69%)
[  3] 50.0-51.0 sec   333 KBytes  2.73 Mbits/sec   0.193 ms  535/  767 (70%)
[  3] 51.0-52.0 sec   333 KBytes  2.73 Mbits/sec   0.165 ms  520/  752 (69%)
[  3] 52.0-53.0 sec   299 KBytes  2.45 Mbits/sec   0.188 ms  571/  779 (73%)
[  3] 53.0-54.0 sec   349 KBytes  2.86 Mbits/sec   0.174 ms  522/  765 (68%)
[  3] 54.0-55.0 sec   346 KBytes  2.83 Mbits/sec   0.138 ms  525/  766 (69%)
[  3] 55.0-56.0 sec   332 KBytes  2.72 Mbits/sec   0.176 ms  534/  765 (70%)
[  3] 56.0-57.0 sec   334 KBytes  2.74 Mbits/sec   0.146 ms  533/  766 (70%)
[  3] 57.0-58.0 sec   334 KBytes  2.74 Mbits/sec   0.137 ms  532/  765 (70%)
[  3] 58.0-59.0 sec   330 KBytes  2.70 Mbits/sec   0.135 ms  536/  766 (70%)
[  3] 59.0-60.0 sec   329 KBytes  2.69 Mbits/sec   0.211 ms  536/  765 (70%)
[  3] 60.0-61.0 sec   333 KBytes  2.73 Mbits/sec   0.157 ms  533/  765 (70%)
[  3] 61.0-62.0 sec   337 KBytes  2.76 Mbits/sec   0.332 ms  531/  766 (69%)
[  3] 62.0-63.0 sec   342 KBytes  2.80 Mbits/sec   0.131 ms  528/  766 (69%)
[  3] 63.0-64.0 sec   345 KBytes  2.82 Mbits/sec   0.203 ms  525/  765 (69%)
[  3] 64.0-65.0 sec   360 KBytes  2.95 Mbits/sec   0.192 ms  515/  766 (67%)
[  3] 65.0-66.0 sec   339 KBytes  2.78 Mbits/sec   0.189 ms  529/  765 (69%)
[  3] 66.0-67.0 sec   337 KBytes  2.76 Mbits/sec   0.207 ms  531/  766 (69%)
[  3] 67.0-68.0 sec   337 KBytes  2.76 Mbits/sec   0.140 ms  531/  766 (69%)
[  3] 68.0-69.0 sec   326 KBytes  2.67 Mbits/sec   0.289 ms  536/  763 (70%)
[  3] 69.0-70.0 sec   317 KBytes  2.60 Mbits/sec   0.158 ms  546/  767 (71%)
[  3] 70.0-71.0 sec   327 KBytes  2.68 Mbits/sec   0.143 ms  536/  764 (70%)
[  3] 71.0-72.0 sec   330 KBytes  2.70 Mbits/sec   0.152 ms  535/  765 (70%)
[  3] 72.0-73.0 sec   343 KBytes  2.81 Mbits/sec   0.166 ms  526/  765 (69%)
[  3] 73.0-74.0 sec   347 KBytes  2.85 Mbits/sec   0.194 ms  524/  766 (68%)
[  3] 74.0-75.0 sec   345 KBytes  2.82 Mbits/sec   0.181 ms  525/  765 (69%)
[  3] 75.0-76.0 sec   345 KBytes  2.82 Mbits/sec   0.148 ms  526/  766 (69%)
[  3] 76.0-77.0 sec   334 KBytes  2.74 Mbits/sec   0.171 ms  541/  774 (70%)
[  3] 77.0-78.0 sec   339 KBytes  2.78 Mbits/sec   0.194 ms  530/  766 (69%)
[  3] 78.0-79.0 sec   336 KBytes  2.75 Mbits/sec   0.238 ms  532/  766 (69%)
[  3] 79.0-80.0 sec   334 KBytes  2.74 Mbits/sec   0.174 ms  532/  765 (70%)
[  3] 80.0-81.0 sec   345 KBytes  2.82 Mbits/sec   0.172 ms  516/  756 (68%)
[  3] 81.0-82.0 sec   319 KBytes  2.61 Mbits/sec   0.179 ms  555/  777 (71%)
[  3] 82.0-83.0 sec   343 KBytes  2.81 Mbits/sec   0.160 ms  526/  765 (69%)
[  3] 83.0-84.0 sec   323 KBytes  2.65 Mbits/sec   0.191 ms  540/  765 (71%)
[  3] 84.0-85.0 sec   339 KBytes  2.78 Mbits/sec   0.185 ms  530/  766 (69%)
[  3] 85.0-86.0 sec   342 KBytes  2.80 Mbits/sec   0.362 ms  516/  754 (68%)
[  3] 86.0-87.0 sec   342 KBytes  2.80 Mbits/sec   0.251 ms  528/  766 (69%)
