------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.2 port 5001 connected with 10.3.0.1 port 51346
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    8/  774 (1%)
[  3]  1.0- 2.0 sec  1.07 MBytes  9.01 Mbits/sec   0.054 ms    0/  766 (0%)
[  3]  2.0- 3.0 sec  1.07 MBytes  9.00 Mbits/sec   0.009 ms    0/  765 (0%)
[  3]  3.0- 4.0 sec  1.07 MBytes  9.01 Mbits/sec   0.007 ms    0/  766 (0%)
[  3]  4.0- 5.0 sec  1.07 MBytes  9.01 Mbits/sec   0.012 ms    0/  766 (0%)
[  3]  5.0- 6.0 sec  1.07 MBytes  8.98 Mbits/sec   0.090 ms    0/  764 (0%)
[  3]  6.0- 7.0 sec   604 KBytes  4.95 Mbits/sec   1.112 ms    0/  421 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   1.116 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   600 KBytes  4.92 Mbits/sec   0.177 ms  120/  538 (22%)
[  3]  9.0-10.0 sec   589 KBytes  4.82 Mbits/sec   0.194 ms  345/  755 (46%)
[  3] 10.0-11.0 sec   673 KBytes  5.52 Mbits/sec   0.149 ms  307/  776 (40%)
[  3] 11.0-12.0 sec   589 KBytes  4.82 Mbits/sec   0.164 ms  356/  766 (46%)
[  3] 12.0-13.0 sec   607 KBytes  4.97 Mbits/sec   0.195 ms  342/  765 (45%)
[  3] 13.0-14.0 sec   603 KBytes  4.94 Mbits/sec   0.164 ms  346/  766 (45%)
[  3] 14.0-15.0 sec   583 KBytes  4.77 Mbits/sec   0.180 ms  349/  755 (46%)
[  3] 15.0-16.0 sec   560 KBytes  4.59 Mbits/sec   0.192 ms  383/  773 (50%)
[  3] 16.0-17.0 sec   627 KBytes  5.14 Mbits/sec   0.229 ms  329/  766 (43%)
[  3] 17.0-18.0 sec   617 KBytes  5.06 Mbits/sec   0.202 ms  335/  765 (44%)
[  3] 18.0-19.0 sec   612 KBytes  5.01 Mbits/sec   0.203 ms  340/  766 (44%)
[  3] 19.0-20.0 sec   597 KBytes  4.89 Mbits/sec   0.206 ms  349/  765 (46%)
[  3] 20.0-21.0 sec   606 KBytes  4.96 Mbits/sec   0.151 ms  344/  766 (45%)
[  3] 21.0-22.0 sec   607 KBytes  4.97 Mbits/sec   0.226 ms  341/  764 (45%)
[  3] 22.0-23.0 sec   609 KBytes  4.99 Mbits/sec   0.175 ms  341/  765 (45%)
[  3] 23.0-24.0 sec   548 KBytes  4.49 Mbits/sec   0.185 ms  391/  773 (51%)
[  3] 24.0-25.0 sec   622 KBytes  5.09 Mbits/sec   0.175 ms  327/  760 (43%)
[  3] 25.0-26.0 sec   612 KBytes  5.01 Mbits/sec   0.210 ms  338/  764 (44%)
[  3] 26.0-27.0 sec   609 KBytes  4.99 Mbits/sec   0.208 ms  342/  766 (45%)
[  3] 27.0-28.0 sec   535 KBytes  4.39 Mbits/sec   0.156 ms  399/  772 (52%)
[  3] 28.0-29.0 sec   600 KBytes  4.92 Mbits/sec   0.198 ms  347/  765 (45%)
[  3] 29.0-30.0 sec   587 KBytes  4.81 Mbits/sec   0.173 ms  357/  766 (47%)
[  3] 30.0-31.0 sec   593 KBytes  4.86 Mbits/sec   0.150 ms  344/  757 (45%)
[  3] 31.0-32.0 sec   630 KBytes  5.16 Mbits/sec   0.205 ms  336/  775 (43%)
[  3] 32.0-33.0 sec   614 KBytes  5.03 Mbits/sec   0.174 ms  337/  765 (44%)
[  3] 33.0-34.0 sec   593 KBytes  4.86 Mbits/sec   0.152 ms  353/  766 (46%)
[  3] 34.0-35.0 sec   597 KBytes  4.89 Mbits/sec   0.163 ms  350/  766 (46%)
[  3] 35.0-36.0 sec   584 KBytes  4.79 Mbits/sec   0.153 ms  359/  766 (47%)
[  3] 36.0-37.0 sec   596 KBytes  4.88 Mbits/sec   0.182 ms  349/  764 (46%)
[  3] 37.0-38.0 sec   603 KBytes  4.94 Mbits/sec   0.164 ms  347/  767 (45%)
[  3] 38.0-39.0 sec   617 KBytes  5.06 Mbits/sec   0.168 ms  336/  766 (44%)
[  3] 39.0-40.0 sec   601 KBytes  4.93 Mbits/sec   0.184 ms  335/  754 (44%)
[  3] 40.0-41.0 sec   540 KBytes  4.42 Mbits/sec   0.285 ms  395/  771 (51%)
[  3] 41.0-42.0 sec   600 KBytes  4.92 Mbits/sec   0.204 ms  354/  772 (46%)
[  3] 42.0-43.0 sec   597 KBytes  4.89 Mbits/sec   0.265 ms  349/  765 (46%)
[  3] 43.0-44.0 sec   590 KBytes  4.83 Mbits/sec   0.195 ms  356/  767 (46%)
[  3] 44.0-45.0 sec   603 KBytes  4.94 Mbits/sec   0.303 ms  345/  765 (45%)
[  3] 45.0-46.0 sec   606 KBytes  4.96 Mbits/sec   0.175 ms  343/  765 (45%)
[  3] 46.0-47.0 sec   613 KBytes  5.02 Mbits/sec   0.160 ms  339/  766 (44%)
[  3] 47.0-48.0 sec   610 KBytes  5.00 Mbits/sec   0.328 ms  342/  767 (45%)
[  3] 48.0-49.0 sec   613 KBytes  5.02 Mbits/sec   0.153 ms  338/  765 (44%)
[  3] 49.0-50.0 sec   600 KBytes  4.92 Mbits/sec   0.206 ms  347/  765 (45%)
[  3] 50.0-51.0 sec   609 KBytes  4.99 Mbits/sec   0.165 ms  342/  766 (45%)
[  3] 51.0-52.0 sec   622 KBytes  5.09 Mbits/sec   0.227 ms  333/  766 (43%)
[  3] 52.0-53.0 sec   590 KBytes  4.83 Mbits/sec   0.249 ms  347/  758 (46%)
[  3] 53.0-54.0 sec   533 KBytes  4.36 Mbits/sec   0.170 ms  400/  771 (52%)
[  3] 54.0-55.0 sec   593 KBytes  4.86 Mbits/sec   0.184 ms  352/  765 (46%)
[  3] 55.0-56.0 sec   594 KBytes  4.87 Mbits/sec   0.153 ms  351/  765 (46%)
[  3] 56.0-57.0 sec   591 KBytes  4.85 Mbits/sec   0.151 ms  354/  766 (46%)
[  3] 57.0-58.0 sec   597 KBytes  4.89 Mbits/sec   0.175 ms  349/  765 (46%)
[  3] 58.0-59.0 sec   596 KBytes  4.88 Mbits/sec   0.218 ms  349/  764 (46%)
[  3] 59.0-60.0 sec   589 KBytes  4.82 Mbits/sec   0.194 ms  353/  763 (46%)
[  3] 60.0-61.0 sec   597 KBytes  4.89 Mbits/sec   0.220 ms  350/  766 (46%)
[  3] 61.0-62.0 sec   604 KBytes  4.95 Mbits/sec   0.174 ms  343/  764 (45%)
[  3] 62.0-63.0 sec   609 KBytes  4.99 Mbits/sec   0.182 ms  343/  767 (45%)
[  3] 63.0-64.0 sec   586 KBytes  4.80 Mbits/sec   0.155 ms  357/  765 (47%)
[  3] 64.0-65.0 sec   612 KBytes  5.01 Mbits/sec   0.176 ms  337/  763 (44%)
[  3] 65.0-66.0 sec   537 KBytes  4.40 Mbits/sec   0.186 ms  397/  771 (51%)
[  3] 66.0-67.0 sec   601 KBytes  4.93 Mbits/sec   0.221 ms  347/  766 (45%)
[  3] 67.0-68.0 sec   589 KBytes  4.82 Mbits/sec   0.420 ms  354/  764 (46%)
[  3] 68.0-69.0 sec   599 KBytes  4.90 Mbits/sec   0.183 ms  348/  765 (45%)
[  3] 69.0-70.0 sec   609 KBytes  4.99 Mbits/sec   0.153 ms  340/  764 (45%)
[  3] 70.0-71.0 sec   568 KBytes  4.66 Mbits/sec   0.207 ms  370/  766 (48%)
[  3] 71.0-72.0 sec   584 KBytes  4.79 Mbits/sec   0.301 ms  352/  759 (46%)
[  3] 72.0-73.0 sec   593 KBytes  4.86 Mbits/sec   0.204 ms  351/  764 (46%)
[  3] 73.0-74.0 sec   587 KBytes  4.81 Mbits/sec   0.174 ms  357/  766 (47%)
[  3] 74.0-75.0 sec   594 KBytes  4.87 Mbits/sec   0.258 ms  350/  764 (46%)
[  3] 75.0-76.0 sec   541 KBytes  4.43 Mbits/sec   0.265 ms  388/  765 (51%)
[  3] 76.0-77.0 sec   601 KBytes  4.93 Mbits/sec   0.161 ms  348/  767 (45%)
[  3] 77.0-78.0 sec   612 KBytes  5.01 Mbits/sec   0.191 ms  340/  766 (44%)
[  3] 78.0-79.0 sec   607 KBytes  4.97 Mbits/sec   0.146 ms  342/  765 (45%)
[  3] 79.0-80.0 sec   599 KBytes  4.90 Mbits/sec   0.187 ms  348/  765 (45%)
[  3] 80.0-81.0 sec   593 KBytes  4.86 Mbits/sec   0.194 ms  350/  763 (46%)
[  3] 81.0-82.0 sec   597 KBytes  4.89 Mbits/sec   0.211 ms  340/  756 (45%)
[  3] 82.0-83.0 sec   596 KBytes  4.88 Mbits/sec   0.262 ms  349/  764 (46%)
[  3] 83.0-84.0 sec   564 KBytes  4.62 Mbits/sec   0.185 ms  374/  767 (49%)
[  3] 84.0-85.0 sec   603 KBytes  4.94 Mbits/sec   0.193 ms  345/  765 (45%)
[  3] 85.0-86.0 sec   604 KBytes  4.95 Mbits/sec   0.180 ms  332/  753 (44%)
[  3] 86.0-87.0 sec   606 KBytes  4.96 Mbits/sec   0.240 ms  343/  765 (45%)
[  3] 87.0-88.0 sec   528 KBytes  4.33 Mbits/sec   0.161 ms  405/  773 (52%)
[  3] 88.0-89.0 sec   610 KBytes  5.00 Mbits/sec   0.165 ms  339/  764 (44%)
[  3] 89.0-90.0 sec   600 KBytes  4.92 Mbits/sec   0.202 ms  344/  762 (45%)
[  3] 90.0-91.0 sec   613 KBytes  5.02 Mbits/sec   0.154 ms  332/  759 (44%)
[  3] 91.0-92.0 sec   656 KBytes  5.37 Mbits/sec   0.178 ms  308/  765 (40%)
[  3] 92.0-93.0 sec   607 KBytes  4.97 Mbits/sec   0.188 ms  342/  765 (45%)
[  3] 93.0-94.0 sec   599 KBytes  4.90 Mbits/sec   0.150 ms  349/  766 (46%)
[  3] 94.0-95.0 sec   596 KBytes  4.88 Mbits/sec   0.176 ms  347/  762 (46%)
[  3] 95.0-96.0 sec   607 KBytes  4.97 Mbits/sec   0.223 ms  341/  764 (45%)
[  3] 96.0-97.0 sec   550 KBytes  4.50 Mbits/sec   0.222 ms  388/  771 (50%)
[  3] 97.0-98.0 sec   603 KBytes  4.94 Mbits/sec   0.288 ms  345/  765 (45%)
[  3] 98.0-99.0 sec   601 KBytes  4.93 Mbits/sec   0.179 ms  347/  766 (45%)
[  3] 99.0-100.0 sec   599 KBytes  4.90 Mbits/sec   0.209 ms  339/  756 (45%)
[  3] 100.0-101.0 sec   647 KBytes  5.30 Mbits/sec   0.182 ms  323/  774 (42%)
[  3] 101.0-102.0 sec   609 KBytes  4.99 Mbits/sec   0.158 ms  338/  762 (44%)
