------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.1 port 5001 connected with 10.2.0.1 port 42761
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.066 ms    0/  413 (0%)
[  3]  1.0- 2.0 sec   589 KBytes  4.82 Mbits/sec   0.070 ms    0/  410 (0%)
[  3]  2.0- 3.0 sec   594 KBytes  4.87 Mbits/sec   0.067 ms    0/  414 (0%)
[  3]  3.0- 4.0 sec   593 KBytes  4.86 Mbits/sec   0.066 ms    0/  413 (0%)
[  3]  4.0- 5.0 sec   593 KBytes  4.86 Mbits/sec   0.067 ms    0/  413 (0%)
[  3]  5.0- 6.0 sec   589 KBytes  4.82 Mbits/sec   0.074 ms    0/  410 (0%)
[  3]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec   0.068 ms    0/  414 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.113 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.100 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   590 KBytes  4.83 Mbits/sec   0.210 ms    0/  411 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.069 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   594 KBytes  4.87 Mbits/sec   0.068 ms    0/  414 (0%)
[  3] 12.0-13.0 sec   584 KBytes  4.79 Mbits/sec   0.195 ms    0/  407 (0%)
[  3] 13.0-14.0 sec   586 KBytes  4.80 Mbits/sec   0.149 ms    0/  408 (0%)
[  3] 14.0-15.0 sec   579 KBytes  4.74 Mbits/sec   0.125 ms    0/  403 (0%)
[  3] 15.0-16.0 sec   584 KBytes  4.79 Mbits/sec   0.100 ms    0/  407 (0%)
[  3] 16.0-17.0 sec   584 KBytes  4.79 Mbits/sec   0.140 ms    0/  407 (0%)
[  3] 17.0-18.0 sec   586 KBytes  4.80 Mbits/sec   0.135 ms    0/  408 (0%)
[  3] 18.0-19.0 sec   586 KBytes  4.80 Mbits/sec   0.143 ms    0/  408 (0%)
[  3] 19.0-20.0 sec   577 KBytes  4.73 Mbits/sec   0.094 ms    0/  402 (0%)
[  3] 20.0-21.0 sec   584 KBytes  4.79 Mbits/sec   0.122 ms    0/  407 (0%)
[  3] 21.0-22.0 sec   586 KBytes  4.80 Mbits/sec   0.179 ms    0/  408 (0%)
[  3] 22.0-23.0 sec   584 KBytes  4.79 Mbits/sec   0.207 ms    0/  407 (0%)
[  3] 23.0-24.0 sec   586 KBytes  4.80 Mbits/sec   0.138 ms    0/  408 (0%)
[  3] 24.0-25.0 sec   586 KBytes  4.80 Mbits/sec   0.149 ms    0/  408 (0%)
[  3] 25.0-26.0 sec   580 KBytes  4.75 Mbits/sec   0.168 ms    0/  404 (0%)
[  3] 26.0-27.0 sec   581 KBytes  4.76 Mbits/sec   0.237 ms    0/  405 (0%)
[  3] 27.0-28.0 sec   586 KBytes  4.80 Mbits/sec   0.116 ms    0/  408 (0%)
[  3] 28.0-29.0 sec   586 KBytes  4.80 Mbits/sec   0.107 ms    0/  408 (0%)
[  3] 29.0-30.0 sec   584 KBytes  4.79 Mbits/sec   0.095 ms    0/  407 (0%)
