------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.2 port 5001 connected with 10.6.0.1 port 40365
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1016 KBytes  8.33 Mbits/sec   0.006 ms 2824/ 3532 (80%)
[  3]  1.0- 2.0 sec   976 KBytes  8.00 Mbits/sec   0.013 ms    0/  680 (0%)
[  3]  2.0- 3.0 sec   976 KBytes  8.00 Mbits/sec   0.009 ms    0/  680 (0%)
[  3]  3.0- 4.0 sec   978 KBytes  8.01 Mbits/sec   0.021 ms    0/  681 (0%)
[  3]  4.0- 5.0 sec   972 KBytes  7.96 Mbits/sec   0.316 ms    0/  677 (0%)
[  3]  5.0- 6.0 sec   980 KBytes  8.03 Mbits/sec   0.009 ms    0/  683 (0%)
[  3]  6.0- 7.0 sec   978 KBytes  8.01 Mbits/sec   0.010 ms    0/  681 (0%)
[  3]  7.0- 8.0 sec   665 KBytes  5.44 Mbits/sec   0.979 ms    0/  463 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.903 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.957 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   518 KBytes  4.25 Mbits/sec   0.331 ms  246/  607 (41%)
[  3] 11.0-12.0 sec   494 KBytes  4.05 Mbits/sec   0.299 ms  338/  682 (50%)
[  3] 12.0-13.0 sec   492 KBytes  4.03 Mbits/sec   0.289 ms  335/  678 (49%)
[  3] 13.0-14.0 sec   488 KBytes  4.00 Mbits/sec   0.309 ms  343/  683 (50%)
[  3] 14.0-15.0 sec   485 KBytes  3.97 Mbits/sec   0.336 ms  340/  678 (50%)
[  3] 15.0-16.0 sec   487 KBytes  3.99 Mbits/sec   0.288 ms  335/  674 (50%)
[  3] 16.0-17.0 sec   517 KBytes  4.23 Mbits/sec   0.304 ms  327/  687 (48%)
[  3] 17.0-18.0 sec   497 KBytes  4.07 Mbits/sec   0.365 ms  336/  682 (49%)
[  3] 18.0-19.0 sec   478 KBytes  3.92 Mbits/sec   0.279 ms  346/  679 (51%)
[  3] 19.0-20.0 sec   490 KBytes  4.01 Mbits/sec   0.312 ms  337/  678 (50%)
[  3] 20.0-21.0 sec   505 KBytes  4.14 Mbits/sec   0.314 ms  334/  686 (49%)
[  3] 21.0-22.0 sec   487 KBytes  3.99 Mbits/sec   0.336 ms  340/  679 (50%)
[  3] 22.0-23.0 sec   469 KBytes  3.85 Mbits/sec   0.333 ms  347/  674 (51%)
[  3] 23.0-24.0 sec   498 KBytes  4.08 Mbits/sec   0.692 ms  336/  683 (49%)
[  3] 24.0-25.0 sec   491 KBytes  4.02 Mbits/sec   0.330 ms  345/  687 (50%)
[  3] 25.0-26.0 sec   485 KBytes  3.97 Mbits/sec   0.321 ms  341/  679 (50%)
[  3] 26.0-27.0 sec   475 KBytes  3.89 Mbits/sec   0.311 ms  340/  671 (51%)
[  3] 27.0-28.0 sec   484 KBytes  3.96 Mbits/sec   0.373 ms  346/  683 (51%)
[  3] 28.0-29.0 sec   512 KBytes  4.20 Mbits/sec   0.301 ms  328/  685 (48%)
[  3] 29.0-30.0 sec   481 KBytes  3.94 Mbits/sec   0.355 ms  348/  683 (51%)
[  3] 30.0-31.0 sec   481 KBytes  3.94 Mbits/sec   0.328 ms  345/  680 (51%)
[  3] 31.0-32.0 sec   482 KBytes  3.95 Mbits/sec   0.331 ms  334/  670 (50%)
[  3] 32.0-33.0 sec   525 KBytes  4.30 Mbits/sec   0.316 ms  323/  689 (47%)
[  3] 33.0-34.0 sec   484 KBytes  3.96 Mbits/sec   0.361 ms  345/  682 (51%)
[  3] 34.0-35.0 sec   484 KBytes  3.96 Mbits/sec   0.302 ms  339/  676 (50%)
[  3] 35.0-36.0 sec   490 KBytes  4.01 Mbits/sec   0.330 ms  338/  679 (50%)
[  3] 36.0-37.0 sec   521 KBytes  4.27 Mbits/sec   0.344 ms  322/  685 (47%)
[  3] 37.0-38.0 sec   488 KBytes  4.00 Mbits/sec   0.378 ms  339/  679 (50%)
[  3] 38.0-39.0 sec   495 KBytes  4.06 Mbits/sec   0.292 ms  335/  680 (49%)
[  3] 39.0-40.0 sec   482 KBytes  3.95 Mbits/sec   0.282 ms  340/  676 (50%)
[  3] 40.0-41.0 sec   482 KBytes  3.95 Mbits/sec   0.303 ms  341/  677 (50%)
[  3] 41.0-42.0 sec   467 KBytes  3.82 Mbits/sec   0.312 ms  365/  690 (53%)
[  3] 42.0-43.0 sec   469 KBytes  3.85 Mbits/sec   0.280 ms  352/  679 (52%)
[  3] 43.0-44.0 sec   484 KBytes  3.96 Mbits/sec   0.308 ms  342/  679 (50%)
[  3] 44.0-45.0 sec   485 KBytes  3.97 Mbits/sec   0.327 ms  341/  679 (50%)
[  3] 45.0-46.0 sec   481 KBytes  3.94 Mbits/sec   0.314 ms  348/  683 (51%)
[  3] 46.0-47.0 sec   993 KBytes  8.14 Mbits/sec   0.261 ms   96/  788 (12%)
[  3] 47.0-48.0 sec  1.15 MBytes  9.64 Mbits/sec   0.299 ms    0/  820 (0%)
[  3] 48.0-49.0 sec  1.16 MBytes  9.70 Mbits/sec   0.267 ms    0/  825 (0%)
[  3] 49.0-50.0 sec  1.16 MBytes  9.70 Mbits/sec   0.260 ms    0/  825 (0%)
