------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.1.0.1 port 43021
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   976 KBytes  8.00 Mbits/sec   0.007 ms    0/  680 (0%)
[  3]  1.0- 2.0 sec   976 KBytes  8.00 Mbits/sec   0.010 ms    0/  680 (0%)
[  3]  2.0- 3.0 sec   978 KBytes  8.01 Mbits/sec   0.010 ms    0/  681 (0%)
[  3]  3.0- 4.0 sec   976 KBytes  8.00 Mbits/sec   0.011 ms    0/  680 (0%)
[  3]  4.0- 5.0 sec   976 KBytes  8.00 Mbits/sec   0.014 ms    0/  680 (0%)
[  3]  5.0- 6.0 sec   976 KBytes  8.00 Mbits/sec   0.010 ms    0/  680 (0%)
[  3]  6.0- 7.0 sec   596 KBytes  4.88 Mbits/sec   1.086 ms    0/  415 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.950 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.949 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   254 KBytes  2.08 Mbits/sec   0.214 ms  475/  652 (73%)
[  3] 10.0-11.0 sec   281 KBytes  2.30 Mbits/sec   0.248 ms  487/  683 (71%)
[  3] 11.0-12.0 sec   217 KBytes  1.78 Mbits/sec   0.252 ms  532/  683 (78%)
[  3] 12.0-13.0 sec   214 KBytes  1.75 Mbits/sec   0.198 ms  529/  678 (78%)
[  3] 13.0-14.0 sec   221 KBytes  1.81 Mbits/sec   0.510 ms  524/  678 (77%)
[  3] 14.0-15.0 sec   224 KBytes  1.83 Mbits/sec   0.193 ms  523/  679 (77%)
[  3] 15.0-16.0 sec   254 KBytes  2.08 Mbits/sec   0.188 ms  508/  685 (74%)
[  3] 16.0-17.0 sec   218 KBytes  1.79 Mbits/sec   0.218 ms  526/  678 (78%)
[  3] 17.0-18.0 sec   227 KBytes  1.86 Mbits/sec   0.374 ms  525/  683 (77%)
[  3] 18.0-19.0 sec   212 KBytes  1.74 Mbits/sec   0.274 ms  525/  673 (78%)
[  3] 19.0-20.0 sec   223 KBytes  1.82 Mbits/sec   0.409 ms  528/  683 (77%)
[  3] 20.0-21.0 sec   257 KBytes  2.11 Mbits/sec   0.248 ms  505/  684 (74%)
[  3] 21.0-22.0 sec   221 KBytes  1.81 Mbits/sec   0.342 ms  527/  681 (77%)
[  3] 22.0-23.0 sec   224 KBytes  1.83 Mbits/sec   0.133 ms  525/  681 (77%)
[  3] 23.0-24.0 sec   214 KBytes  1.75 Mbits/sec   0.134 ms  528/  677 (78%)
[  3] 24.0-25.0 sec   221 KBytes  1.81 Mbits/sec   0.177 ms  529/  683 (77%)
[  3] 25.0-26.0 sec   224 KBytes  1.83 Mbits/sec   0.149 ms  518/  674 (77%)
[  3] 26.0-27.0 sec   261 KBytes  2.14 Mbits/sec   0.212 ms  503/  685 (73%)
[  3] 27.0-28.0 sec   230 KBytes  1.88 Mbits/sec   0.225 ms  522/  682 (77%)
[  3] 28.0-29.0 sec   224 KBytes  1.83 Mbits/sec   0.222 ms  523/  679 (77%)
[  3] 29.0-30.0 sec   221 KBytes  1.81 Mbits/sec   0.115 ms  528/  682 (77%)
[  3] 30.0-31.0 sec   224 KBytes  1.83 Mbits/sec   0.242 ms  523/  679 (77%)
[  3] 31.0-32.0 sec   220 KBytes  1.80 Mbits/sec   0.161 ms  520/  673 (77%)
[  3] 32.0-33.0 sec   257 KBytes  2.11 Mbits/sec   0.180 ms  509/  688 (74%)
[  3] 33.0-34.0 sec   217 KBytes  1.78 Mbits/sec   0.187 ms  527/  678 (78%)
[  3] 34.0-35.0 sec   217 KBytes  1.78 Mbits/sec   0.124 ms  532/  683 (78%)
[  3] 35.0-36.0 sec   221 KBytes  1.81 Mbits/sec   0.170 ms  524/  678 (77%)
[  3] 36.0-37.0 sec   214 KBytes  1.75 Mbits/sec   0.111 ms  534/  683 (78%)
[  3] 37.0-38.0 sec   228 KBytes  1.87 Mbits/sec   0.202 ms  515/  674 (76%)
[  3] 38.0-39.0 sec   257 KBytes  2.11 Mbits/sec   0.214 ms  508/  687 (74%)
[  3] 39.0-40.0 sec   218 KBytes  1.79 Mbits/sec   0.153 ms  526/  678 (78%)
[  3] 40.0-41.0 sec   217 KBytes  1.78 Mbits/sec   0.133 ms  528/  679 (78%)
[  3] 41.0-42.0 sec   221 KBytes  1.81 Mbits/sec   0.233 ms  530/  684 (77%)
