------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.1 port 5001 connected with 10.2.0.1 port 49592
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   856 KBytes  7.01 Mbits/sec   0.008 ms    5/  601 (0.83%)
[  3]  1.0- 2.0 sec   854 KBytes  7.00 Mbits/sec   0.009 ms    0/  595 (0%)
[  3]  2.0- 3.0 sec   854 KBytes  7.00 Mbits/sec   0.009 ms    0/  595 (0%)
[  3]  3.0- 4.0 sec   854 KBytes  7.00 Mbits/sec   0.147 ms    0/  595 (0%)
[  3]  4.0- 5.0 sec   856 KBytes  7.01 Mbits/sec   0.009 ms    0/  596 (0%)
[  3]  5.0- 6.0 sec   854 KBytes  7.00 Mbits/sec   0.115 ms    0/  595 (0%)
[  3]  6.0- 7.0 sec   596 KBytes  4.88 Mbits/sec   0.738 ms    0/  415 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.740 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.752 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   583 KBytes  4.77 Mbits/sec   0.576 ms    9/  415 (2.2%)
[  3] 10.0-11.0 sec   352 KBytes  2.88 Mbits/sec   0.229 ms  353/  598 (59%)
[  3] 11.0-12.0 sec   337 KBytes  2.76 Mbits/sec   0.244 ms  362/  597 (61%)
[  3] 12.0-13.0 sec   333 KBytes  2.73 Mbits/sec   0.273 ms  359/  591 (61%)
[  3] 13.0-14.0 sec   359 KBytes  2.94 Mbits/sec   0.322 ms  350/  600 (58%)
[  3] 14.0-15.0 sec   336 KBytes  2.75 Mbits/sec   0.313 ms  360/  594 (61%)
[  3] 15.0-16.0 sec   336 KBytes  2.75 Mbits/sec   0.240 ms  360/  594 (61%)
[  3] 16.0-17.0 sec   336 KBytes  2.75 Mbits/sec   0.289 ms  358/  592 (60%)
[  3] 17.0-18.0 sec   353 KBytes  2.89 Mbits/sec   0.396 ms  355/  601 (59%)
[  3] 18.0-19.0 sec   343 KBytes  2.81 Mbits/sec   0.363 ms  355/  594 (60%)
[  3] 19.0-20.0 sec   337 KBytes  2.76 Mbits/sec   0.236 ms  359/  594 (60%)
[  3] 20.0-21.0 sec   337 KBytes  2.76 Mbits/sec   0.228 ms  356/  591 (60%)
[  3] 21.0-22.0 sec   350 KBytes  2.87 Mbits/sec   0.253 ms  357/  601 (59%)
[  3] 22.0-23.0 sec   334 KBytes  2.74 Mbits/sec   0.202 ms  361/  594 (61%)
[  3] 23.0-24.0 sec   346 KBytes  2.83 Mbits/sec   0.285 ms  356/  597 (60%)
