------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.3.0.1 port 41445
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   976 KBytes  8.00 Mbits/sec   0.007 ms   10/  690 (1.4%)
[  3]  1.0- 2.0 sec   976 KBytes  8.00 Mbits/sec   0.018 ms    0/  680 (0%)
[  3]  2.0- 3.0 sec   978 KBytes  8.01 Mbits/sec   0.007 ms    0/  681 (0%)
[  3]  3.0- 4.0 sec   976 KBytes  8.00 Mbits/sec   0.009 ms    0/  680 (0%)
[  3]  4.0- 5.0 sec   976 KBytes  8.00 Mbits/sec   0.008 ms    0/  680 (0%)
[  3]  5.0- 6.0 sec   976 KBytes  8.00 Mbits/sec   0.162 ms    0/  680 (0%)
[  3]  6.0- 7.0 sec   978 KBytes  8.01 Mbits/sec   0.007 ms    0/  681 (0%)
[  3]  7.0- 8.0 sec   976 KBytes  8.00 Mbits/sec   0.007 ms    0/  680 (0%)
[  3]  8.0- 9.0 sec   976 KBytes  8.00 Mbits/sec   0.008 ms    0/  680 (0%)
[  3]  9.0-10.0 sec   978 KBytes  8.01 Mbits/sec   0.008 ms    0/  681 (0%)
[  3] 10.0-11.0 sec   976 KBytes  8.00 Mbits/sec   0.009 ms    0/  680 (0%)
[  3] 11.0-12.0 sec   975 KBytes  7.99 Mbits/sec   0.009 ms    0/  679 (0%)
[  3] 12.0-13.0 sec   603 KBytes  4.94 Mbits/sec   0.950 ms    0/  420 (0%)
[  3] 13.0-14.0 sec   593 KBytes  4.86 Mbits/sec   0.948 ms    0/  413 (0%)
[  3] 14.0-15.0 sec   589 KBytes  4.82 Mbits/sec   0.949 ms    0/  410 (0%)
[  3] 15.0-16.0 sec   853 KBytes  6.99 Mbits/sec   0.398 ms   64/  658 (9.7%)
[  3] 16.0-17.0 sec   935 KBytes  7.66 Mbits/sec   0.360 ms   28/  679 (4.1%)
[  3] 17.0-18.0 sec   933 KBytes  7.64 Mbits/sec   0.433 ms   30/  680 (4.4%)
[  3] 18.0-19.0 sec   935 KBytes  7.66 Mbits/sec   0.457 ms   30/  681 (4.4%)
[  3] 19.0-20.0 sec   920 KBytes  7.54 Mbits/sec   0.425 ms   34/  675 (5%)
[  3] 20.0-21.0 sec   942 KBytes  7.71 Mbits/sec   0.394 ms   29/  685 (4.2%)
[  3] 21.0-22.0 sec   923 KBytes  7.56 Mbits/sec   0.432 ms   37/  680 (5.4%)
[  3] 22.0-23.0 sec   933 KBytes  7.64 Mbits/sec   0.401 ms   31/  681 (4.6%)
[  3] 23.0-24.0 sec   930 KBytes  7.62 Mbits/sec   0.438 ms   27/  675 (4%)
[  3] 24.0-25.0 sec   912 KBytes  7.47 Mbits/sec   0.417 ms   50/  685 (7.3%)
[  3] 25.0-26.0 sec   933 KBytes  7.64 Mbits/sec   0.368 ms   31/  681 (4.6%)
[  3] 26.0-27.0 sec   935 KBytes  7.66 Mbits/sec   0.397 ms   23/  674 (3.4%)
[  3] 27.0-28.0 sec   936 KBytes  7.67 Mbits/sec   0.434 ms   28/  680 (4.1%)
[  3] 28.0-29.0 sec   896 KBytes  7.34 Mbits/sec   0.407 ms   63/  687 (9.2%)
[  3] 29.0-30.0 sec   943 KBytes  7.73 Mbits/sec   0.415 ms   23/  680 (3.4%)
[  3] 30.0-31.0 sec   922 KBytes  7.55 Mbits/sec   0.579 ms   33/  675 (4.9%)
[  3] 31.0-32.0 sec   926 KBytes  7.59 Mbits/sec   0.420 ms   34/  679 (5%)
[  3] 32.0-33.0 sec   899 KBytes  7.36 Mbits/sec   0.429 ms   60/  686 (8.7%)
[  3] 33.0-34.0 sec   936 KBytes  7.67 Mbits/sec   0.420 ms   29/  681 (4.3%)
[  3] 34.0-35.0 sec   930 KBytes  7.62 Mbits/sec   0.375 ms   31/  679 (4.6%)
