------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.2 port 5001 connected with 10.2.0.2 port 35822
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.958 ms   17/  431 (3.9%)
[  3]  1.0- 2.0 sec   589 KBytes  4.82 Mbits/sec   0.950 ms    0/  410 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   1.016 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   929 KBytes  7.61 Mbits/sec   0.464 ms   14/  661 (2.1%)
[  3]  4.0- 5.0 sec   949 KBytes  7.77 Mbits/sec   0.555 ms   20/  681 (2.9%)
[  3]  5.0- 6.0 sec   939 KBytes  7.69 Mbits/sec   0.490 ms   22/  676 (3.3%)
[  3]  6.0- 7.0 sec   946 KBytes  7.75 Mbits/sec   0.417 ms   16/  675 (2.4%)
[  3]  7.0- 8.0 sec   889 KBytes  7.28 Mbits/sec   0.424 ms   71/  690 (10%)
[  3]  8.0- 9.0 sec   950 KBytes  7.79 Mbits/sec   0.414 ms   18/  680 (2.6%)
[  3]  9.0-10.0 sec   939 KBytes  7.69 Mbits/sec   0.436 ms   27/  681 (4%)
[  3] 10.0-11.0 sec   920 KBytes  7.54 Mbits/sec   0.408 ms   33/  674 (4.9%)
[  3] 11.0-12.0 sec   920 KBytes  7.54 Mbits/sec   0.488 ms   45/  686 (6.6%)
[  3] 12.0-13.0 sec   947 KBytes  7.76 Mbits/sec   0.427 ms   21/  681 (3.1%)
[  3] 13.0-14.0 sec   953 KBytes  7.81 Mbits/sec   0.453 ms   15/  679 (2.2%)
[  3] 14.0-15.0 sec   947 KBytes  7.76 Mbits/sec   0.428 ms   21/  681 (3.1%)
[  3] 15.0-16.0 sec   952 KBytes  7.80 Mbits/sec   0.419 ms   18/  681 (2.6%)
[  3] 16.0-17.0 sec  1018 KBytes  8.34 Mbits/sec   0.266 ms    9/  718 (1.3%)
[  3] 17.0-18.0 sec  1.16 MBytes  9.71 Mbits/sec   0.391 ms    0/  826 (0%)
[  3] 18.0-19.0 sec  1.16 MBytes  9.73 Mbits/sec   0.261 ms    0/  827 (0%)
[  3] 19.0-20.0 sec  1.16 MBytes  9.73 Mbits/sec   0.321 ms    0/  827 (0%)
[  3] 20.0-21.0 sec  1.16 MBytes  9.71 Mbits/sec   0.284 ms    0/  826 (0%)
[  3] 21.0-22.0 sec  1.15 MBytes  9.65 Mbits/sec   0.284 ms    0/  821 (0%)
[  3] 22.0-23.0 sec  1.03 MBytes  8.68 Mbits/sec   0.009 ms    0/  738 (0%)
[  3] 23.0-24.0 sec   978 KBytes  8.01 Mbits/sec   0.073 ms    0/  681 (0%)
