------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.1 port 5001 connected with 10.6.0.2 port 46138
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   610 KBytes  5.00 Mbits/sec   0.949 ms  348/  773 (45%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.979 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.949 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   610 KBytes  5.00 Mbits/sec   0.381 ms  245/  670 (37%)
[  3]  4.0- 5.0 sec   593 KBytes  4.86 Mbits/sec   0.338 ms  264/  677 (39%)
[  3]  5.0- 6.0 sec   580 KBytes  4.75 Mbits/sec   0.357 ms  280/  684 (41%)
[  3]  6.0- 7.0 sec   604 KBytes  4.95 Mbits/sec   0.333 ms  258/  679 (38%)
[  3]  7.0- 8.0 sec   590 KBytes  4.83 Mbits/sec   0.333 ms  270/  681 (40%)
[  3]  8.0- 9.0 sec   606 KBytes  4.96 Mbits/sec   0.357 ms  258/  680 (38%)
[  3]  9.0-10.0 sec   590 KBytes  4.83 Mbits/sec   0.336 ms  263/  674 (39%)
[  3] 10.0-11.0 sec   570 KBytes  4.67 Mbits/sec   0.333 ms  288/  685 (42%)
[  3] 11.0-12.0 sec   603 KBytes  4.94 Mbits/sec   0.348 ms  262/  682 (38%)
[  3] 12.0-13.0 sec   603 KBytes  4.94 Mbits/sec   0.343 ms  259/  679 (38%)
[  3] 13.0-14.0 sec   603 KBytes  4.94 Mbits/sec   0.369 ms  262/  682 (38%)
[  3] 14.0-15.0 sec   599 KBytes  4.90 Mbits/sec   0.422 ms  262/  679 (39%)
[  3] 15.0-16.0 sec   600 KBytes  4.92 Mbits/sec   0.345 ms  263/  681 (39%)
[  3] 16.0-17.0 sec   586 KBytes  4.80 Mbits/sec   0.388 ms  267/  675 (40%)
[  3] 17.0-18.0 sec   583 KBytes  4.77 Mbits/sec   0.360 ms  284/  690 (41%)
[  3] 18.0-19.0 sec   597 KBytes  4.89 Mbits/sec   0.414 ms  260/  676 (38%)
[  3] 19.0-20.0 sec   609 KBytes  4.99 Mbits/sec   0.390 ms  258/  682 (38%)
[  3] 20.0-21.0 sec   596 KBytes  4.88 Mbits/sec   0.479 ms  262/  677 (39%)
[  3] 21.0-22.0 sec   583 KBytes  4.77 Mbits/sec   0.394 ms  277/  683 (41%)
[  3] 22.0-23.0 sec   596 KBytes  4.88 Mbits/sec   0.321 ms  267/  682 (39%)
[  3] 23.0-24.0 sec   594 KBytes  4.87 Mbits/sec   0.399 ms  266/  680 (39%)
[  3] 24.0-25.0 sec   601 KBytes  4.93 Mbits/sec   0.537 ms  259/  678 (38%)
[  3] 25.0-26.0 sec   606 KBytes  4.96 Mbits/sec   0.378 ms  259/  681 (38%)
[  3] 26.0-27.0 sec   576 KBytes  4.72 Mbits/sec   0.354 ms  282/  683 (41%)
[  3] 27.0-28.0 sec   603 KBytes  4.94 Mbits/sec   0.390 ms  259/  679 (38%)
[  3] 28.0-29.0 sec   594 KBytes  4.87 Mbits/sec   0.450 ms  265/  679 (39%)
[  3] 29.0-30.0 sec   607 KBytes  4.97 Mbits/sec   0.374 ms  252/  675 (37%)
[  3] 30.0-31.0 sec   632 KBytes  5.17 Mbits/sec   0.336 ms  247/  687 (36%)
[  3] 31.0-32.0 sec   600 KBytes  4.92 Mbits/sec   0.379 ms  262/  680 (39%)
[  3] 32.0-33.0 sec   614 KBytes  5.03 Mbits/sec   0.364 ms  251/  679 (37%)
[  3] 33.0-34.0 sec   623 KBytes  5.10 Mbits/sec   0.314 ms  248/  682 (36%)
[  3] 34.0-35.0 sec   601 KBytes  4.93 Mbits/sec   0.333 ms  257/  676 (38%)
[  3] 35.0-36.0 sec   584 KBytes  4.79 Mbits/sec   0.375 ms  277/  684 (40%)
[  3] 36.0-37.0 sec   601 KBytes  4.93 Mbits/sec   0.357 ms  261/  680 (38%)
[  3] 37.0-38.0 sec   601 KBytes  4.93 Mbits/sec   0.400 ms  260/  679 (38%)
[  3] 38.0-39.0 sec   606 KBytes  4.96 Mbits/sec   0.395 ms  257/  679 (38%)
[  3] 39.0-40.0 sec   609 KBytes  4.99 Mbits/sec   0.294 ms  259/  683 (38%)
[  3] 40.0-41.0 sec   606 KBytes  4.96 Mbits/sec   0.410 ms  252/  674 (37%)
[  3] 41.0-42.0 sec   597 KBytes  4.89 Mbits/sec   0.442 ms  266/  682 (39%)
[  3] 42.0-43.0 sec   620 KBytes  5.08 Mbits/sec   0.266 ms  256/  688 (37%)
[  3] 43.0-44.0 sec   610 KBytes  5.00 Mbits/sec   0.337 ms  255/  680 (38%)
[  3] 44.0-45.0 sec   612 KBytes  5.01 Mbits/sec   0.285 ms  253/  679 (37%)
[  3] 45.0-46.0 sec   596 KBytes  4.88 Mbits/sec   0.435 ms  265/  680 (39%)
[  3] 46.0-47.0 sec   606 KBytes  4.96 Mbits/sec   0.285 ms  260/  682 (38%)
[  3] 47.0-48.0 sec   597 KBytes  4.89 Mbits/sec   0.350 ms  256/  672 (38%)
[  3] 48.0-49.0 sec   579 KBytes  4.74 Mbits/sec   0.363 ms  283/  686 (41%)
[  3] 49.0-50.0 sec   596 KBytes  4.88 Mbits/sec   0.389 ms  264/  679 (39%)
[  3] 50.0-51.0 sec   616 KBytes  5.05 Mbits/sec   0.391 ms  254/  683 (37%)
[  3] 51.0-52.0 sec   604 KBytes  4.95 Mbits/sec   0.306 ms  260/  681 (38%)
[  3] 52.0-53.0 sec   593 KBytes  4.86 Mbits/sec   0.338 ms  267/  680 (39%)
[  3] 53.0-54.0 sec   586 KBytes  4.80 Mbits/sec   0.531 ms  265/  673 (39%)
[  3] 54.0-55.0 sec   619 KBytes  5.07 Mbits/sec   0.336 ms  255/  686 (37%)
[  3] 55.0-56.0 sec   609 KBytes  4.99 Mbits/sec   0.380 ms  258/  682 (38%)
[  3] 56.0-57.0 sec   604 KBytes  4.95 Mbits/sec   0.374 ms  256/  677 (38%)
[  3] 57.0-58.0 sec   610 KBytes  5.00 Mbits/sec   0.386 ms  258/  683 (38%)
[  3] 58.0-59.0 sec   597 KBytes  4.89 Mbits/sec   0.389 ms  256/  672 (38%)
[  3] 59.0-60.0 sec   606 KBytes  4.96 Mbits/sec   0.439 ms  260/  682 (38%)
[  3] 60.0-61.0 sec   606 KBytes  4.96 Mbits/sec   0.354 ms  262/  684 (38%)
[  3] 61.0-62.0 sec   629 KBytes  5.15 Mbits/sec   0.314 ms  244/  682 (36%)
[  3] 62.0-63.0 sec   614 KBytes  5.03 Mbits/sec   0.351 ms  252/  680 (37%)
[  3] 63.0-64.0 sec   601 KBytes  4.93 Mbits/sec   0.377 ms  260/  679 (38%)
[  3] 64.0-65.0 sec   599 KBytes  4.90 Mbits/sec   0.444 ms  257/  674 (38%)
[  3] 65.0-66.0 sec   579 KBytes  4.74 Mbits/sec   0.350 ms  284/  687 (41%)
[  3] 66.0-67.0 sec   606 KBytes  4.96 Mbits/sec   0.380 ms  260/  682 (38%)
[  3] 67.0-68.0 sec   600 KBytes  4.92 Mbits/sec   0.363 ms  262/  680 (39%)
[  3] 68.0-69.0 sec   656 KBytes  5.37 Mbits/sec   0.329 ms  226/  683 (33%)
[  3] 69.0-70.0 sec   603 KBytes  4.94 Mbits/sec   0.451 ms  252/  672 (38%)
[  3] 70.0-71.0 sec   561 KBytes  4.60 Mbits/sec   0.332 ms  295/  686 (43%)
[  3] 71.0-72.0 sec   614 KBytes  5.03 Mbits/sec   0.398 ms  254/  682 (37%)
[  3] 72.0-73.0 sec   610 KBytes  5.00 Mbits/sec   0.445 ms  252/  677 (37%)
[  3] 73.0-74.0 sec   606 KBytes  4.96 Mbits/sec   0.404 ms  257/  679 (38%)
[  3] 74.0-75.0 sec   604 KBytes  4.95 Mbits/sec   0.353 ms  262/  683 (38%)
[  3] 75.0-76.0 sec   604 KBytes  4.95 Mbits/sec   0.328 ms  259/  680 (38%)
[  3] 76.0-77.0 sec   603 KBytes  4.94 Mbits/sec   0.411 ms  257/  677 (38%)
[  3] 77.0-78.0 sec   622 KBytes  5.09 Mbits/sec   0.783 ms  251/  684 (37%)
[  3] 78.0-79.0 sec   596 KBytes  4.88 Mbits/sec   0.408 ms  265/  680 (39%)
[  3] 79.0-80.0 sec   594 KBytes  4.87 Mbits/sec   0.346 ms  265/  679 (39%)
[  3] 80.0-81.0 sec   587 KBytes  4.81 Mbits/sec   0.363 ms  263/  672 (39%)
[  3]  0.0-81.8 sec  48.0 MBytes  4.92 Mbits/sec   0.485 ms 20930/55181 (38%)
[  3]  0.0-81.8 sec  1 datagrams received out-of-order
