------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.2 port 5001 connected with 10.6.0.2 port 46469
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   270 KBytes  2.21 Mbits/sec   2.638 ms 18572/18760 (99%)
[  3]  1.0- 2.0 sec   817 KBytes  6.69 Mbits/sec   0.036 ms 1685/ 2254 (75%)
[  3]  1.0- 2.0 sec  2 datagrams received out-of-order
[  3]  2.0- 3.0 sec  1.15 MBytes  9.63 Mbits/sec  1428.016 ms    0/  619 (0%)
[  3]  2.0- 3.0 sec  200 datagrams received out-of-order
[  3]  3.0- 4.0 sec  1.16 MBytes  9.70 Mbits/sec  2007.585 ms    0/  579 (0%)
[  3]  3.0- 4.0 sec  246 datagrams received out-of-order
[  3]  4.0- 5.0 sec  1.16 MBytes  9.70 Mbits/sec   0.138 ms    0/  696 (0%)
[  3]  4.0- 5.0 sec  129 datagrams received out-of-order
[  3]  5.0- 6.0 sec  1.15 MBytes  9.68 Mbits/sec   0.208 ms    0/  823 (0%)
[  3]  6.0- 7.0 sec  1.16 MBytes  9.69 Mbits/sec   0.120 ms    0/  824 (0%)
[  3]  7.0- 8.0 sec  1.16 MBytes  9.69 Mbits/sec   0.182 ms    0/  824 (0%)
[  3]  8.0- 9.0 sec  1.15 MBytes  9.68 Mbits/sec   0.176 ms    0/  823 (0%)
[  3]  9.0-10.0 sec  1.16 MBytes  9.69 Mbits/sec   0.145 ms    0/  824 (0%)
[  3] 10.0-11.0 sec  1.16 MBytes  9.69 Mbits/sec   0.232 ms    0/  824 (0%)
[  3] 11.0-12.0 sec  1.15 MBytes  9.65 Mbits/sec   0.023 ms    0/  821 (0%)
[  3] 12.0-13.0 sec  1.07 MBytes  9.01 Mbits/sec   0.053 ms    0/  766 (0%)
[  3] 13.0-14.0 sec  1.07 MBytes  9.01 Mbits/sec   0.111 ms    0/  766 (0%)
[  3] 14.0-15.0 sec  1.07 MBytes  9.00 Mbits/sec   0.072 ms    0/  765 (0%)
[  3] 15.0-16.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    0/  766 (0%)
[  3] 16.0-17.0 sec  1.07 MBytes  9.01 Mbits/sec   0.036 ms    0/  766 (0%)
[  3] 17.0-18.0 sec  1.07 MBytes  9.00 Mbits/sec   0.028 ms    0/  765 (0%)
[  3] 18.0-19.0 sec  1.07 MBytes  9.01 Mbits/sec   0.058 ms    0/  766 (0%)
[  3] 19.0-20.0 sec  1.07 MBytes  9.01 Mbits/sec   0.021 ms    0/  766 (0%)
[  3] 20.0-21.0 sec  1.07 MBytes  9.00 Mbits/sec   0.011 ms    0/  765 (0%)
[  3] 21.0-22.0 sec  1.07 MBytes  9.01 Mbits/sec   0.018 ms    0/  766 (0%)
[  3] 22.0-23.0 sec  1.07 MBytes  9.01 Mbits/sec   0.009 ms    0/  766 (0%)
[  3] 23.0-24.0 sec  1.07 MBytes  9.01 Mbits/sec   0.016 ms    0/  766 (0%)
[  3] 24.0-25.0 sec  1.07 MBytes  9.00 Mbits/sec   0.027 ms    0/  765 (0%)
[  3] 25.0-26.0 sec  1.07 MBytes  9.01 Mbits/sec   0.011 ms    0/  766 (0%)
[  3] 26.0-27.0 sec  1.07 MBytes  9.00 Mbits/sec   0.121 ms    0/  765 (0%)
[  3] 27.0-28.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    0/  766 (0%)
[  3] 28.0-29.0 sec  1.07 MBytes  9.01 Mbits/sec   0.013 ms    0/  766 (0%)
[  3] 29.0-30.0 sec  1.07 MBytes  9.01 Mbits/sec   0.008 ms    0/  766 (0%)
[  3] 30.0-31.0 sec  1.07 MBytes  9.01 Mbits/sec   0.017 ms    0/  766 (0%)
[  3] 31.0-32.0 sec  1.07 MBytes  9.00 Mbits/sec   0.011 ms    0/  765 (0%)
[  3] 32.0-33.0 sec  1.07 MBytes  9.01 Mbits/sec   0.073 ms    0/  766 (0%)
[  3] 33.0-34.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    0/  766 (0%)
[  3] 34.0-35.0 sec  1.07 MBytes  9.00 Mbits/sec   0.068 ms    0/  765 (0%)
[  3] 35.0-36.0 sec  1.07 MBytes  9.01 Mbits/sec   0.012 ms    0/  766 (0%)
[  3] 36.0-37.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    0/  766 (0%)
[  3] 37.0-38.0 sec  1.07 MBytes  9.00 Mbits/sec   0.090 ms    0/  765 (0%)
[  3] 38.0-39.0 sec  1.07 MBytes  9.01 Mbits/sec   0.013 ms    0/  766 (0%)
[  3] 39.0-40.0 sec  1.07 MBytes  9.01 Mbits/sec   0.028 ms    0/  766 (0%)
[  3] 40.0-41.0 sec  1.07 MBytes  9.00 Mbits/sec   0.015 ms    0/  765 (0%)
[  3] 41.0-42.0 sec  1.07 MBytes  9.01 Mbits/sec   0.087 ms    0/  766 (0%)
[  3] 42.0-43.0 sec  1.07 MBytes  9.01 Mbits/sec   0.039 ms    0/  766 (0%)
[  3] 43.0-44.0 sec  1.07 MBytes  9.01 Mbits/sec   0.122 ms    0/  766 (0%)
[  3] 44.0-45.0 sec   103 KBytes   847 Kbits/sec   0.231 ms    0/   72 (0%)
[  3] 45.0-46.0 sec  0.00 Bytes  0.00 bits/sec   0.231 ms    0/    0 (-nan%)
[  3] 46.0-47.0 sec  0.00 Bytes  0.00 bits/sec   0.231 ms    0/    0 (-nan%)
[  3] 47.0-48.0 sec  0.00 Bytes  0.00 bits/sec   0.231 ms    0/    0 (-nan%)
[  3] 48.0-49.0 sec  0.00 Bytes  0.00 bits/sec   0.231 ms    0/    0 (-nan%)
[  3] 49.0-50.0 sec  0.00 Bytes  0.00 bits/sec   0.231 ms    0/    0 (-nan%)
[  3] 50.0-51.0 sec  0.00 Bytes  0.00 bits/sec   0.231 ms    0/    0 (-nan%)
[  3] 51.0-52.0 sec  0.00 Bytes  0.00 bits/sec   0.231 ms    0/    0 (-nan%)
[  3] 52.0-53.0 sec  0.00 Bytes  0.00 bits/sec   0.231 ms    0/    0 (-nan%)
[  3] 53.0-54.0 sec  0.00 Bytes  0.00 bits/sec   0.231 ms    0/    0 (-nan%)
[  3] 54.0-55.0 sec  0.00 Bytes  0.00 bits/sec   0.231 ms    0/    0 (-nan%)
[  3]  0.0-55.7 sec  47.5 MBytes  7.15 Mbits/sec   0.807 ms 28239/62121 (45%)
[  3]  0.0-55.7 sec  578 datagrams received out-of-order
