------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.1 port 5001 connected with 10.4.0.1 port 50265
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1.07 MBytes  9.01 Mbits/sec   0.009 ms    9/  775 (1.2%)
[  3]  1.0- 2.0 sec  1.07 MBytes  9.01 Mbits/sec   0.005 ms    0/  766 (0%)
[  3]  2.0- 3.0 sec  1.07 MBytes  9.01 Mbits/sec   0.009 ms    0/  766 (0%)
[  3]  3.0- 4.0 sec  1.07 MBytes  9.00 Mbits/sec   0.006 ms    0/  765 (0%)
[  3]  4.0- 5.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    0/  766 (0%)
[  3]  5.0- 6.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    0/  766 (0%)
[  3]  6.0- 7.0 sec  1.07 MBytes  9.00 Mbits/sec   0.043 ms    0/  765 (0%)
[  3]  7.0- 8.0 sec  1.07 MBytes  9.01 Mbits/sec   0.009 ms    0/  766 (0%)
[  3]  8.0- 9.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    0/  766 (0%)
[  3]  9.0-10.0 sec  1.07 MBytes  9.01 Mbits/sec   0.015 ms    0/  766 (0%)
[  3] 10.0-11.0 sec  1.07 MBytes  9.00 Mbits/sec   0.008 ms    0/  765 (0%)
[  3] 11.0-12.0 sec   805 KBytes  6.60 Mbits/sec   1.236 ms    0/  561 (0%)
[  3] 12.0-13.0 sec   587 KBytes  4.81 Mbits/sec   1.125 ms    0/  409 (0%)
[  3] 13.0-14.0 sec   594 KBytes  4.87 Mbits/sec   1.113 ms    0/  414 (0%)
[  3] 14.0-15.0 sec   142 KBytes  1.16 Mbits/sec   0.311 ms  650/  749 (87%)
[  3] 15.0-16.0 sec   136 KBytes  1.12 Mbits/sec   0.544 ms  671/  766 (88%)
[  3] 16.0-17.0 sec   118 KBytes   964 Kbits/sec   0.317 ms  677/  759 (89%)
[  3] 17.0-18.0 sec   235 KBytes  1.93 Mbits/sec   0.468 ms  611/  775 (79%)
[  3] 18.0-19.0 sec   148 KBytes  1.21 Mbits/sec   0.546 ms  660/  763 (87%)
[  3] 19.0-20.0 sec   155 KBytes  1.27 Mbits/sec   0.284 ms  660/  768 (86%)
[  3] 20.0-21.0 sec   119 KBytes   976 Kbits/sec   0.439 ms  676/  759 (89%)
[  3] 21.0-22.0 sec   134 KBytes  1.09 Mbits/sec   0.409 ms  672/  765 (88%)
[  3] 22.0-23.0 sec   141 KBytes  1.15 Mbits/sec   0.330 ms  667/  765 (87%)
[  3] 23.0-24.0 sec   121 KBytes   988 Kbits/sec   0.392 ms  682/  766 (89%)
[  3] 24.0-25.0 sec   118 KBytes   964 Kbits/sec   0.414 ms  684/  766 (89%)
