------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.2 port 5001 connected with 10.5.0.1 port 33064
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.011 ms   47/  557 (8.4%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.011 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.010 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   734 KBytes  6.01 Mbits/sec   0.029 ms    0/  511 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.012 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   724 KBytes  5.93 Mbits/sec   0.393 ms    0/  504 (0%)
[  3]  6.0- 7.0 sec   593 KBytes  4.86 Mbits/sec   0.468 ms    0/  413 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.459 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   594 KBytes  4.87 Mbits/sec   0.463 ms    0/  414 (0%)
[  3]  9.0-10.0 sec   589 KBytes  4.82 Mbits/sec   0.472 ms    0/  410 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.462 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   594 KBytes  4.87 Mbits/sec   0.466 ms    0/  414 (0%)
[  3] 12.0-13.0 sec   494 KBytes  4.05 Mbits/sec   0.328 ms  139/  483 (29%)
[  3] 13.0-14.0 sec   459 KBytes  3.76 Mbits/sec   0.400 ms  191/  511 (37%)
[  3] 14.0-15.0 sec   461 KBytes  3.77 Mbits/sec   0.404 ms  188/  509 (37%)
[  3] 15.0-16.0 sec   452 KBytes  3.70 Mbits/sec   0.365 ms  191/  506 (38%)
[  3] 16.0-17.0 sec   468 KBytes  3.83 Mbits/sec   0.326 ms  188/  514 (37%)
[  3] 17.0-18.0 sec   459 KBytes  3.76 Mbits/sec   0.371 ms  191/  511 (37%)
[  3] 18.0-19.0 sec   462 KBytes  3.79 Mbits/sec   0.338 ms  189/  511 (37%)
[  3] 19.0-20.0 sec   462 KBytes  3.79 Mbits/sec   0.351 ms  188/  510 (37%)
[  3] 20.0-21.0 sec   454 KBytes  3.72 Mbits/sec   0.614 ms  190/  506 (38%)
[  3] 21.0-22.0 sec   458 KBytes  3.75 Mbits/sec   0.353 ms  190/  509 (37%)
[  3] 22.0-23.0 sec   468 KBytes  3.83 Mbits/sec   0.478 ms  190/  516 (37%)
[  3] 23.0-24.0 sec   461 KBytes  3.77 Mbits/sec   0.338 ms  188/  509 (37%)
[  3] 24.0-25.0 sec   459 KBytes  3.76 Mbits/sec   0.369 ms  191/  511 (37%)
[  3] 25.0-26.0 sec   458 KBytes  3.75 Mbits/sec   0.354 ms  190/  509 (37%)
[  3] 26.0-27.0 sec   459 KBytes  3.76 Mbits/sec   0.394 ms  186/  506 (37%)
[  3] 27.0-28.0 sec   458 KBytes  3.75 Mbits/sec   0.348 ms  197/  516 (38%)
[  3] 28.0-29.0 sec   461 KBytes  3.77 Mbits/sec   0.338 ms  188/  509 (37%)
[  3] 29.0-30.0 sec   455 KBytes  3.73 Mbits/sec   0.334 ms  189/  506 (37%)
[  3] 30.0-31.0 sec   454 KBytes  3.72 Mbits/sec   0.348 ms  199/  515 (39%)
[  3] 31.0-32.0 sec   457 KBytes  3.74 Mbits/sec   0.365 ms  191/  509 (38%)
[  3] 32.0-33.0 sec   461 KBytes  3.77 Mbits/sec   0.360 ms  190/  511 (37%)
[  3] 33.0-34.0 sec   454 KBytes  3.72 Mbits/sec   0.561 ms  190/  506 (38%)
[  3] 34.0-35.0 sec   451 KBytes  3.69 Mbits/sec   0.357 ms  200/  514 (39%)
[  3] 35.0-36.0 sec   467 KBytes  3.82 Mbits/sec   0.476 ms  186/  511 (36%)
[  3] 36.0-37.0 sec   461 KBytes  3.77 Mbits/sec   0.360 ms  188/  509 (37%)
[  3] 37.0-38.0 sec   471 KBytes  3.86 Mbits/sec   0.400 ms  183/  511 (36%)
[  3] 38.0-39.0 sec   458 KBytes  3.75 Mbits/sec   0.348 ms  192/  511 (38%)
[  3] 39.0-40.0 sec   461 KBytes  3.77 Mbits/sec   0.348 ms  189/  510 (37%)
[  3] 40.0-41.0 sec   458 KBytes  3.75 Mbits/sec   0.345 ms  190/  509 (37%)
[  3] 41.0-42.0 sec   465 KBytes  3.81 Mbits/sec   0.388 ms  182/  506 (36%)
[  3] 42.0-43.0 sec   472 KBytes  3.87 Mbits/sec   0.490 ms  185/  514 (36%)
[  3] 43.0-44.0 sec   465 KBytes  3.81 Mbits/sec   0.362 ms  187/  511 (37%)
[  3] 44.0-45.0 sec   464 KBytes  3.80 Mbits/sec   0.321 ms  187/  510 (37%)
[  3] 45.0-46.0 sec   459 KBytes  3.76 Mbits/sec   0.361 ms  191/  511 (37%)
[  3] 46.0-47.0 sec   458 KBytes  3.75 Mbits/sec   0.349 ms  187/  506 (37%)
[  3] 47.0-48.0 sec   452 KBytes  3.70 Mbits/sec   0.331 ms  198/  513 (39%)
[  3] 48.0-49.0 sec   461 KBytes  3.77 Mbits/sec   0.372 ms  188/  509 (37%)
[  3] 49.0-50.0 sec   458 KBytes  3.75 Mbits/sec   0.353 ms  192/  511 (38%)
[  3] 50.0-51.0 sec   464 KBytes  3.80 Mbits/sec   0.353 ms  186/  509 (37%)
[  3] 51.0-52.0 sec   462 KBytes  3.79 Mbits/sec   0.340 ms  184/  506 (36%)
[  3] 52.0-53.0 sec   461 KBytes  3.77 Mbits/sec   0.352 ms  194/  515 (38%)
[  3] 53.0-54.0 sec   464 KBytes  3.80 Mbits/sec   0.360 ms  186/  509 (37%)
[  3] 54.0-55.0 sec   459 KBytes  3.76 Mbits/sec   0.335 ms  190/  510 (37%)
[  3] 55.0-56.0 sec   468 KBytes  3.83 Mbits/sec   0.382 ms  185/  511 (36%)
[  3] 56.0-57.0 sec   462 KBytes  3.79 Mbits/sec   0.442 ms  187/  509 (37%)
[  3] 57.0-58.0 sec   459 KBytes  3.76 Mbits/sec   0.334 ms  191/  511 (37%)
[  3] 58.0-59.0 sec   461 KBytes  3.77 Mbits/sec   0.359 ms  189/  510 (37%)
[  3] 59.0-60.0 sec   464 KBytes  3.80 Mbits/sec   0.340 ms  186/  509 (37%)
[  3] 60.0-61.0 sec   457 KBytes  3.74 Mbits/sec   0.337 ms  191/  509 (38%)
[  3] 61.0-62.0 sec   464 KBytes  3.80 Mbits/sec   0.358 ms  188/  511 (37%)
[  3] 62.0-63.0 sec   458 KBytes  3.75 Mbits/sec   0.345 ms  191/  510 (37%)
[  3] 63.0-64.0 sec   457 KBytes  3.74 Mbits/sec   0.399 ms  188/  506 (37%)
[  3] 64.0-65.0 sec   464 KBytes  3.80 Mbits/sec   0.341 ms  188/  511 (37%)
[  3] 65.0-66.0 sec   457 KBytes  3.74 Mbits/sec   0.376 ms  195/  513 (38%)
[  3] 66.0-67.0 sec   457 KBytes  3.74 Mbits/sec   0.367 ms  192/  510 (38%)
[  3] 67.0-68.0 sec   455 KBytes  3.73 Mbits/sec   0.311 ms  192/  509 (38%)
[  3] 68.0-69.0 sec   461 KBytes  3.77 Mbits/sec   0.368 ms  190/  511 (37%)
[  3] 69.0-70.0 sec   455 KBytes  3.73 Mbits/sec   0.437 ms  189/  506 (37%)
[  3] 70.0-71.0 sec   462 KBytes  3.79 Mbits/sec   0.380 ms  188/  510 (37%)
[  3] 71.0-72.0 sec   455 KBytes  3.73 Mbits/sec   0.473 ms  197/  514 (38%)
[  3] 72.0-73.0 sec   464 KBytes  3.80 Mbits/sec   0.354 ms  187/  510 (37%)
[  3] 73.0-74.0 sec   461 KBytes  3.77 Mbits/sec   0.338 ms  188/  509 (37%)
[  3] 74.0-75.0 sec   464 KBytes  3.80 Mbits/sec   0.372 ms  188/  511 (37%)
