------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.1 port 5001 connected with 10.5.0.2 port 46160
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   854 KBytes  7.00 Mbits/sec   0.010 ms   10/  605 (1.7%)
[  3]  1.0- 2.0 sec   856 KBytes  7.01 Mbits/sec   0.005 ms    0/  596 (0%)
[  3]  2.0- 3.0 sec   854 KBytes  7.00 Mbits/sec   0.009 ms    0/  595 (0%)
[  3]  3.0- 4.0 sec   633 KBytes  5.19 Mbits/sec   0.764 ms    0/  441 (0%)
[  3]  4.0- 5.0 sec   593 KBytes  4.86 Mbits/sec   0.747 ms    0/  413 (0%)
[  3]  5.0- 6.0 sec   589 KBytes  4.82 Mbits/sec   0.761 ms    0/  410 (0%)
[  3]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec   0.864 ms    0/  414 (0%)
[  3]  7.0- 8.0 sec   368 KBytes  3.01 Mbits/sec   0.258 ms  321/  577 (56%)
[  3]  8.0- 9.0 sec   343 KBytes  2.81 Mbits/sec   0.278 ms  355/  594 (60%)
[  3]  9.0-10.0 sec   337 KBytes  2.76 Mbits/sec   0.293 ms  357/  592 (60%)
[  3] 10.0-11.0 sec   362 KBytes  2.96 Mbits/sec   0.343 ms  349/  601 (58%)
[  3] 11.0-12.0 sec   346 KBytes  2.83 Mbits/sec   0.318 ms  355/  596 (60%)
[  3] 12.0-13.0 sec   347 KBytes  2.85 Mbits/sec   0.254 ms  350/  592 (59%)
[  3] 13.0-14.0 sec   342 KBytes  2.80 Mbits/sec   0.301 ms  356/  594 (60%)
[  3] 14.0-15.0 sec   339 KBytes  2.78 Mbits/sec   0.294 ms  363/  599 (61%)
[  3] 15.0-16.0 sec   343 KBytes  2.81 Mbits/sec   0.214 ms  357/  596 (60%)
[  3] 16.0-17.0 sec   343 KBytes  2.81 Mbits/sec   0.267 ms  353/  592 (60%)
[  3] 17.0-18.0 sec   349 KBytes  2.86 Mbits/sec   0.279 ms  354/  597 (59%)
[  3] 18.0-19.0 sec   337 KBytes  2.76 Mbits/sec   0.340 ms  356/  591 (60%)
[  3] 19.0-20.0 sec   353 KBytes  2.89 Mbits/sec   0.281 ms  354/  600 (59%)
[  3] 20.0-21.0 sec   342 KBytes  2.80 Mbits/sec   0.382 ms  356/  594 (60%)
[  3] 21.0-22.0 sec   343 KBytes  2.81 Mbits/sec   0.311 ms  357/  596 (60%)
[  3] 22.0-23.0 sec   347 KBytes  2.85 Mbits/sec   0.336 ms  352/  594 (59%)
[  3] 23.0-24.0 sec   333 KBytes  2.73 Mbits/sec   0.304 ms  360/  592 (61%)
[  3] 24.0-25.0 sec   363 KBytes  2.98 Mbits/sec   0.424 ms  346/  599 (58%)
[  3] 25.0-26.0 sec   346 KBytes  2.83 Mbits/sec   0.342 ms  353/  594 (59%)
[  3] 26.0-27.0 sec   352 KBytes  2.88 Mbits/sec   0.373 ms  352/  597 (59%)
[  3] 27.0-28.0 sec   349 KBytes  2.86 Mbits/sec   0.348 ms  354/  597 (59%)
[  3] 28.0-29.0 sec   343 KBytes  2.81 Mbits/sec   0.397 ms  354/  593 (60%)
[  3] 29.0-30.0 sec   350 KBytes  2.87 Mbits/sec   0.344 ms  351/  595 (59%)
[  3] 30.0-31.0 sec   347 KBytes  2.85 Mbits/sec   0.281 ms  352/  594 (59%)
[  3] 31.0-32.0 sec   343 KBytes  2.81 Mbits/sec   0.328 ms  353/  592 (60%)
[  3] 32.0-33.0 sec   349 KBytes  2.86 Mbits/sec   0.324 ms  357/  600 (60%)
[  3] 33.0-34.0 sec   352 KBytes  2.88 Mbits/sec   0.299 ms  347/  592 (59%)
[  3] 34.0-35.0 sec   353 KBytes  2.89 Mbits/sec   0.313 ms  347/  593 (59%)
[  3] 35.0-36.0 sec   345 KBytes  2.82 Mbits/sec   0.373 ms  345/  585 (59%)
[  3] 36.0-37.0 sec   336 KBytes  2.75 Mbits/sec   0.385 ms  366/  600 (61%)
[  3] 37.0-38.0 sec   372 KBytes  3.05 Mbits/sec   0.281 ms  337/  596 (57%)
[  3] 38.0-39.0 sec   359 KBytes  2.94 Mbits/sec   0.446 ms  345/  595 (58%)
[  3] 39.0-40.0 sec   350 KBytes  2.87 Mbits/sec   0.338 ms  346/  590 (59%)
[  3] 40.0-41.0 sec   340 KBytes  2.79 Mbits/sec   0.515 ms  358/  595 (60%)
[  3] 41.0-42.0 sec   345 KBytes  2.82 Mbits/sec   0.371 ms  347/  587 (59%)
[  3] 42.0-43.0 sec   342 KBytes  2.80 Mbits/sec   0.411 ms  355/  593 (60%)
[  3] 43.0-44.0 sec   370 KBytes  3.03 Mbits/sec   0.338 ms  340/  598 (57%)
[  3] 44.0-45.0 sec   350 KBytes  2.87 Mbits/sec   0.356 ms  353/  597 (59%)
[  3] 45.0-46.0 sec   347 KBytes  2.85 Mbits/sec   0.354 ms  351/  593 (59%)
[  3] 46.0-47.0 sec   349 KBytes  2.86 Mbits/sec   0.438 ms  349/  592 (59%)
[  3] 47.0-48.0 sec   346 KBytes  2.83 Mbits/sec   0.355 ms  351/  592 (59%)
[  3] 48.0-49.0 sec   372 KBytes  3.05 Mbits/sec   0.612 ms  337/  596 (57%)
[  3] 49.0-50.0 sec   347 KBytes  2.85 Mbits/sec   0.435 ms  353/  595 (59%)
[  3] 50.0-51.0 sec   346 KBytes  2.83 Mbits/sec   0.384 ms  351/  592 (59%)
[  3] 51.0-52.0 sec   339 KBytes  2.78 Mbits/sec   0.326 ms  359/  595 (60%)
[  3] 52.0-53.0 sec   345 KBytes  2.82 Mbits/sec   0.518 ms  345/  585 (59%)
[  3] 53.0-54.0 sec   340 KBytes  2.79 Mbits/sec   0.453 ms  357/  594 (60%)
[  3] 54.0-55.0 sec   870 KBytes  7.13 Mbits/sec   0.460 ms  136/  742 (18%)
[  3] 55.0-56.0 sec  1.16 MBytes  9.69 Mbits/sec   0.470 ms    0/  824 (0%)
[  3] 56.0-57.0 sec  1.16 MBytes  9.69 Mbits/sec   0.487 ms    0/  824 (0%)
[  3] 57.0-58.0 sec  1.06 MBytes  8.90 Mbits/sec   0.007 ms    0/  757 (0%)
[  3] 58.0-59.0 sec   774 KBytes  6.34 Mbits/sec   0.959 ms    0/  539 (0%)
[  3] 59.0-60.0 sec   591 KBytes  4.85 Mbits/sec   0.742 ms    0/  412 (0%)
[  3] 60.0-61.0 sec   591 KBytes  4.85 Mbits/sec   0.822 ms    0/  412 (0%)
[  3] 61.0-62.0 sec   587 KBytes  4.81 Mbits/sec   0.822 ms    0/  409 (0%)
