------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.5.0.1 port 46805
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   759 KBytes  6.22 Mbits/sec   0.016 ms 1227/ 1756 (70%)
[  3]  1.0- 2.0 sec   734 KBytes  6.01 Mbits/sec   0.019 ms    0/  511 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.018 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.018 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.014 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   734 KBytes  6.01 Mbits/sec   0.020 ms    0/  511 (0%)
[  3]  6.0- 7.0 sec   732 KBytes  6.00 Mbits/sec   0.021 ms    0/  510 (0%)
[  3]  7.0- 8.0 sec   732 KBytes  6.00 Mbits/sec   0.012 ms    0/  510 (0%)
[  3]  8.0- 9.0 sec   732 KBytes  6.00 Mbits/sec   0.031 ms    0/  510 (0%)
[  3]  9.0-10.0 sec   732 KBytes  6.00 Mbits/sec   0.015 ms    0/  510 (0%)
[  3] 10.0-11.0 sec   705 KBytes  5.77 Mbits/sec   0.939 ms    0/  491 (0%)
[  3] 11.0-12.0 sec   593 KBytes  4.86 Mbits/sec   0.554 ms    0/  413 (0%)
[  3] 12.0-13.0 sec   593 KBytes  4.86 Mbits/sec   0.502 ms    0/  413 (0%)
[  3] 13.0-14.0 sec   594 KBytes  4.87 Mbits/sec   0.566 ms    0/  414 (0%)
[  3] 14.0-15.0 sec   593 KBytes  4.86 Mbits/sec   0.464 ms    0/  413 (0%)
[  3] 15.0-16.0 sec   593 KBytes  4.86 Mbits/sec   0.457 ms    0/  413 (0%)
[  3] 16.0-17.0 sec   594 KBytes  4.87 Mbits/sec   0.462 ms    0/  414 (0%)
[  3] 17.0-18.0 sec   564 KBytes  4.62 Mbits/sec   0.457 ms  102/  495 (21%)
[  3] 18.0-19.0 sec   566 KBytes  4.63 Mbits/sec   0.491 ms  115/  509 (23%)
[  3] 19.0-20.0 sec   564 KBytes  4.62 Mbits/sec   0.501 ms  116/  509 (23%)
[  3] 20.0-21.0 sec   557 KBytes  4.56 Mbits/sec   0.457 ms  124/  512 (24%)
[  3] 21.0-22.0 sec   564 KBytes  4.62 Mbits/sec   0.517 ms  114/  507 (22%)
[  3] 22.0-23.0 sec   558 KBytes  4.57 Mbits/sec   0.416 ms  124/  513 (24%)
[  3] 23.0-24.0 sec   579 KBytes  4.74 Mbits/sec   0.431 ms  106/  509 (21%)
