------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.6.0.1 port 33548
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.022 ms    5/  515 (0.97%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.021 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.027 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   734 KBytes  6.01 Mbits/sec   0.030 ms    0/  511 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.014 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.047 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   596 KBytes  4.88 Mbits/sec   0.466 ms    0/  415 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.470 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.487 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.464 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   589 KBytes  4.82 Mbits/sec   0.479 ms    0/  410 (0%)
[  3] 11.0-12.0 sec   594 KBytes  4.87 Mbits/sec   0.461 ms    0/  414 (0%)
[  3] 12.0-13.0 sec   510 KBytes  4.17 Mbits/sec   0.309 ms  120/  475 (25%)
[  3] 13.0-14.0 sec   461 KBytes  3.77 Mbits/sec   0.319 ms  190/  511 (37%)
[  3] 14.0-15.0 sec   459 KBytes  3.76 Mbits/sec   0.392 ms  189/  509 (37%)
[  3] 15.0-16.0 sec   462 KBytes  3.79 Mbits/sec   0.280 ms  188/  510 (37%)
[  3] 16.0-17.0 sec   461 KBytes  3.77 Mbits/sec   0.342 ms  185/  506 (37%)
[  3] 17.0-18.0 sec   469 KBytes  3.85 Mbits/sec   0.348 ms  188/  515 (37%)
[  3] 18.0-19.0 sec   462 KBytes  3.79 Mbits/sec   0.326 ms  189/  511 (37%)
[  3] 19.0-20.0 sec   467 KBytes  3.82 Mbits/sec   0.378 ms  184/  509 (36%)
[  3] 20.0-21.0 sec   479 KBytes  3.93 Mbits/sec   0.380 ms  177/  511 (35%)
[  3] 21.0-22.0 sec   477 KBytes  3.90 Mbits/sec   0.439 ms  178/  510 (35%)
[  3] 22.0-23.0 sec   481 KBytes  3.94 Mbits/sec   0.368 ms  176/  511 (34%)
[  3] 23.0-24.0 sec   479 KBytes  3.93 Mbits/sec   0.374 ms  170/  504 (34%)
[  3] 24.0-25.0 sec   484 KBytes  3.96 Mbits/sec   0.455 ms  179/  516 (35%)
[  3] 25.0-26.0 sec   464 KBytes  3.80 Mbits/sec   0.436 ms  187/  510 (37%)
[  3] 26.0-27.0 sec   478 KBytes  3.92 Mbits/sec   0.521 ms  176/  509 (35%)
[  3] 27.0-28.0 sec   469 KBytes  3.85 Mbits/sec   0.376 ms  181/  508 (36%)
[  3] 28.0-29.0 sec   464 KBytes  3.80 Mbits/sec   0.358 ms  191/  514 (37%)
[  3] 29.0-30.0 sec   462 KBytes  3.79 Mbits/sec   0.338 ms  187/  509 (37%)
[  3] 30.0-31.0 sec   467 KBytes  3.82 Mbits/sec   0.368 ms  186/  511 (36%)
[  3] 31.0-32.0 sec   464 KBytes  3.80 Mbits/sec   0.366 ms  188/  511 (37%)
[  3] 32.0-33.0 sec   472 KBytes  3.87 Mbits/sec   0.374 ms  181/  510 (35%)
[  3] 33.0-34.0 sec   472 KBytes  3.87 Mbits/sec   0.381 ms  180/  509 (35%)
[  3] 34.0-35.0 sec   474 KBytes  3.88 Mbits/sec   0.381 ms  181/  511 (35%)
[  3] 35.0-36.0 sec   464 KBytes  3.80 Mbits/sec   0.383 ms  186/  509 (37%)
[  3] 36.0-37.0 sec   459 KBytes  3.76 Mbits/sec   0.393 ms  186/  506 (37%)
[  3] 37.0-38.0 sec   475 KBytes  3.89 Mbits/sec   0.363 ms  184/  515 (36%)
[  3] 38.0-39.0 sec   459 KBytes  3.76 Mbits/sec   0.446 ms  191/  511 (37%)
[  3] 39.0-40.0 sec   464 KBytes  3.80 Mbits/sec   0.353 ms  186/  509 (37%)
[  3] 40.0-41.0 sec   464 KBytes  3.80 Mbits/sec   0.352 ms  188/  511 (37%)
[  3] 41.0-42.0 sec   464 KBytes  3.80 Mbits/sec   0.323 ms  183/  506 (36%)
[  3] 42.0-43.0 sec   461 KBytes  3.77 Mbits/sec   0.348 ms  193/  514 (38%)
[  3] 43.0-44.0 sec   462 KBytes  3.79 Mbits/sec   0.367 ms  189/  511 (37%)
