------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.4.0.1 port 49939
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   857 KBytes  7.02 Mbits/sec   0.007 ms   14/  611 (2.3%)
[  3]  1.0- 2.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3]  2.0- 3.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3]  3.0- 4.0 sec   856 KBytes  7.01 Mbits/sec   0.010 ms    0/  596 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.010 ms    0/  595 (0%)
[  3]  5.0- 6.0 sec   854 KBytes  7.00 Mbits/sec   0.025 ms    0/  595 (0%)
[  3]  6.0- 7.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3]  7.0- 8.0 sec   633 KBytes  5.19 Mbits/sec   0.739 ms    0/  441 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.742 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   594 KBytes  4.87 Mbits/sec   0.788 ms    0/  414 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.739 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   369 KBytes  3.02 Mbits/sec   0.418 ms  312/  569 (55%)
[  3] 12.0-13.0 sec   365 KBytes  2.99 Mbits/sec   0.244 ms  347/  601 (58%)
[  3] 13.0-14.0 sec   340 KBytes  2.79 Mbits/sec   0.196 ms  357/  594 (60%)
[  3] 14.0-15.0 sec   346 KBytes  2.83 Mbits/sec   0.206 ms  356/  597 (60%)
[  3] 15.0-16.0 sec   336 KBytes  2.75 Mbits/sec   0.223 ms  360/  594 (61%)
[  3] 16.0-17.0 sec   340 KBytes  2.79 Mbits/sec   0.230 ms  360/  597 (60%)
[  3] 17.0-18.0 sec   340 KBytes  2.79 Mbits/sec   0.230 ms  359/  596 (60%)
[  3] 18.0-19.0 sec   339 KBytes  2.78 Mbits/sec   0.371 ms  358/  594 (60%)
[  3] 19.0-20.0 sec   340 KBytes  2.79 Mbits/sec   0.250 ms  357/  594 (60%)
[  3] 20.0-21.0 sec   339 KBytes  2.78 Mbits/sec   0.219 ms  361/  597 (60%)
[  3] 21.0-22.0 sec   339 KBytes  2.78 Mbits/sec   0.227 ms  360/  596 (60%)
[  3] 22.0-23.0 sec   343 KBytes  2.81 Mbits/sec   0.228 ms  355/  594 (60%)
[  3] 23.0-24.0 sec   337 KBytes  2.76 Mbits/sec   0.275 ms  354/  589 (60%)
[  3] 24.0-25.0 sec   339 KBytes  2.78 Mbits/sec   0.225 ms  365/  601 (61%)
[  3] 25.0-26.0 sec   342 KBytes  2.80 Mbits/sec   0.197 ms  358/  596 (60%)
[  3] 26.0-27.0 sec   337 KBytes  2.76 Mbits/sec   0.320 ms  359/  594 (60%)
[  3] 27.0-28.0 sec   343 KBytes  2.81 Mbits/sec   0.264 ms  358/  597 (60%)
[  3] 28.0-29.0 sec   339 KBytes  2.78 Mbits/sec   0.223 ms  358/  594 (60%)
[  3] 29.0-30.0 sec   337 KBytes  2.76 Mbits/sec   0.271 ms  356/  591 (60%)
[  3] 30.0-31.0 sec   342 KBytes  2.80 Mbits/sec   0.228 ms  362/  600 (60%)
[  3] 31.0-32.0 sec   342 KBytes  2.80 Mbits/sec   0.279 ms  356/  594 (60%)
[  3] 32.0-33.0 sec   339 KBytes  2.78 Mbits/sec   0.300 ms  360/  596 (60%)
[  3] 33.0-34.0 sec   343 KBytes  2.81 Mbits/sec   0.197 ms  355/  594 (60%)
