------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.1 port 5001 connected with 10.2.0.1 port 45011
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.948 ms    0/  414 (0%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.953 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   594 KBytes  4.87 Mbits/sec   0.949 ms    0/  414 (0%)
[  3]  3.0- 4.0 sec   553 KBytes  4.53 Mbits/sec   0.328 ms  275/  660 (42%)
[  3]  4.0- 5.0 sec   546 KBytes  4.47 Mbits/sec   0.340 ms  299/  679 (44%)
[  3]  5.0- 6.0 sec   541 KBytes  4.43 Mbits/sec   0.390 ms  304/  681 (45%)
[  3]  6.0- 7.0 sec   540 KBytes  4.42 Mbits/sec   0.355 ms  299/  675 (44%)
[  3]  7.0- 8.0 sec   560 KBytes  4.59 Mbits/sec   0.340 ms  289/  679 (43%)
[  3]  8.0- 9.0 sec   535 KBytes  4.39 Mbits/sec   0.314 ms  313/  686 (46%)
[  3]  9.0-10.0 sec   547 KBytes  4.48 Mbits/sec   0.303 ms  300/  681 (44%)
[  3] 10.0-11.0 sec   547 KBytes  4.48 Mbits/sec   0.315 ms  299/  680 (44%)
[  3] 11.0-12.0 sec   557 KBytes  4.56 Mbits/sec   0.389 ms  293/  681 (43%)
[  3] 12.0-13.0 sec   551 KBytes  4.52 Mbits/sec   0.347 ms  296/  680 (44%)
[  3] 13.0-14.0 sec   558 KBytes  4.57 Mbits/sec   0.321 ms  284/  673 (42%)
[  3] 14.0-15.0 sec   537 KBytes  4.40 Mbits/sec   0.350 ms  314/  688 (46%)
[  3] 15.0-16.0 sec   551 KBytes  4.52 Mbits/sec   0.315 ms  296/  680 (44%)
[  3] 16.0-17.0 sec   554 KBytes  4.54 Mbits/sec   0.316 ms  292/  678 (43%)
[  3] 17.0-18.0 sec   557 KBytes  4.56 Mbits/sec   0.307 ms  295/  683 (43%)
[  3] 18.0-19.0 sec   560 KBytes  4.59 Mbits/sec   0.321 ms  288/  678 (42%)
[  3] 19.0-20.0 sec   554 KBytes  4.54 Mbits/sec   0.331 ms  287/  673 (43%)
[  3] 20.0-21.0 sec   533 KBytes  4.36 Mbits/sec   0.314 ms  315/  686 (46%)
[  3] 21.0-22.0 sec   558 KBytes  4.57 Mbits/sec   0.313 ms  294/  683 (43%)
[  3] 22.0-23.0 sec   557 KBytes  4.56 Mbits/sec   0.328 ms  291/  679 (43%)
[  3] 23.0-24.0 sec   570 KBytes  4.67 Mbits/sec   0.334 ms  285/  682 (42%)
[  3] 24.0-25.0 sec   556 KBytes  4.55 Mbits/sec   0.290 ms  288/  675 (43%)
[  3] 25.0-26.0 sec   540 KBytes  4.42 Mbits/sec   0.349 ms  288/  664 (43%)
[  3] 26.0-27.0 sec   550 KBytes  4.50 Mbits/sec   0.286 ms  319/  702 (45%)
[  3] 27.0-28.0 sec   551 KBytes  4.52 Mbits/sec   0.281 ms  294/  678 (43%)
[  3] 28.0-29.0 sec   561 KBytes  4.60 Mbits/sec   0.307 ms  292/  683 (43%)
[  3] 29.0-30.0 sec   563 KBytes  4.61 Mbits/sec   0.331 ms  286/  678 (42%)
[  3] 30.0-31.0 sec   566 KBytes  4.63 Mbits/sec   0.302 ms  282/  676 (42%)
[  3] 31.0-32.0 sec   535 KBytes  4.39 Mbits/sec   0.297 ms  313/  686 (46%)
[  3] 32.0-33.0 sec   567 KBytes  4.65 Mbits/sec   0.318 ms  285/  680 (42%)
[  3] 33.0-34.0 sec   560 KBytes  4.59 Mbits/sec   0.350 ms  291/  681 (43%)
[  3] 34.0-35.0 sec   557 KBytes  4.56 Mbits/sec   0.302 ms  292/  680 (43%)
[  3] 35.0-36.0 sec   554 KBytes  4.54 Mbits/sec   0.309 ms  288/  674 (43%)
[  3] 36.0-37.0 sec   534 KBytes  4.37 Mbits/sec   0.311 ms  313/  685 (46%)
[  3] 37.0-38.0 sec   556 KBytes  4.55 Mbits/sec   0.299 ms  295/  682 (43%)
[  3] 38.0-39.0 sec   556 KBytes  4.55 Mbits/sec   0.333 ms  287/  674 (43%)
[  3] 39.0-40.0 sec   553 KBytes  4.53 Mbits/sec   0.352 ms  296/  681 (43%)
[  3] 40.0-41.0 sec   517 KBytes  4.23 Mbits/sec   0.317 ms  325/  685 (47%)
[  3] 41.0-42.0 sec   567 KBytes  4.65 Mbits/sec   0.335 ms  285/  680 (42%)
[  3] 42.0-43.0 sec   560 KBytes  4.59 Mbits/sec   0.315 ms  284/  674 (42%)
