------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.2 port 5001 connected with 10.5.0.1 port 49866
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.495 ms    8/  422 (1.9%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.466 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.457 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   589 KBytes  4.82 Mbits/sec   0.817 ms    0/  410 (0%)
[  3]  4.0- 5.0 sec   594 KBytes  4.87 Mbits/sec   0.556 ms    0/  414 (0%)
[  3]  5.0- 6.0 sec   593 KBytes  4.86 Mbits/sec   0.483 ms    0/  413 (0%)
[  3]  6.0- 7.0 sec   678 KBytes  5.55 Mbits/sec   0.547 ms    6/  478 (1.3%)
[  3]  7.0- 8.0 sec   731 KBytes  5.99 Mbits/sec   0.562 ms    2/  511 (0.39%)
[  3]  8.0- 9.0 sec   721 KBytes  5.90 Mbits/sec   0.601 ms    3/  505 (0.59%)
[  3]  9.0-10.0 sec   715 KBytes  5.86 Mbits/sec   0.588 ms   17/  515 (3.3%)
[  3] 10.0-11.0 sec   556 KBytes  4.55 Mbits/sec   0.357 ms  122/  509 (24%)
[  3] 11.0-12.0 sec   488 KBytes  4.00 Mbits/sec   0.325 ms  171/  511 (33%)
[  3] 12.0-13.0 sec   580 KBytes  4.75 Mbits/sec   0.621 ms  103/  507 (20%)
[  3] 13.0-14.0 sec   731 KBytes  5.99 Mbits/sec   0.576 ms    1/  510 (0.2%)
[  3] 14.0-15.0 sec   729 KBytes  5.97 Mbits/sec   0.596 ms    6/  514 (1.2%)
[  3] 15.0-16.0 sec   682 KBytes  5.59 Mbits/sec   0.643 ms   35/  510 (6.9%)
[  3] 16.0-17.0 sec   623 KBytes  5.10 Mbits/sec   0.653 ms   76/  510 (15%)
[  3] 17.0-18.0 sec   612 KBytes  5.01 Mbits/sec   0.670 ms   80/  506 (16%)
[  3] 18.0-19.0 sec   554 KBytes  4.54 Mbits/sec   0.834 ms  119/  505 (24%)
[  3] 19.0-20.0 sec   162 KBytes  1.33 Mbits/sec   0.567 ms  407/  520 (78%)
[  3] 20.0-21.0 sec   726 KBytes  5.95 Mbits/sec   0.625 ms    4/  510 (0.78%)
[  3] 21.0-22.0 sec   675 KBytes  5.53 Mbits/sec   0.529 ms    5/  475 (1.1%)
[  3] 22.0-23.0 sec   653 KBytes  5.35 Mbits/sec   0.554 ms    3/  458 (0.66%)
[  3] 23.0-24.0 sec   655 KBytes  5.36 Mbits/sec   0.483 ms    4/  460 (0.87%)
[  3] 24.0-25.0 sec   647 KBytes  5.30 Mbits/sec   0.538 ms    4/  455 (0.88%)
[  3] 25.0-26.0 sec   656 KBytes  5.37 Mbits/sec   0.590 ms    3/  460 (0.65%)
[  3] 26.0-27.0 sec   652 KBytes  5.34 Mbits/sec   0.570 ms    6/  460 (1.3%)
[  3] 27.0-28.0 sec   653 KBytes  5.35 Mbits/sec   0.556 ms    5/  460 (1.1%)
[  3] 28.0-29.0 sec   702 KBytes  5.75 Mbits/sec   0.586 ms    4/  493 (0.81%)
[  3] 29.0-30.0 sec   729 KBytes  5.97 Mbits/sec   0.596 ms    1/  509 (0.2%)
[  3] 30.0-31.0 sec   726 KBytes  5.95 Mbits/sec   0.538 ms    2/  508 (0.39%)
[  3] 31.0-32.0 sec   729 KBytes  5.97 Mbits/sec   0.566 ms    3/  511 (0.59%)
[  3] 32.0-33.0 sec   728 KBytes  5.96 Mbits/sec   0.570 ms   19/  526 (3.6%)
[  3] 33.0-34.0 sec   728 KBytes  5.96 Mbits/sec   0.594 ms    4/  511 (0.78%)
[  3] 34.0-35.0 sec   729 KBytes  5.97 Mbits/sec   0.596 ms    3/  511 (0.59%)
[  3] 35.0-36.0 sec   729 KBytes  5.97 Mbits/sec   0.662 ms    1/  509 (0.2%)
[  3] 36.0-37.0 sec   724 KBytes  5.93 Mbits/sec   0.669 ms    4/  508 (0.79%)
[  3] 37.0-38.0 sec   724 KBytes  5.93 Mbits/sec   0.598 ms    9/  513 (1.8%)
[  3] 38.0-39.0 sec   719 KBytes  5.89 Mbits/sec   0.547 ms   18/  519 (3.5%)
[  3] 39.0-40.0 sec   725 KBytes  5.94 Mbits/sec   0.568 ms    8/  513 (1.6%)
[  3] 40.0-41.0 sec   729 KBytes  5.97 Mbits/sec   0.556 ms    5/  513 (0.97%)
[  3] 41.0-42.0 sec   728 KBytes  5.96 Mbits/sec   0.616 ms    6/  513 (1.2%)
