------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.1 port 5001 connected with 10.3.0.2 port 48364
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    8/  603 (1.3%)
[  3]  1.0- 2.0 sec   856 KBytes  7.01 Mbits/sec   0.011 ms    0/  596 (0%)
[  3]  2.0- 3.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3]  3.0- 4.0 sec   854 KBytes  7.00 Mbits/sec   0.021 ms    0/  595 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3]  5.0- 6.0 sec   856 KBytes  7.01 Mbits/sec   0.017 ms    0/  596 (0%)
[  3]  6.0- 7.0 sec   854 KBytes  7.00 Mbits/sec   0.014 ms    0/  595 (0%)
[  3]  7.0- 8.0 sec   854 KBytes  7.00 Mbits/sec   0.016 ms    0/  595 (0%)
[  3]  8.0- 9.0 sec   636 KBytes  5.21 Mbits/sec   0.741 ms    0/  443 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.743 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   594 KBytes  4.87 Mbits/sec   0.740 ms    0/  414 (0%)
[  3] 11.0-12.0 sec   589 KBytes  4.82 Mbits/sec   0.741 ms    0/  410 (0%)
[  3] 12.0-13.0 sec   798 KBytes  6.54 Mbits/sec   0.584 ms   21/  577 (3.6%)
[  3] 13.0-14.0 sec   844 KBytes  6.91 Mbits/sec   0.584 ms    7/  595 (1.2%)
[  3] 14.0-15.0 sec   844 KBytes  6.91 Mbits/sec   0.631 ms    7/  595 (1.2%)
[  3] 15.0-16.0 sec   846 KBytes  6.93 Mbits/sec   0.585 ms    3/  592 (0.51%)
[  3] 16.0-17.0 sec   827 KBytes  6.77 Mbits/sec   0.613 ms   23/  599 (3.8%)
[  3] 17.0-18.0 sec   846 KBytes  6.93 Mbits/sec   0.590 ms    7/  596 (1.2%)
[  3] 18.0-19.0 sec   843 KBytes  6.90 Mbits/sec   0.545 ms    7/  594 (1.2%)
[  3] 19.0-20.0 sec   835 KBytes  6.84 Mbits/sec   0.611 ms    8/  590 (1.4%)
[  3] 20.0-21.0 sec   853 KBytes  6.99 Mbits/sec   0.586 ms    7/  601 (1.2%)
[  3] 21.0-22.0 sec   853 KBytes  6.99 Mbits/sec   0.571 ms    2/  596 (0.34%)
[  3] 22.0-23.0 sec   846 KBytes  6.93 Mbits/sec   0.620 ms    5/  594 (0.84%)
[  3] 23.0-24.0 sec   840 KBytes  6.88 Mbits/sec   0.792 ms    6/  591 (1%)
[  3] 24.0-25.0 sec   844 KBytes  6.91 Mbits/sec   0.578 ms    7/  595 (1.2%)
[  3] 25.0-26.0 sec   824 KBytes  6.75 Mbits/sec   0.574 ms   26/  600 (4.3%)
[  3] 26.0-27.0 sec   835 KBytes  6.84 Mbits/sec   0.661 ms   14/  596 (2.3%)
