------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.5.0.1 port 54404
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   978 KBytes  8.01 Mbits/sec   0.021 ms 1633/ 2314 (71%)
[  3]  1.0- 2.0 sec   978 KBytes  8.01 Mbits/sec   0.013 ms    0/  681 (0%)
[  3]  2.0- 3.0 sec   976 KBytes  8.00 Mbits/sec   0.023 ms    0/  680 (0%)
[  3]  3.0- 4.0 sec   976 KBytes  8.00 Mbits/sec   0.015 ms    0/  680 (0%)
[  3]  4.0- 5.0 sec   978 KBytes  8.01 Mbits/sec   0.011 ms    0/  681 (0%)
[  3]  5.0- 6.0 sec   976 KBytes  8.00 Mbits/sec   0.011 ms    0/  680 (0%)
[  3]  6.0- 7.0 sec   976 KBytes  8.00 Mbits/sec   0.016 ms    0/  680 (0%)
[  3]  7.0- 8.0 sec   976 KBytes  8.00 Mbits/sec   0.016 ms    0/  680 (0%)
[  3]  8.0- 9.0 sec   978 KBytes  8.01 Mbits/sec   0.015 ms    0/  681 (0%)
[  3]  9.0-10.0 sec   976 KBytes  8.00 Mbits/sec   0.021 ms    0/  680 (0%)
[  3] 10.0-11.0 sec   922 KBytes  7.55 Mbits/sec   1.126 ms    0/  642 (0%)
[  3] 11.0-12.0 sec   583 KBytes  4.77 Mbits/sec   0.969 ms    0/  406 (0%)
[  3] 12.0-13.0 sec   594 KBytes  4.87 Mbits/sec   0.951 ms    0/  414 (0%)
[  3] 13.0-14.0 sec   560 KBytes  4.59 Mbits/sec   0.750 ms   40/  430 (9.3%)
[  3] 14.0-15.0 sec   254 KBytes  2.08 Mbits/sec   0.250 ms  502/  679 (74%)
[  3] 15.0-16.0 sec   263 KBytes  2.15 Mbits/sec   0.429 ms  504/  687 (73%)
[  3] 16.0-17.0 sec   263 KBytes  2.15 Mbits/sec   0.323 ms  494/  677 (73%)
[  3] 17.0-18.0 sec   276 KBytes  2.26 Mbits/sec   0.866 ms  488/  680 (72%)
[  3] 18.0-19.0 sec   313 KBytes  2.56 Mbits/sec   0.380 ms  459/  677 (68%)
[  3] 19.0-20.0 sec   289 KBytes  2.36 Mbits/sec   0.278 ms  486/  687 (71%)
[  3] 20.0-21.0 sec   278 KBytes  2.28 Mbits/sec   0.252 ms  486/  680 (71%)
[  3] 21.0-22.0 sec   278 KBytes  2.28 Mbits/sec   0.448 ms  487/  681 (72%)
[  3] 22.0-23.0 sec   293 KBytes  2.40 Mbits/sec   0.269 ms  473/  677 (70%)
[  3] 23.0-24.0 sec   271 KBytes  2.22 Mbits/sec   0.225 ms  495/  684 (72%)
