------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.4.0.1 port 45488
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1009 KBytes  8.27 Mbits/sec   0.014 ms   10/  712 (1.4%)
[  3]  1.0- 2.0 sec   976 KBytes  8.00 Mbits/sec   0.012 ms    0/  680 (0%)
[  3]  2.0- 3.0 sec   976 KBytes  8.00 Mbits/sec   0.025 ms    0/  680 (0%)
[  3]  3.0- 4.0 sec   978 KBytes  8.01 Mbits/sec   0.013 ms    0/  681 (0%)
[  3]  4.0- 5.0 sec   976 KBytes  8.00 Mbits/sec   0.008 ms    0/  680 (0%)
[  3]  5.0- 6.0 sec   976 KBytes  8.00 Mbits/sec   0.020 ms    0/  680 (0%)
[  3]  6.0- 7.0 sec   976 KBytes  8.00 Mbits/sec   0.017 ms    0/  680 (0%)
[  3]  7.0- 8.0 sec   655 KBytes  5.36 Mbits/sec   0.950 ms    0/  456 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.949 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.950 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   561 KBytes  4.60 Mbits/sec   0.334 ms  224/  615 (36%)
[  3] 11.0-12.0 sec   544 KBytes  4.46 Mbits/sec   0.530 ms  297/  676 (44%)
[  3] 12.0-13.0 sec   543 KBytes  4.45 Mbits/sec   0.325 ms  302/  680 (44%)
[  3] 13.0-14.0 sec   584 KBytes  4.79 Mbits/sec   0.321 ms  280/  687 (41%)
[  3] 14.0-15.0 sec   556 KBytes  4.55 Mbits/sec   0.322 ms  291/  678 (43%)
[  3] 15.0-16.0 sec   556 KBytes  4.55 Mbits/sec   0.393 ms  289/  676 (43%)
[  3] 16.0-17.0 sec   576 KBytes  4.72 Mbits/sec   0.331 ms  286/  687 (42%)
[  3] 17.0-18.0 sec   554 KBytes  4.54 Mbits/sec   0.391 ms  292/  678 (43%)
[  3] 18.0-19.0 sec   553 KBytes  4.53 Mbits/sec   0.388 ms  297/  682 (44%)
[  3] 19.0-20.0 sec   547 KBytes  4.48 Mbits/sec   0.307 ms  294/  675 (44%)
[  3] 20.0-21.0 sec   524 KBytes  4.29 Mbits/sec   0.351 ms  321/  686 (47%)
[  3] 21.0-22.0 sec   548 KBytes  4.49 Mbits/sec   0.329 ms  297/  679 (44%)
[  3] 22.0-23.0 sec   544 KBytes  4.46 Mbits/sec   0.277 ms  300/  679 (44%)
[  3] 23.0-24.0 sec   538 KBytes  4.41 Mbits/sec   0.366 ms  301/  676 (45%)
[  3] 24.0-25.0 sec   540 KBytes  4.42 Mbits/sec   0.322 ms  309/  685 (45%)
[  3] 25.0-26.0 sec   543 KBytes  4.45 Mbits/sec   0.383 ms  304/  682 (45%)
[  3] 26.0-27.0 sec   543 KBytes  4.45 Mbits/sec   0.396 ms  300/  678 (44%)
[  3] 27.0-28.0 sec   556 KBytes  4.55 Mbits/sec   0.387 ms  287/  674 (43%)
[  3] 28.0-29.0 sec   528 KBytes  4.33 Mbits/sec   0.413 ms  320/  688 (47%)
[  3] 29.0-30.0 sec   550 KBytes  4.50 Mbits/sec   0.379 ms  298/  681 (44%)
[  3] 30.0-31.0 sec   561 KBytes  4.60 Mbits/sec   0.296 ms  289/  680 (42%)
[  3] 31.0-32.0 sec   544 KBytes  4.46 Mbits/sec   0.321 ms  299/  678 (44%)
