------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.1 port 5001 connected with 10.5.0.2 port 57941
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.498 ms    6/  420 (1.4%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.493 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   594 KBytes  4.87 Mbits/sec   0.491 ms    0/  414 (0%)
[  3]  3.0- 4.0 sec   593 KBytes  4.86 Mbits/sec   0.502 ms    0/  413 (0%)
[  3]  4.0- 5.0 sec   593 KBytes  4.86 Mbits/sec   0.562 ms    0/  413 (0%)
[  3]  5.0- 6.0 sec   594 KBytes  4.87 Mbits/sec   0.488 ms    0/  414 (0%)
[  3]  6.0- 7.0 sec   505 KBytes  4.14 Mbits/sec   0.362 ms  122/  474 (26%)
[  3]  7.0- 8.0 sec   457 KBytes  3.74 Mbits/sec   0.440 ms  191/  509 (38%)
[  3]  8.0- 9.0 sec   458 KBytes  3.75 Mbits/sec   0.344 ms  192/  511 (38%)
[  3]  9.0-10.0 sec   455 KBytes  3.73 Mbits/sec   0.353 ms  194/  511 (38%)
[  3] 10.0-11.0 sec   448 KBytes  3.67 Mbits/sec   0.358 ms  191/  503 (38%)
[  3] 11.0-12.0 sec   471 KBytes  3.86 Mbits/sec   0.516 ms  188/  516 (36%)
[  3] 12.0-13.0 sec   455 KBytes  3.73 Mbits/sec   0.323 ms  194/  511 (38%)
[  3] 13.0-14.0 sec   458 KBytes  3.75 Mbits/sec   0.382 ms  192/  511 (38%)
[  3] 14.0-15.0 sec   455 KBytes  3.73 Mbits/sec   0.390 ms  192/  509 (38%)
[  3] 15.0-16.0 sec   459 KBytes  3.76 Mbits/sec   0.374 ms  191/  511 (37%)
[  3] 16.0-17.0 sec   452 KBytes  3.70 Mbits/sec   0.489 ms  188/  503 (37%)
[  3] 17.0-18.0 sec   472 KBytes  3.87 Mbits/sec   0.400 ms  188/  517 (36%)
[  3] 18.0-19.0 sec   459 KBytes  3.76 Mbits/sec   0.378 ms  191/  511 (37%)
[  3] 19.0-20.0 sec   461 KBytes  3.77 Mbits/sec   0.356 ms  188/  509 (37%)
[  3] 20.0-21.0 sec   465 KBytes  3.81 Mbits/sec   0.553 ms  187/  511 (37%)
[  3] 21.0-22.0 sec   457 KBytes  3.74 Mbits/sec   0.402 ms  192/  510 (38%)
[  3] 22.0-23.0 sec   457 KBytes  3.74 Mbits/sec   0.394 ms  188/  506 (37%)
[  3] 23.0-24.0 sec   471 KBytes  3.86 Mbits/sec   0.395 ms  186/  514 (36%)
[  3] 24.0-25.0 sec   455 KBytes  3.73 Mbits/sec   0.526 ms  194/  511 (38%)
[  3] 25.0-26.0 sec   457 KBytes  3.74 Mbits/sec   0.469 ms  191/  509 (38%)
[  3] 26.0-27.0 sec   458 KBytes  3.75 Mbits/sec   0.323 ms  192/  511 (38%)
[  3] 27.0-28.0 sec   451 KBytes  3.69 Mbits/sec   0.627 ms  189/  503 (38%)
[  3] 28.0-29.0 sec   474 KBytes  3.88 Mbits/sec   0.386 ms  188/  518 (36%)
[  3] 29.0-30.0 sec   467 KBytes  3.82 Mbits/sec   0.458 ms  187/  512 (37%)
[  3] 30.0-31.0 sec   467 KBytes  3.82 Mbits/sec   0.456 ms  189/  514 (37%)
[  3] 31.0-32.0 sec   462 KBytes  3.79 Mbits/sec   0.386 ms  191/  513 (37%)
[  3] 32.0-33.0 sec   457 KBytes  3.74 Mbits/sec   0.510 ms  185/  503 (37%)
[  3] 33.0-34.0 sec   481 KBytes  3.94 Mbits/sec   0.435 ms  182/  517 (35%)
[  3] 34.0-35.0 sec   462 KBytes  3.79 Mbits/sec   0.490 ms  191/  513 (37%)
[  3] 35.0-36.0 sec   468 KBytes  3.83 Mbits/sec   0.442 ms  182/  508 (36%)
[  3] 36.0-37.0 sec   461 KBytes  3.77 Mbits/sec   0.468 ms  189/  510 (37%)
[  3] 37.0-38.0 sec   459 KBytes  3.76 Mbits/sec   0.413 ms  191/  511 (37%)
[  3] 38.0-39.0 sec   461 KBytes  3.77 Mbits/sec   0.387 ms  188/  509 (37%)
[  3] 39.0-40.0 sec   458 KBytes  3.75 Mbits/sec   0.759 ms  187/  506 (37%)
