------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.2 port 5001 connected with 10.6.0.1 port 33564
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.010 ms   10/  520 (1.9%)
[  3]  1.0- 2.0 sec   734 KBytes  6.01 Mbits/sec   0.011 ms    0/  511 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.013 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.020 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.031 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.012 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   734 KBytes  6.01 Mbits/sec   0.010 ms    0/  511 (0%)
[  3]  7.0- 8.0 sec   613 KBytes  5.02 Mbits/sec   0.456 ms    0/  427 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.500 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   594 KBytes  4.87 Mbits/sec   0.452 ms    0/  414 (0%)
[  3] 10.0-11.0 sec   587 KBytes  4.81 Mbits/sec   0.463 ms    0/  409 (0%)
[  3] 11.0-12.0 sec   593 KBytes  4.86 Mbits/sec   0.456 ms    0/  413 (0%)
[  3] 12.0-13.0 sec   593 KBytes  4.86 Mbits/sec   0.475 ms    0/  413 (0%)
[  3] 13.0-14.0 sec   669 KBytes  5.48 Mbits/sec   0.547 ms    0/  466 (0%)
[  3] 14.0-15.0 sec   732 KBytes  6.00 Mbits/sec   0.541 ms    0/  510 (0%)
[  3] 15.0-16.0 sec   731 KBytes  5.99 Mbits/sec   0.549 ms    1/  510 (0.2%)
[  3] 16.0-17.0 sec   725 KBytes  5.94 Mbits/sec   0.633 ms    0/  505 (0%)
[  3] 17.0-18.0 sec   735 KBytes  6.02 Mbits/sec   0.569 ms    4/  516 (0.78%)
[  3] 18.0-19.0 sec   729 KBytes  5.97 Mbits/sec   0.566 ms    2/  510 (0.39%)
[  3] 19.0-20.0 sec   729 KBytes  5.97 Mbits/sec   0.620 ms    2/  510 (0.39%)
[  3] 20.0-21.0 sec   731 KBytes  5.99 Mbits/sec   0.619 ms    1/  510 (0.2%)
[  3] 21.0-22.0 sec   719 KBytes  5.89 Mbits/sec   0.573 ms    4/  505 (0.79%)
[  3] 22.0-23.0 sec   715 KBytes  5.86 Mbits/sec   0.649 ms   17/  515 (3.3%)
[  3] 23.0-24.0 sec   718 KBytes  5.88 Mbits/sec   0.536 ms   10/  510 (2%)
