------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.1 port 5001 connected with 10.5.0.2 port 35348
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.946 ms   12/  425 (2.8%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.959 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   589 KBytes  4.82 Mbits/sec   0.949 ms    0/  410 (0%)
[  3]  3.0- 4.0 sec   267 KBytes  2.19 Mbits/sec   0.652 ms  475/  661 (72%)
[  3]  4.0- 5.0 sec   224 KBytes  1.83 Mbits/sec   0.329 ms  523/  679 (77%)
[  3]  5.0- 6.0 sec   233 KBytes  1.91 Mbits/sec   0.505 ms  520/  682 (76%)
[  3]  6.0- 7.0 sec   225 KBytes  1.85 Mbits/sec   0.363 ms  522/  679 (77%)
[  3]  7.0- 8.0 sec   231 KBytes  1.89 Mbits/sec   0.511 ms  512/  673 (76%)
[  3]  8.0- 9.0 sec   243 KBytes  1.99 Mbits/sec   0.170 ms  510/  679 (75%)
[  3]  9.0-10.0 sec   287 KBytes  2.35 Mbits/sec   0.294 ms  489/  689 (71%)
[  3] 10.0-11.0 sec   231 KBytes  1.89 Mbits/sec   0.368 ms  517/  678 (76%)
[  3] 11.0-12.0 sec   241 KBytes  1.98 Mbits/sec   0.390 ms  510/  678 (75%)
[  3] 12.0-13.0 sec   254 KBytes  2.08 Mbits/sec   0.256 ms  510/  687 (74%)
[  3] 13.0-14.0 sec   234 KBytes  1.92 Mbits/sec   0.259 ms  515/  678 (76%)
[  3] 14.0-15.0 sec   225 KBytes  1.85 Mbits/sec   0.529 ms  521/  678 (77%)
[  3] 15.0-16.0 sec   238 KBytes  1.95 Mbits/sec   0.343 ms  508/  674 (75%)
[  3] 16.0-17.0 sec   304 KBytes  2.49 Mbits/sec   0.323 ms  476/  688 (69%)
[  3] 17.0-18.0 sec   238 KBytes  1.95 Mbits/sec   0.478 ms  517/  683 (76%)
[  3] 18.0-19.0 sec   228 KBytes  1.87 Mbits/sec   0.193 ms  519/  678 (77%)
[  3] 19.0-20.0 sec   235 KBytes  1.93 Mbits/sec   0.435 ms  509/  673 (76%)
[  3] 20.0-21.0 sec   290 KBytes  2.38 Mbits/sec   0.271 ms  487/  689 (71%)
[  3] 21.0-22.0 sec   234 KBytes  1.92 Mbits/sec   0.452 ms  519/  682 (76%)
[  3] 22.0-23.0 sec   227 KBytes  1.86 Mbits/sec   0.291 ms  521/  679 (77%)
[  3] 23.0-24.0 sec   223 KBytes  1.82 Mbits/sec   0.233 ms  518/  673 (77%)
