------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.1 port 5001 connected with 10.5.0.2 port 34548
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   596 KBytes  4.88 Mbits/sec   1.113 ms   17/  431 (3.9%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   1.122 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   458 KBytes  3.75 Mbits/sec   0.240 ms  227/  546 (42%)
[  3]  3.0- 4.0 sec   241 KBytes  1.98 Mbits/sec   0.211 ms  597/  765 (78%)
[  3]  4.0- 5.0 sec   243 KBytes  1.99 Mbits/sec   0.557 ms  584/  753 (78%)
[  3]  5.0- 6.0 sec   241 KBytes  1.98 Mbits/sec   0.211 ms  597/  765 (78%)
[  3]  6.0- 7.0 sec   385 KBytes  3.15 Mbits/sec   0.120 ms  504/  772 (65%)
[  3]  7.0- 8.0 sec   240 KBytes  1.96 Mbits/sec   0.150 ms  598/  765 (78%)
[  3]  8.0- 9.0 sec   240 KBytes  1.96 Mbits/sec   0.220 ms  599/  766 (78%)
[  3]  9.0-10.0 sec   375 KBytes  3.07 Mbits/sec   0.226 ms  508/  769 (66%)
[  3] 10.0-11.0 sec   228 KBytes  1.87 Mbits/sec   0.196 ms  603/  762 (79%)
[  3] 11.0-12.0 sec   233 KBytes  1.91 Mbits/sec   0.294 ms  603/  765 (79%)
[  3] 12.0-13.0 sec   225 KBytes  1.85 Mbits/sec   0.085 ms  609/  766 (80%)
[  3] 13.0-14.0 sec   234 KBytes  1.92 Mbits/sec   0.189 ms  611/  774 (79%)
[  3] 14.0-15.0 sec   248 KBytes  2.03 Mbits/sec   0.244 ms  593/  766 (77%)
[  3] 15.0-16.0 sec   230 KBytes  1.88 Mbits/sec   0.186 ms  606/  766 (79%)
[  3] 16.0-17.0 sec   240 KBytes  1.96 Mbits/sec   0.239 ms  587/  754 (78%)
[  3] 17.0-18.0 sec   368 KBytes  3.01 Mbits/sec   0.201 ms  520/  776 (67%)
[  3] 18.0-19.0 sec   223 KBytes  1.82 Mbits/sec   0.196 ms  611/  766 (80%)
[  3] 19.0-20.0 sec   253 KBytes  2.07 Mbits/sec   0.273 ms  589/  765 (77%)
[  3] 20.0-21.0 sec   241 KBytes  1.98 Mbits/sec   0.289 ms  586/  754 (78%)
[  3] 21.0-22.0 sec   198 KBytes  1.62 Mbits/sec   0.513 ms  640/  778 (82%)
[  3] 22.0-23.0 sec   250 KBytes  2.05 Mbits/sec   0.217 ms  592/  766 (77%)
[  3] 23.0-24.0 sec   241 KBytes  1.98 Mbits/sec   0.294 ms  598/  766 (78%)
